NC,satisfactory_result,T0,max_iterations,alpha,eps,delta,i_final,final_J,final_D,target_D,final_T,elapsed_time,seed,
10,False,100.0,228,0.97,0.000001,1,228,2.8444433376057425,5.13432070312633,,5.210245939718349,9.793752193450928,11129,
10,False,100.0,228,0.97,0.000001,1,228,4.825171986331213,6.935511959095557,,7.980938130437673,9.926928758621216,6524,
10,False,100.0,228,0.97,0.000001,1,228,0.30253428807179517,4.2351310737693275,,14.676390503592936,9.888946294784546,188,
10,False,100.0,228,0.97,0.000001,1,228,-0.573785705808555,5.152878675954287,,9.877608394766826,9.884636878967285,10793,
10,False,100.0,228,0.97,0.000001,1,228,-1.0625736985953151,5.086976523050595,,9.293841738636107,9.963223934173584,4600,
10,True,100.0,228,0.97,0.000001,1,228,0.8218838260352344,3.4673195847738207,,6.647898035724972,9.933963298797607,38,
10,True,100.0,228,0.97,0.000001,1,228,1.827235718819901,2.37276173672575,,7.741509986524543,9.914496898651123,5043,
10,True,100.0,228,0.97,0.000001,1,228,1.556375581391276,2.4313918500488603,,7.283986746320942,9.932092428207397,3686,
10,True,100.0,228,0.97,0.000001,1,228,0.6454730233253545,3.0822836551918016,,6.647898035724972,9.983160257339478,2716,
10,False,100.0,228,0.97,0.000001,1,228,-0.09311782016935319,4.526047219093057,,9.581280142923822,9.912738800048828,1851,
10,False,100.0,228,0.97,0.000001,1,228,0.3734807924892602,4.267649218076167,,5.88533633264044,9.895663976669312,1667,
10,False,100.0,228,0.97,0.000001,1,228,0.9878052656183688,3.4552988985445507,,7.283986746320942,9.922342300415039,767,
10,True,100.0,228,0.97,0.000001,1,228,0.003544121719553736,3.131201605653874,,6.067357043959217,9.973442077636719,9035,
10,True,100.0,228,0.97,0.000001,1,228,-0.05452643532069199,2.9636045457640736,,7.741509986524543,10.036691427230835,8513,
10,True,100.0,228,0.97,0.000001,1,228,1.0595517978602373,3.280158899833482,,6.448461094653223,9.941188097000122,3730,
10,True,100.0,228,0.97,0.000001,1,228,1.2783603728299124,2.78739719266,,8.744575691882714,9.799315452575684,14710,
10,False,100.0,228,0.97,0.000001,1,228,1.3293630500181963,4.340279741818109,,11.858271750211781,9.897456884384155,7845,
10,False,100.0,228,0.97,0.000001,1,228,6.775599556518567,9.987705569257042,,5.371387566719948,9.797511577606201,12547,
10,True,100.0,228,0.97,0.000001,1,228,1.6147563704852348,2.160168800124977,,5.88533633264044,9.8699471950531,3932,
10,False,100.0,228,0.97,0.000001,1,228,1.4864764855864463,3.702020489411684,,11.157447889774263,10.000990390777588,13946,
10,False,100.0,228,0.97,0.000001,1,228,0.43384480028507777,4.47191590712105,,9.015026486477025,9.900014638900757,7025,
10,False,100.0,228,0.97,0.000001,1,228,-0.22163330228620803,6.088042137874816,,15.59824689509293,9.88342571258545,1854,
