gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.18345904350280762,-93.4854736328125,-95.49232482910156,-95.8869400024414,"[-0.7849602103233337, -2.2039127349853516, 0.7591065168380737, -2.3030014038085938, 4.992300510406494, -1.6304680109024048, 0.7688847184181213, -0.30862125754356384, -0.7844253778457642, -0.5051482915878296, -0.190839484333992, 1.3506098985671997, -0.09986670315265656, 1.2457280158996582, -1.7828866243362427, -0.2720101475715637, 0.7153564095497131, -2.669588804244995, -1.797879934310913, -1.3086780309677124, -1.0595965385437012, -0.9642545580863953, 0.1350799947977066, 1.4544916152954102, 0.6896196603775024, -2.1857545375823975, 0.15088486671447754, 1.5006996393203735, 0.578389585018158, -0.7759237885475159, -0.4992820620536804, 0.48058825731277466, -1.135995864868164, 1.3694865703582764, -2.368417263031006, 1.4452078342437744, -1.5779706239700317, -0.3185313940048218, -1.8230116367340088, 1.481656789779663, 0.0010000000474974513, 1.4724857807159424, 0.32779574394226074, 0.0010000000474974513, 1.0833747386932373, 0.0010000000474974513, 0.0010000000474974513, 0.160390704870224, 0.7671907544136047, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.1068592518568039, 0.0010000000474974513, 0.004633767530322075, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.695217490196228, 0.0010000000474974513, 0.455025315284729, 0.0010000000474974513, 0.0010000000474974513, 1.0507543087005615, 0.0010000000474974513, 0.35039022564888, 1.5558085441589355, 0.0010000000474974513, 0.06400386989116669, 0.0010000000474974513, 0.16105057299137115, 0.006980762351304293, 0.03860066458582878, 0.2835657596588135, 1.0452244281768799, 0.0010000000474974513, 0.3288668990135193, 1.438523292541504, 1.108763337135315, 1.127795934677124]"
1,1500,0.1891176700592041,-91.1400375366211,-94.63543701171875,-95.86598205566406,"[-0.9782599210739136, 8.55866813659668, 2.1466922760009766, -1.6178178787231445, 1.5443873405456543, -0.3176015615463257, 1.8042688369750977, -0.21828749775886536, -0.42435726523399353, 0.04987691715359688, 0.272019624710083, 0.8470807075500488, -0.12573404610157013, 0.8471416234970093, 0.4659937024116516, -0.27297449111938477, 0.7150097489356995, -1.0737732648849487, 0.1352810263633728, 0.13722650706768036, -0.8300411105155945, -0.9637797474861145, -1.6781779527664185, 1.7292835712432861, 0.6504114866256714, -0.13004286587238312, -0.771917462348938, 1.40651273727417, 0.4985237121582031, -0.973777711391449, -0.5401164889335632, 0.4950121343135834, 0.7815881371498108, 1.284932255744934, -0.2934207320213318, 1.2922947406768799, -1.4788756370544434, -3.684084892272949, 0.3792279362678528, 0.7290090918540955, 0.14027898013591766, 1.801862120628357, 0.15268832445144653, 0.0010000000474974513, 0.3621993660926819, 0.27926379442214966, 0.0010000000474974513, 0.07265648990869522, 0.5965713262557983, 0.2435925304889679, 0.4154353141784668, 0.0010000000474974513, 0.027022825554013252, 0.17341798543930054, 0.001547886524349451, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.2807502746582031, 0.06217765808105469, 0.20731990039348602, 0.0010000000474974513, 0.0010000000474974513, 0.24077412486076355, 0.03440086916089058, 0.08854299038648605, 0.5525985360145569, 0.05869418755173683, 0.07485954463481903, 0.2815711200237274, 0.04069015011191368, 0.11226866394281387, 0.022079918533563614, 0.0802810788154602, 0.41157054901123047, 0.1554386019706726, 0.21110518276691437, 0.6989936828613281, 0.26228660345077515, 0.6237157583236694]"
2,2250,0.2514455318450928,-86.56583404541016,-92.70353698730469,-95.73836517333984,"[-2.742335796356201, 4.198868751525879, -0.3293609321117401, -1.6191257238388062, 5.934935569763184, -1.1737765073776245, 2.2042076587677, -0.559063732624054, -0.432632714509964, 11.933866500854492, -1.1905001401901245, 1.354932188987732, -0.1042630672454834, 1.0946348905563354, -1.8077102899551392, -0.2656489908695221, 0.2991122007369995, 0.6702366471290588, 0.30776017904281616, -1.4160523414611816, -1.841057538986206, -0.9932833313941956, 1.4105530977249146, 1.213936686515808, -1.0522041320800781, -0.4950063228607178, -0.9627587795257568, 0.5475001335144043, 2.3813493251800537, 0.06012225151062012, -0.6273013353347778, 1.4855326414108276, -1.5702121257781982, 1.3649190664291382, -0.045974843204021454, -0.4861854314804077, -0.8282831311225891, -0.5600759983062744, 1.1644434928894043, -0.14850139617919922, 1.4342724084854126, 2.121049165725708, 0.4902840852737427, 0.002466699806973338, 0.6752501130104065, 0.34509801864624023, 0.2395952045917511, 0.10347066074609756, 0.46499204635620117, 2.236051321029663, 0.15978243947029114, 0.0023220658767968416, 0.43909740447998047, 0.13975878059864044, 0.07434932887554169, 0.01702546887099743, 0.002588663250207901, 0.0024315437767654657, 0.40307071805000305, 0.054971612989902496, 0.3386777639389038, 0.04465864598751068, 0.0018816322553902864, 1.1405508518218994, 0.21274377405643463, 0.5382037162780762, 0.6817448735237122, 0.09280245751142502, 0.11622703075408936, 1.0239771604537964, 0.27354034781455994, 0.8957759141921997, 0.03801950439810753, 0.23022864758968353, 0.3102417588233948, 0.6444212794303894, 0.40802326798439026, 0.35496318340301514, 0.4849276840686798, 0.6424474716186523]"
3,3000,0.2315535545349121,-81.56442260742188,-89.35677337646484,-95.6589584350586,"[-3.8256187438964844, 16.59673500061035, -0.20798709988594055, -1.6084083318710327, -1.9211794137954712, -1.4672515392303467, 2.105435609817505, -0.2455468773841858, 3.213437557220459, 12.267129898071289, -1.2681421041488647, 1.357513666152954, 0.054255396127700806, 1.5353333950042725, -0.6386687755584717, -0.2801834046840668, 0.2972952425479889, 0.6704227328300476, 4.162618160247803, -0.7028369307518005, -2.1464929580688477, -1.1579062938690186, 1.407539963722229, 1.2586274147033691, -0.928556501865387, 0.37465816736221313, 8.376241683959961, 0.5396891236305237, 0.9651561379432678, -1.7464419603347778, 7.075650691986084, 0.12116047739982605, 1.8042088747024536, 0.9732459783554077, -0.6103562116622925, 2.5523324012756348, -1.4617421627044678, -0.33892926573753357, 2.8694663047790527, 0.9165678024291992, 1.0418057441711426, 3.053375244140625, 0.5663270950317383, 0.02883909083902836, 0.6397044658660889, 0.4055537283420563, 0.14586098492145538, 0.160614013671875, 1.2806116342544556, 2.338101863861084, 0.3453734219074249, 0.0017440576339140534, 0.3605785071849823, 0.3797980844974518, 0.0785796269774437, 0.01618765853345394, 0.0037310123443603516, 0.001801237347535789, 0.6431248784065247, 0.34042033553123474, 0.5444754362106323, 0.23207594454288483, 0.04317983239889145, 1.0524187088012695, 0.3938853144645691, 0.46286311745643616, 1.2871005535125732, 0.15848881006240845, 0.40146374702453613, 0.8223289847373962, 1.7696902751922607, 0.5506308078765869, 0.09098774939775467, 0.1833057701587677, 0.29461032152175903, 0.8507890105247498, 0.5879073143005371, 0.6257951855659485, 0.895287811756134, 0.9740008115768433]"
4,3750,0.20757842063903809,-79.91371154785156,-85.52582550048828,-94.76028442382812,"[4.4531331062316895, 18.77825355529785, 1.4151674509048462, -1.6303293704986572, 8.390798568725586, -1.0944806337356567, 1.992311954498291, -0.4561382830142975, 3.2369778156280518, 13.724211692810059, -0.036465778946876526, 1.231020450592041, -0.019237034022808075, 0.049046531319618225, -1.4741438627243042, -0.1041804626584053, -1.0692819356918335, 0.6922540068626404, 4.469970226287842, -0.7578384280204773, -2.382308006286621, 10.227437973022461, 0.6075417995452881, 0.9791905879974365, -0.4104180335998535, 1.1372005939483643, 8.382638931274414, 0.41568195819854736, 0.7079111933708191, 0.6823033094406128, 6.336314678192139, 3.982635974884033, -1.4316718578338623, -0.18958473205566406, -0.520582377910614, 1.9887361526489258, -1.4321582317352295, -0.9136320948600769, 3.7815160751342773, 1.4613797664642334, 0.7409959435462952, 2.3260231018066406, 0.4277355372905731, 0.09356775879859924, 0.6467882394790649, 0.4517172574996948, 0.11168117821216583, 0.15205585956573486, 0.620664119720459, 1.0350313186645508, 0.16154342889785767, 0.11101780086755753, 0.17279863357543945, 0.24013018608093262, 0.09075699746608734, 0.02403629757463932, 0.0014498995151370764, 0.06628040224313736, 0.21158461272716522, 0.27524858713150024, 0.3533780872821808, 0.4930420517921448, 0.046848781406879425, 1.453650712966919, 0.08014247566461563, 0.39057740569114685, 1.0343589782714844, 0.2781520187854767, 0.2835198640823364, 0.20110683143138885, 0.5264155864715576, 0.7425752878189087, 0.1216093972325325, 0.3572022318840027, 0.2061295211315155, 0.5581008791923523, 0.31714245676994324, 0.46362215280532837, 0.7253749370574951, 0.6441658735275269]"
5,4500,0.23651552200317383,-77.33544921875,-82.81600189208984,-90.27104949951172,"[-3.058424949645996, 10.278674125671387, -0.13340610265731812, -0.46157610416412354, -2.2809417247772217, 0.6481736898422241, 1.9768508672714233, 0.7467300891876221, -1.2324273586273193, 18.392406463623047, 0.23961257934570312, 1.3251055479049683, -0.04445949196815491, 1.5060638189315796, -1.6051846742630005, -0.9922277927398682, -1.1251704692840576, 0.37564998865127563, 8.822017669677734, -1.6117486953735352, -2.3167006969451904, -0.6587311029434204, -1.5828591585159302, 2.109009265899658, -0.1807335615158081, 1.4152894020080566, -0.911672055721283, -1.6139241456985474, 1.9012370109558105, 0.5326045155525208, 12.695260047912598, 12.538121223449707, -1.4313756227493286, 1.339301347732544, -0.3849847912788391, -1.0296320915222168, 0.5190911293029785, -1.2504686117172241, 1.008072853088379, 0.9465199708938599, 0.36913928389549255, 2.2865512371063232, 0.5179958939552307, 0.07730048894882202, 0.41531211137771606, 0.5127752423286438, 0.1469772309064865, 0.04351970925927162, 0.46750786900520325, 1.4566655158996582, 0.17857196927070618, 0.08978579193353653, 0.37199148535728455, 0.1619524210691452, 0.11728155612945557, 0.03690735250711441, 0.010369856841862202, 0.04044689983129501, 1.2055906057357788, 0.05418901517987251, 0.15119247138500214, 0.05489252880215645, 0.038698501884937286, 0.3930072486400604, 0.38871029019355774, 0.212879940867424, 0.5628286004066467, 0.19133628904819489, 0.34575214982032776, 0.2750147581100464, 0.5041481256484985, 0.4775361120700836, 0.03838403522968292, 0.6696975827217102, 0.44336092472076416, 0.7964653968811035, 0.36187270283699036, 0.5125415325164795, 0.20391471683979034, 0.5456627607345581]"
6,5250,0.252305269241333,-75.72152709960938,-80.54133605957031,-87.18579864501953,"[2.4714112281799316, 19.859121322631836, -2.9258391857147217, -1.597623586654663, 0.7313414812088013, -1.2350659370422363, 2.819230556488037, 0.17428119480609894, -4.870239734649658, 13.271299362182617, -0.26198655366897583, 0.2573976516723633, 0.06777942180633545, 0.017671285197138786, 0.4606778621673584, -0.18318256735801697, -0.9925772547721863, -2.522991180419922, 0.6695795655250549, -1.7369716167449951, 0.731212854385376, -1.450190544128418, 0.4643714427947998, 0.43267107009887695, -1.2692928314208984, -1.209106206893921, 11.39034652709961, -1.6160845756530762, -0.11448115110397339, 1.837819218635559, 12.750831604003906, 12.242226600646973, 1.9179469347000122, 0.465280145406723, 0.25834500789642334, 2.3888487815856934, -1.5697193145751953, -3.6127736568450928, -0.4036954641342163, 1.3680330514907837, 0.27698904275894165, 1.600720763206482, 0.32068702578544617, 0.01393476314842701, 0.7697929739952087, 0.273057222366333, 0.10488320887088776, 0.11763449013233185, 0.8262861967086792, 0.7064382433891296, 0.2727063298225403, 0.13421866297721863, 0.2268650233745575, 0.0708785206079483, 0.11729039251804352, 0.03336827829480171, 0.08785636723041534, 0.03683650493621826, 0.4844076931476593, 0.13008058071136475, 0.31406983733177185, 0.24574367702007294, 0.15304742753505707, 0.8016493916511536, 0.11372848600149155, 0.3205009698867798, 0.6211653351783752, 0.2260321080684662, 0.33756008744239807, 0.8522222638130188, 0.18902209401130676, 0.22027547657489777, 0.05461554229259491, 0.38260725140571594, 0.23976410925388336, 0.5344292521476746, 0.5509485602378845, 0.5814251899719238, 0.6406066417694092, 0.6346603631973267]"
7,6000,0.22237324714660645,-74.95682525634766,-78.82685089111328,-85.28750610351562,"[-9.725107192993164, 11.834848403930664, 1.9789316654205322, -1.421391248703003, 8.532678604125977, -2.8667612075805664, 2.236706256866455, 0.32851216197013855, 0.5702725648880005, 19.96010971069336, -1.286261796951294, 1.0052642822265625, -0.45501643419265747, 0.8061472773551941, 0.41112691164016724, 1.092398762702942, 0.8609308004379272, 0.5961837768554688, 0.30300474166870117, -1.405285358428955, -0.9077312350273132, 2.829174518585205, -1.7918078899383545, -2.681826591491699, -1.7874914407730103, -0.26074540615081787, -0.2555384039878845, 0.008523404598236084, 0.28976935148239136, -1.2829562425613403, 13.921663284301758, 15.208903312683105, 0.5686084628105164, 1.7605907917022705, -0.9224075078964233, 0.22205674648284912, -2.571221113204956, -6.762068748474121, -2.8798532485961914, -0.11634901165962219, 0.8792997002601624, 1.4114456176757812, 0.7884635329246521, 0.05350455641746521, 1.073868751525879, 0.41133350133895874, 0.2857225835323334, 0.2775529623031616, 0.5249308347702026, 1.4790219068527222, 0.23621588945388794, 0.12824641168117523, 0.3213609457015991, 0.15764494240283966, 0.13020728528499603, 0.053778622299432755, 0.021191071718931198, 0.0533440038561821, 0.6447740793228149, 0.38391178846359253, 0.6834517121315002, 0.1460368037223816, 0.10492841899394989, 0.5913715958595276, 0.23219306766986847, 0.3762478232383728, 0.7158936858177185, 0.7020643949508667, 0.17672374844551086, 0.5125436186790466, 0.8402801156044006, 1.429139256477356, 0.059954944998025894, 0.2755833864212036, 0.4312382638454437, 1.3913838863372803, 0.5210645794868469, 0.21714864671230316, 0.6355672478675842, 0.5546713471412659]"
8,6750,0.21840429306030273,-73.29785919189453,-77.52130126953125,-84.06597137451172,"[-9.577731132507324, 12.69467544555664, -0.8184283971786499, -1.4810642004013062, 7.522256374359131, -1.5426124334335327, 1.8799102306365967, -1.0091536045074463, -0.2509115934371948, 21.311279296875, -1.3527597188949585, 0.8790121078491211, -0.2800581157207489, 1.0897482633590698, -1.4443577527999878, 1.0858510732650757, -1.084855556488037, 0.6134114861488342, 10.25859546661377, -1.552829384803772, -0.19737708568572998, 10.616235733032227, 0.7313311100006104, -2.094592571258545, 0.4128400683403015, -0.1384797990322113, -0.16296455264091492, -2.2021005153656006, 0.9203916192054749, -1.3110636472702026, 16.88101577758789, 16.002426147460938, 0.5809242725372314, 1.8734705448150635, 0.26208415627479553, 0.12040120363235474, -2.5653703212738037, 2.4363014698028564, -0.08566588163375854, -1.51470148563385, 0.6186533570289612, 2.133737087249756, 0.9361766576766968, 0.15521849691867828, 0.8123518824577332, 0.6059150099754333, 0.20664504170417786, 0.16851618885993958, 0.6291117072105408, 1.4168909788131714, 0.21767477691173553, 0.19077648222446442, 0.22569626569747925, 0.26077139377593994, 0.17554575204849243, 0.041605230420827866, 0.02659379132091999, 0.06957506388425827, 0.9565938115119934, 0.22060303390026093, 0.49892640113830566, 0.15568025410175323, 0.04460454732179642, 1.0729689598083496, 0.4695798456668854, 0.20367015898227692, 0.7706860303878784, 0.38871288299560547, 0.21005015075206757, 0.2550601661205292, 0.7019340395927429, 1.185969352722168, 0.049852944910526276, 0.5839203000068665, 0.45742279291152954, 1.0866445302963257, 0.7246676683425903, 0.35658136010169983, 0.8247283697128296, 0.9362190961837769]"
9,7500,0.20455670356750488,-71.44003295898438,-76.3357925415039,-82.69913482666016,"[-13.304328918457031, 10.412896156311035, 4.853700637817383, -1.4886353015899658, 9.645927429199219, -4.299661636352539, 0.336742103099823, 0.4236101508140564, -0.40857967734336853, 20.42803382873535, 1.1335183382034302, 2.4352495670318604, 0.29132384061813354, 2.0532095432281494, -1.4260464906692505, -0.02301933616399765, 0.5502102971076965, -1.150154709815979, -0.7439589500427246, -1.6498550176620483, -1.9502196311950684, 10.924232482910156, 0.5530388355255127, -3.649054527282715, 0.1597798764705658, 0.836570143699646, -2.305544376373291, -1.7834848165512085, -1.0653221607208252, 0.6313871741294861, 14.343062400817871, 14.57819938659668, -1.300613522529602, -2.4803833961486816, -1.6530460119247437, -0.36154985427856445, -2.2597718238830566, -1.0324609279632568, -2.2773234844207764, 1.6680347919464111, 1.8971725702285767, 0.9572440981864929, 1.1872416734695435, 0.08882629871368408, 0.49121159315109253, 0.63429856300354, 0.5221787691116333, 0.21460148692131042, 0.44795024394989014, 1.5451900959014893, 0.37643855810165405, 0.14521969854831696, 0.4218618869781494, 0.5151882767677307, 0.21717114746570587, 0.05702827870845795, 0.04350728169083595, 0.06326889991760254, 0.9910421967506409, 0.43217796087265015, 0.6319711208343506, 0.39333346486091614, 0.10095835477113724, 0.7722880244255066, 0.3648270070552826, 0.18388833105564117, 0.5640062689781189, 0.7147378325462341, 0.7807133197784424, 0.6258345246315002, 1.2384357452392578, 1.887589931488037, 0.16189366579055786, 0.9051033854484558, 0.46707725524902344, 0.8452932238578796, 0.30259689688682556, 0.6858481168746948, 0.8081657290458679, 0.666914701461792]"
