gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.20572185516357422,-85.15257263183594,-92.5930404663086,-95.01138305664062,"[0.02573844976723194, 2.6237730979919434, 0.28546011447906494, -1.2957124710083008, 0.011860288679599762, -1.22421133518219, 1.763443946838379, 2.4202558994293213, 0.3061637878417969, -0.0245574451982975, 0.12271416932344437, 2.5751075744628906, -1.0137574672698975, 0.7086138725280762, -5.447251796722412, -0.18016567826271057, -1.9253039360046387, -1.16971755027771, 0.4582550823688507, -10.855779647827148, 0.8063015937805176, -1.3157294988632202, -2.8606619834899902, -2.3437247276306152, -0.15404553711414337, -0.09917112439870834, -0.8171519637107849, -1.5355758666992188, -1.3546948432922363, -0.22169430553913116, 1.3413589000701904, 0.48721563816070557, -0.7829490900039673, 0.653038501739502, 1.620917558670044, -1.4743223190307617, -0.23875004053115845, -0.029254285618662834, -0.9960340261459351, 0.783713161945343, 0.0010000000474974513, 2.041712760925293, 0.0010000000474974513, 0.0010000000474974513, 0.945557713508606, 0.0010000000474974513, 0.8904165625572205, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 1.6356239318847656, 0.8518321514129639, 0.0010000000474974513, 2.5452816486358643, 1.3282017707824707, 2.229318857192993, 0.0010000000474974513, 0.0010000000474974513, 4.8094706535339355, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 1.4296340942382812, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.42679914832115173, 0.0010000000474974513, 0.20644374191761017, 2.0138585567474365, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.8561063408851624, 0.0010000000474974513, 0.4467390775680542, 0.07329469174146652]"
1,1500,0.23580431938171387,-77.65106964111328,-87.98210144042969,-94.50112915039062,"[0.4900221824645996, 2.5212037563323975, -1.1124883890151978, -1.0961498022079468, 0.6222363114356995, -1.2247568368911743, 0.03265339136123657, 0.13954877853393555, 0.8361841440200806, -1.3911155462265015, 0.11881788820028305, 3.441525459289551, 1.468981146812439, -1.5265922546386719, -22.864864349365234, 2.256857395172119, -0.5397933721542358, -1.0301592350006104, 1.0794763565063477, -3.519442558288574, 0.6779813766479492, 0.11947181075811386, 0.16306358575820923, -3.2711706161499023, -0.050487976521253586, -2.0798933506011963, -1.9193607568740845, -2.3590097427368164, -1.3537498712539673, 1.1021785736083984, -2.974672317504883, 0.5188853740692139, 0.27102482318878174, -6.037788391113281, -0.9165129661560059, -1.4762909412384033, 0.5903313755989075, 0.2427569329738617, -0.47511059045791626, -11.975062370300293, 0.0018085668561980128, 1.4883356094360352, 0.8413867950439453, 1.0644525289535522, 0.5485772490501404, 0.0013243041466921568, 0.8039162158966064, 1.8447562456130981, 0.2700387239456177, 2.1739354133605957, 0.001573885208927095, 1.7888462543487549, 3.4634132385253906, 0.0019055901793763041, 6.011729717254639, 0.8405000567436218, 1.9172734022140503, 0.26182422041893005, 1.8086278438568115, 5.743575096130371, 0.5463518500328064, 0.2199459820985794, 0.22512222826480865, 1.338874101638794, 0.01842508465051651, 0.0019423436606302857, 1.3118815422058105, 0.5779516696929932, 0.0013208898017182946, 0.26638007164001465, 1.2096608877182007, 0.12248554080724716, 1.2470792531967163, 1.6641700267791748, 0.5977455377578735, 0.0016508552944287658, 1.9008525609970093, 0.2842123508453369, 0.3549712300300598, 2.443798303604126]"
2,2250,0.2372760772705078,-68.76544952392578,-82.36874389648438,-93.24590301513672,"[-1.9053924083709717, 1.2253775596618652, -1.096408486366272, 1.4385709762573242, -0.16803503036499023, -2.096877336502075, 0.15755510330200195, 8.840616226196289, -0.3797316551208496, 2.6590576171875, -0.19595584273338318, 1.521526575088501, -9.088571548461914, -2.029555559158325, -22.712974548339844, -0.44941604137420654, -2.370333671569824, 0.10954587161540985, -4.464169502258301, -13.370798110961914, -0.4439502954483032, -1.0169733762741089, -0.23785948753356934, -0.35831791162490845, -1.3063551187515259, 4.120461463928223, 1.8869538307189941, 0.8271269798278809, -0.6855008006095886, -0.6222509741783142, -1.0294978618621826, 0.45501139760017395, -1.5736124515533447, -2.806342124938965, -1.668323278427124, 1.110016942024231, 0.3142383098602295, -0.7497488260269165, 8.226998329162598, -9.825374603271484, 0.4532553255558014, 3.3874192237854004, 4.578691482543945, 1.412805438041687, 3.7764859199523926, 0.8462204933166504, 1.0964365005493164, 3.9378387928009033, 0.4457435607910156, 9.652944564819336, 0.28606531023979187, 0.4352889060974121, 6.273070812225342, 2.7073137760162354, 5.442296504974365, 0.8163483142852783, 0.8970507979393005, 0.623146653175354, 3.6128599643707275, 7.0818257331848145, 0.8547403812408447, 0.5861102342605591, 1.1779382228851318, 0.9273887276649475, 1.3437453508377075, 2.973522901535034, 0.7532670497894287, 0.6827945709228516, 1.5425422191619873, 1.026297688484192, 0.873643159866333, 1.0773683786392212, 1.8483121395111084, 2.4448933601379395, 1.851210594177246, 2.253124952316284, 3.5579681396484375, 0.4746708869934082, 2.341989040374756, 3.6377973556518555]"
3,3000,0.18944382667541504,-58.96855926513672,-75.20222473144531,-90.3253173828125,"[-0.14773544669151306, 7.047326564788818, 0.8502058982849121, 2.4007112979888916, -3.873847723007202, -11.81773567199707, 2.199251413345337, 0.246262788772583, -0.8108038902282715, -0.014589667320251465, 4.081653118133545, -2.6195054054260254, -23.778379440307617, -1.7599042654037476, 7.75496768951416, 5.270822048187256, -0.3011482357978821, 0.6560997366905212, -10.104351997375488, 12.05189323425293, -0.18097534775733948, -0.31545156240463257, -0.03802013397216797, 9.14318561553955, 0.08467653393745422, -3.399461507797241, -1.4031860828399658, 0.39865273237228394, 0.008598685264587402, 0.855326771736145, -2.217632293701172, 6.622982025146484, -1.7902898788452148, -0.07666660100221634, 0.23363268375396729, -1.4216965436935425, -11.406132698059082, -1.1748323440551758, -0.7966039180755615, 1.3396039009094238, 0.12482676655054092, 3.222867012023926, 0.21749158203601837, 0.529743492603302, 2.437037706375122, 1.071211814880371, 0.38656818866729736, 0.5759890675544739, 0.7156527638435364, 0.4167187809944153, 1.3315420150756836, 1.0140600204467773, 1.3039028644561768, 0.13042844831943512, 1.276194453239441, 1.3548612594604492, 0.8236292600631714, 0.029909012839198112, 1.9766759872436523, 7.354213714599609, 0.24738959968090057, 0.7338932156562805, 0.41179540753364563, 0.69854336977005, 0.6876538395881653, 0.4809229373931885, 0.47424259781837463, 0.2774612605571747, 0.3767795264720917, 1.0426274538040161, 0.5603544116020203, 0.31232160329818726, 2.4383225440979004, 0.23583711683750153, 0.3826185166835785, 1.0558409690856934, 1.1904252767562866, 1.3415062427520752, 0.3828428387641907, 0.9468141198158264]"
4,3750,0.2287764549255371,-57.448917388916016,-71.04597473144531,-85.46075439453125,"[0.0022039636969566345, 1.1073496341705322, -4.826352596282959, 1.6382161378860474, -4.909046649932861, -12.372395515441895, 2.064484119415283, 1.7425296306610107, -1.1446517705917358, 0.4992642402648926, 0.7415238618850708, 0.3377094268798828, -20.908281326293945, -1.8621256351470947, -0.030985906720161438, -1.6087807416915894, -6.477670669555664, -0.9541606903076172, -11.17648696899414, 8.566699028015137, 0.3005791902542114, -5.132228851318359, 6.5454559326171875, -1.0331062078475952, -2.3876047134399414, -0.681490421295166, 0.8017750978469849, 1.105614185333252, 0.29971635341644287, -0.6878713369369507, 2.0850484371185303, -2.566894054412842, 4.4032440185546875, -8.128188133239746, 1.9460301399230957, -1.4717775583267212, -14.252584457397461, 2.3811709880828857, 1.1803324222564697, -18.073440551757812, 0.0794111043214798, 2.812124490737915, 2.0721967220306396, 1.051317811012268, 1.559801459312439, 0.6863309144973755, 0.4422566294670105, 2.263653039932251, 1.0953001976013184, 1.3587771654129028, 0.8340309858322144, 2.2156901359558105, 5.172403335571289, 0.5084052085876465, 0.4062958061695099, 1.2132937908172607, 0.7081041932106018, 0.11386176198720932, 0.290650337934494, 0.28612402081489563, 0.20958684384822845, 1.0043199062347412, 0.7041804194450378, 1.313965082168579, 1.3026762008666992, 0.5950281023979187, 1.238988995552063, 0.17900213599205017, 0.34669798612594604, 0.7276219129562378, 0.45304805040359497, 0.4564615488052368, 2.6021363735198975, 0.9334438443183899, 0.2624431252479553, 0.8654553890228271, 1.1484323740005493, 0.8599170446395874, 0.5991541743278503, 1.5331017971038818]"
5,4500,0.23082542419433594,-52.58662796020508,-66.48200988769531,-84.76322174072266,"[-0.20499522984027863, 2.655609607696533, 2.8060669898986816, 1.612701177597046, -10.511695861816406, -9.46178150177002, 0.6021465063095093, 12.06125259399414, -6.281525611877441, -10.559249877929688, -2.0971832275390625, 1.426661491394043, -4.081964015960693, 0.23496675491333008, -22.855499267578125, -0.9598581790924072, -5.294837474822998, 0.992602527141571, -12.89940071105957, 11.134407043457031, 0.7147325873374939, 0.08687430620193481, 3.533404588699341, -13.39051342010498, -2.9298510551452637, -8.044981002807617, -2.3823530673980713, -0.6930882334709167, 0.9268040657043457, 1.7271223068237305, 1.302563190460205, 1.5932327508926392, 10.986251831054688, -0.5891088843345642, -2.770477056503296, -1.4529389142990112, 11.58963394165039, 0.39435088634490967, -1.2267394065856934, -13.034493446350098, 0.07494261115789413, 4.450859069824219, 2.3193960189819336, 1.318408727645874, 3.536848783493042, 1.0932780504226685, 1.5052300691604614, 3.096691608428955, 0.944963812828064, 1.0697293281555176, 1.9632571935653687, 2.2178709506988525, 5.565707683563232, 0.4065723717212677, 4.2314934730529785, 1.528639316558838, 0.8949610590934753, 0.298593670129776, 2.491655111312866, 9.885904312133789, 0.34147799015045166, 0.7911360859870911, 1.9358192682266235, 1.1749556064605713, 1.1950557231903076, 0.7631956934928894, 0.8014482855796814, 0.791913628578186, 0.27683401107788086, 4.096655368804932, 0.6565656065940857, 1.4518362283706665, 3.6498613357543945, 0.8780580759048462, 1.302682876586914, 0.820903480052948, 3.0225841999053955, 1.9968360662460327, 0.7410950660705566, 4.471614837646484]"
6,5250,0.17271161079406738,-44.58505630493164,-63.765716552734375,-81.71184539794922,"[-0.3425840735435486, 3.0259459018707275, 4.114434719085693, 3.8744325637817383, -6.771193504333496, -12.930686950683594, -15.327958106994629, 8.333226203918457, 4.1769843101501465, -12.218663215637207, -0.9865494966506958, -0.20518875122070312, -19.922649383544922, -2.14615535736084, -22.96343994140625, -1.3113120794296265, 3.5720725059509277, -3.2128872871398926, 14.454410552978516, -22.67373275756836, -1.8935080766677856, 4.391359806060791, 3.319254159927368, -10.555585861206055, -1.383074164390564, -6.599534034729004, 3.09454607963562, 4.848567008972168, -2.0861449241638184, 1.3229553699493408, -2.5142486095428467, -4.8872504234313965, -9.538239479064941, -5.434694290161133, -0.9467706680297852, -1.4502366781234741, 26.408870697021484, -16.988962173461914, -1.262717366218567, -2.53411602973938, 1.1225429773330688, 7.473979473114014, 2.80263090133667, 2.685887098312378, 4.592536449432373, 1.729927659034729, 3.146181106567383, 5.158937931060791, 1.7120026350021362, 16.289928436279297, 1.4231513738632202, 4.225976467132568, 9.346548080444336, 1.2772490978240967, 5.369528770446777, 2.001412868499756, 5.808104038238525, 0.7579120397567749, 6.58385705947876, 13.288662910461426, 1.3952890634536743, 2.660457134246826, 2.0022313594818115, 4.990525722503662, 1.2668075561523438, 2.321431875228882, 4.484006881713867, 2.1091601848602295, 1.1270155906677246, 1.2274701595306396, 1.530231237411499, 3.9939725399017334, 5.954324722290039, 3.735194206237793, 1.8925968408584595, 1.125489354133606, 5.760574817657471, 3.9386703968048096, 0.9113237857818604, 4.693194389343262]"
7,6000,0.19698691368103027,-43.023353576660156,-62.80502700805664,-83.29969024658203,"[-9.438918113708496, 47.36778259277344, -11.277379989624023, -8.22467041015625, -9.042716979980469, 10.872041702270508, -4.313728332519531, 19.502397537231445, -1.131110429763794, -32.515647888183594, 2.1442244052886963, -7.0856428146362305, -21.02007293701172, -1.4728341102600098, -26.018390655517578, -7.05914306640625, 2.8827178478240967, 1.5809335708618164, -25.344661712646484, 31.049409866333008, -0.6271944046020508, 3.7783610820770264, 3.5574584007263184, -5.403448104858398, 1.3928182125091553, -2.781972646713257, -3.7951786518096924, -6.892441272735596, -3.317660331726074, -0.8658466339111328, -5.729735374450684, 22.029930114746094, -1.557124137878418, -8.659568786621094, 2.3892180919647217, -1.1712696552276611, 23.882375717163086, -16.630205154418945, 4.240234375, 26.171754837036133, 2.4113662242889404, 18.543716430664062, 10.150431632995605, 4.8886919021606445, 9.304585456848145, 9.643909454345703, 9.014420509338379, 7.7333550453186035, 4.832816123962402, 35.87431716918945, 3.9500844478607178, 5.6042985916137695, 22.512989044189453, 2.7836508750915527, 18.074148178100586, 4.645956516265869, 14.171578407287598, 1.9312782287597656, 9.46657657623291, 45.35512924194336, 1.8052129745483398, 4.132579803466797, 5.336401462554932, 8.333547592163086, 2.465585708618164, 3.9086596965789795, 7.9310383796691895, 3.9259750843048096, 3.073335647583008, 4.354960918426514, 4.676217079162598, 7.9244465827941895, 11.177847862243652, 7.2478461265563965, 3.84256911277771, 3.413628339767456, 13.802535057067871, 8.365323066711426, 2.339625597000122, 16.91777992248535]"
8,6750,0.2123398780822754,-32.97237014770508,-65.08502197265625,-92.53776550292969,"[-2.78996205329895, -11.449359893798828, 14.029947280883789, -28.14971160888672, 26.252777099609375, -24.281063079833984, 25.568431854248047, -9.720003128051758, 7.899783134460449, 22.08761215209961, 0.12935328483581543, -23.036964416503906, 11.574084281921387, -6.064483642578125, -5.034112930297852, -20.294376373291016, -22.75511360168457, -0.02074187994003296, -10.907938957214355, 15.054000854492188, -2.5487656593322754, 10.340618133544922, -11.664937019348145, 7.5136871337890625, 15.710550308227539, -18.781219482421875, 10.553916931152344, 10.505890846252441, 2.8555049896240234, 0.6341109275817871, 7.255547523498535, -16.955476760864258, -0.7022161483764648, -5.780381679534912, -27.16881561279297, -22.104358673095703, 15.660539627075195, -18.40790557861328, -17.270109176635742, 29.85354995727539, 5.855769157409668, 43.138126373291016, 9.73849868774414, 10.268462181091309, 40.86083221435547, 22.011445999145508, 24.00445556640625, 21.593891143798828, 13.207941055297852, 79.71969604492188, 5.021908760070801, 25.411888122558594, 80.4049072265625, 13.116572380065918, 67.2962646484375, 11.5099515914917, 19.179485321044922, 4.875625133514404, 21.320087432861328, 41.43354415893555, 8.741777420043945, 10.741155624389648, 13.743720054626465, 11.890608787536621, 8.876594543457031, 22.059112548828125, 12.849936485290527, 7.7398247718811035, 11.077506065368652, 17.959157943725586, 8.766278266906738, 16.784738540649414, 33.688114166259766, 14.405591011047363, 11.710286140441895, 19.025150299072266, 50.51283645629883, 16.727924346923828, 6.740318775177002, 34.249881744384766]"
9,7500,0.2192854881286621,-39.42318344116211,-65.1266098022461,-86.2313003540039,"[-4.085803985595703, 2.1625328063964844, 2.5177764892578125, 4.534894943237305, 21.059831619262695, -16.4483642578125, 27.4427490234375, -17.798145294189453, -12.459503173828125, -10.122085571289062, -12.001289367675781, -12.447819709777832, -10.306589126586914, 14.611457824707031, -56.66010665893555, 15.77713680267334, 4.7279815673828125, -8.027645111083984, 12.985343933105469, 42.977867126464844, 2.0604631900787354, 5.535126686096191, -8.615468978881836, 46.38385772705078, 6.275673866271973, -9.50275993347168, -22.065059661865234, 1.6464405059814453, -5.783444404602051, -12.318263053894043, -5.100305557250977, -16.03138542175293, -47.92327880859375, 17.92650604248047, -24.131431579589844, -6.623636245727539, -56.66010665893555, -18.999425888061523, -0.5974068641662598, 10.655326843261719, 3.5119271278381348, 35.60271072387695, 9.343621253967285, 13.278618812561035, 21.176294326782227, 15.42906379699707, 26.57915496826172, 11.279114723205566, 7.989580154418945, 71.95991516113281, 6.695570945739746, 10.752030372619629, 25.456809997558594, 6.7300543785095215, 76.98776245117188, 9.721550941467285, 36.065696716308594, 2.9601500034332275, 13.542715072631836, 41.014305114746094, 3.45324444770813, 11.571478843688965, 12.813945770263672, 16.15079689025879, 6.701949596405029, 9.667976379394531, 13.019599914550781, 9.877168655395508, 5.6000213623046875, 10.270796775817871, 3.0880045890808105, 11.638921737670898, 22.95679473876953, 8.93266487121582, 5.759894371032715, 11.37075138092041, 48.6900749206543, 11.19958209991455, 4.920643329620361, 23.43869400024414]"
