gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.19016695022583008,-87.28093719482422,-93.00499725341797,-95.34184265136719,"[-1.161292552947998, -0.528643012046814, -0.9814231991767883, -0.9320664405822754, -0.7187066674232483, -1.196207880973816, -0.5180103778839111, 1.0763412714004517, 1.513986587524414, -0.17954771220684052, -0.09670605510473251, 0.9306133389472961, 0.41595423221588135, 0.12485400587320328, 1.3904588222503662, 2.8626132011413574, 0.5232341289520264, 2.002119779586792, -0.08875538408756256, 0.5868895649909973, -6.92352294921875, 0.016825944185256958, 0.21993234753608704, 0.26089906692504883, -1.5037938356399536, -1.3959277868270874, 0.29871636629104614, 0.1334744095802307, 0.6772623062133789, -2.822340488433838, -0.21903975307941437, -1.3252822160720825, 1.108996868133545, -0.3216785192489624, 1.2767983675003052, 1.2911432981491089, -1.7905793190002441, 1.7679044008255005, 0.7458447813987732, -1.7573143243789673, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.295546293258667, 0.0010000000474974513, 0.0010000000474974513, 0.05791226029396057, 0.4530033767223358, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 1.208038091659546, 0.13167737424373627, 0.0010000000474974513, 1.714655876159668, 1.1375157833099365, 0.0010000000474974513, 0.3055681586265564, 0.05997679382562637, 1.899421215057373, 0.6507079601287842, 0.0010000000474974513, 1.332491159439087, 0.0060067432932555676, 0.0010000000474974513, 0.0010000000474974513, 0.2642553448677063, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.8710998296737671, 0.0010000000474974513, 0.4516991376876831, 0.0046125673688948154, 0.0010000000474974513, 0.8624935746192932, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
1,1500,0.2990400791168213,-83.15198516845703,-89.85917663574219,-94.659423828125,"[1.0008172988891602, -6.663111686706543, 2.682225465774536, -0.556611180305481, -0.9429672956466675, -1.008575439453125, -0.18123042583465576, 1.5820804834365845, 1.4328361749649048, -0.1802954226732254, 0.6614547967910767, 1.8841625452041626, 0.34550249576568604, 0.37884628772735596, 1.3899766206741333, 3.088850259780884, 0.18336552381515503, -0.8462912440299988, -0.1249728873372078, -1.4415487051010132, -8.205070495605469, -0.023628395050764084, -1.197706937789917, 0.17463260889053345, -1.615172266960144, -1.397055745124817, -0.20701615512371063, 0.12521213293075562, -2.4104373455047607, 2.419722557067871, -0.21728308498859406, -1.1300303936004639, 1.0659096240997314, -2.006929636001587, 2.086228847503662, 1.2922548055648804, -1.9714030027389526, 2.0030267238616943, 0.5032961964607239, -1.7816277742385864, 0.0010000000474974513, 0.9388532638549805, 1.106751561164856, 0.1101214662194252, 0.4975167214870453, 0.12257026135921478, 0.5134777426719666, 0.3984801173210144, 0.06697443127632141, 0.001223751693032682, 0.4486525356769562, 0.22379493713378906, 0.20270729064941406, 0.2550814747810364, 0.0010000000474974513, 0.9690085649490356, 0.19806866347789764, 0.07844193279743195, 0.6663649678230286, 0.02661285176873207, 0.9379859566688538, 0.48674193024635315, 0.0010000000474974513, 0.9319884181022644, 0.22644904255867004, 0.0010000000474974513, 0.0010549641447141767, 0.2974591851234436, 0.31692537665367126, 0.5000327825546265, 0.0010000000474974513, 1.1981604099273682, 0.13430525362491608, 0.41117432713508606, 0.3232859671115875, 0.04055342823266983, 0.48297229409217834, 0.22675906121730804, 0.2785676121711731, 0.21160577237606049]"
2,2250,0.19012975692749023,-77.10816192626953,-85.42318725585938,-94.0531997680664,"[-0.9161823987960815, -0.7032250165939331, -12.764442443847656, -1.9733904600143433, 2.499257802963257, 2.14949893951416, -6.421225070953369, -0.35548147559165955, -2.9733901023864746, -0.9123360514640808, 0.0265883207321167, 0.5543826818466187, -1.4746557474136353, -0.08905032277107239, 1.9703336954116821, 0.5605188012123108, -5.761697292327881, -2.1211190223693848, 0.15715211629867554, 0.06213568150997162, 0.7987727522850037, 1.4984925985336304, 0.42628413438796997, 0.9256185293197632, 0.5955374240875244, -1.728363037109375, 0.2637306749820709, -1.593916654586792, 0.3651026487350464, -12.814111709594727, -0.852569043636322, -0.3366830348968506, 1.488265872001648, 0.5620911717414856, -0.4574243426322937, -0.1999235451221466, 1.582612156867981, 1.0386290550231934, 1.1459434032440186, -0.2944532036781311, 0.1379925161600113, 0.924447238445282, 2.750070333480835, 0.13180875778198242, 1.194004774093628, 0.002507323632016778, 0.7849074006080627, 0.11918593943119049, 1.1172630786895752, 0.8459489345550537, 0.7573152780532837, 0.8600701093673706, 0.7986289262771606, 0.019346874207258224, 0.7729290723800659, 0.6814035773277283, 1.505066990852356, 0.39481601119041443, 0.505081832408905, 0.09409970045089722, 0.4396854043006897, 1.2232931852340698, 0.3232448399066925, 1.1409881114959717, 0.07440098375082016, 0.9610433578491211, 0.026991410180926323, 0.6301708221435547, 0.19646108150482178, 2.585850477218628, 0.0021656977478414774, 1.2298288345336914, 0.059647560119628906, 0.33970049023628235, 0.6328346133232117, 0.5390675067901611, 0.27755919098854065, 0.5089401006698608, 0.20041461288928986, 0.434391051530838]"
3,3000,0.18895220756530762,-70.24252319335938,-79.90333557128906,-91.97763061523438,"[1.0163618326187134, -8.002388954162598, -16.132984161376953, -0.7801892161369324, -0.1577533483505249, -0.4773022532463074, 0.13240963220596313, 0.012317895889282227, 4.476953506469727, 0.18351279199123383, 0.8070738315582275, 0.41088759899139404, 1.3604215383529663, 0.20935748517513275, 1.6953343152999878, 5.20542573928833, -0.8093582391738892, -1.0726597309112549, 1.3001821041107178, 0.2157985270023346, -8.736433982849121, 0.34446847438812256, -1.1616804599761963, 0.4407293200492859, -0.2999606132507324, -1.5748615264892578, 2.0099496841430664, 0.5672993659973145, -2.0603601932525635, 14.391374588012695, 1.5993666648864746, -0.9575273990631104, -0.02103331685066223, 0.6105782985687256, 2.0502099990844727, 1.281783103942871, -3.945611000061035, 0.6874263286590576, 1.1737958192825317, 0.5548690557479858, 0.041339170187711716, 1.1009026765823364, 3.9165263175964355, 0.2838914692401886, 1.373542308807373, 0.08600318431854248, 0.53798508644104, 0.6383050084114075, 1.0181963443756104, 0.06304913014173508, 0.9444417953491211, 1.3533180952072144, 0.4529574513435364, 0.33023953437805176, 0.16308175027370453, 1.0630308389663696, 0.3820827305316925, 0.3263431191444397, 1.2483348846435547, 0.10777085274457932, 1.3934017419815063, 1.9236105680465698, 0.2926475405693054, 1.056168794631958, 0.6306323409080505, 0.3759935200214386, 0.4652652442455292, 0.31218022108078003, 0.8773829340934753, 2.7711715698242188, 0.5641228556632996, 2.2215211391448975, 0.7369270920753479, 0.7433140873908997, 0.9810261130332947, 0.6562068462371826, 0.7349938154220581, 0.2553515136241913, 0.8114040493965149, 0.6412240266799927]"
4,3750,0.21990537643432617,-65.25623321533203,-75.09880065917969,-86.96845245361328,"[-0.2477189302444458, -9.892054557800293, -19.011682510375977, -0.025774797424674034, 8.299480438232422, -9.263141632080078, -1.7994537353515625, -1.9934651851654053, 0.4423334002494812, 0.24173784255981445, 2.2738940715789795, 1.5173900127410889, 2.531383514404297, 3.0214366912841797, -0.5160818099975586, 0.3670991361141205, 1.0226397514343262, -2.647707939147949, 0.12549665570259094, -1.3925137519836426, -0.7621930837631226, -1.1102547645568848, -0.19621077179908752, -2.4042840003967285, -3.3112869262695312, -0.7790476083755493, 1.1806962490081787, 1.3733731508255005, 1.6584200859069824, 10.89411735534668, 0.0138736292719841, -2.465094804763794, 2.4892594814300537, 2.5194427967071533, -3.049794912338257, -2.593623161315918, -10.779923439025879, 2.505296230316162, 0.9480733871459961, -1.4913051128387451, 0.14074371755123138, 0.9363880157470703, 1.9895706176757812, 0.25486013293266296, 1.095263123512268, 0.7255598902702332, 1.8008893728256226, 0.45824652910232544, 1.0261332988739014, 0.41639602184295654, 2.1123595237731934, 1.0393238067626953, 0.7264969348907471, 0.32322731614112854, 0.22565361857414246, 0.9492058753967285, 0.6742440462112427, 0.3490472137928009, 0.5364339351654053, 0.19396674633026123, 1.2246068716049194, 1.119081735610962, 0.25172868371009827, 1.1609889268875122, 0.981717050075531, 0.30828604102134705, 0.45201078057289124, 0.3949432075023651, 0.9320873022079468, 2.519196033477783, 0.15714846551418304, 2.6280264854431152, 0.24558863043785095, 1.4390320777893066, 1.2629729509353638, 0.5474148392677307, 0.9302724003791809, 0.46173572540283203, 0.9398058652877808, 1.2912790775299072]"
5,4500,0.20492863655090332,-59.13263702392578,-70.83623504638672,-83.90258026123047,"[-2.428536891937256, -4.035451412200928, -18.125661849975586, 0.22586315870285034, 8.121363639831543, -9.64026165008545, 1.834790587425232, 0.6571939587593079, 1.013559103012085, 1.2088046073913574, -0.37238895893096924, 0.8938375115394592, -0.04359528422355652, 0.6725056171417236, -2.2390451431274414, 1.6946918964385986, -0.019762754440307617, -2.3016817569732666, 1.1899158954620361, -1.4589940309524536, -11.037220001220703, -0.5778407454490662, 0.4180236756801605, -1.3701624870300293, -1.6464581489562988, 0.39076730608940125, -0.626785159111023, -1.2928566932678223, 0.8854423761367798, 9.712610244750977, 0.20878273248672485, 0.6454768180847168, 5.245781421661377, 0.8918561935424805, -8.275797843933105, 12.218843460083008, -3.079228639602661, 1.5542747974395752, 4.3201494216918945, -1.087070107460022, 0.2602000832557678, 1.6526882648468018, 6.661686420440674, 0.4250146746635437, 1.4611728191375732, 0.8904032707214355, 0.9117845296859741, 0.9477899670600891, 2.473651647567749, 0.3518517017364502, 0.8508843183517456, 0.7447834610939026, 1.001797080039978, 0.3962394893169403, 1.2540309429168701, 0.8928861021995544, 0.6472573280334473, 0.2174956351518631, 0.625892698764801, 0.18582619726657867, 1.313080906867981, 1.8245092630386353, 0.2844504415988922, 1.7836850881576538, 1.241980791091919, 0.36729270219802856, 1.1421564817428589, 0.7854611277580261, 0.7767627835273743, 3.15280818939209, 0.32918259501457214, 1.7992395162582397, 0.8777085542678833, 0.5993680953979492, 0.734207272529602, 2.2109127044677734, 1.1033148765563965, 0.6883563995361328, 1.3206568956375122, 1.7881290912628174]"
6,5250,0.20378923416137695,-54.48478317260742,-64.1610336303711,-75.932373046875,"[-1.480704426765442, 1.2894248962402344, -15.801797866821289, -0.6249943971633911, 4.551036834716797, -8.599966049194336, -1.707180380821228, -2.3113715648651123, -3.351486921310425, 0.34386998414993286, 1.0412282943725586, -5.235928058624268, 2.097567081451416, -1.0399516820907593, -1.5635710954666138, 10.66943359375, -0.7924053072929382, 0.9558789730072021, -0.02064204216003418, 2.9763715267181396, -11.52382755279541, 11.110536575317383, -0.19678205251693726, 2.2410173416137695, -0.7914243936538696, -7.854643821716309, -0.3750728368759155, 0.03183445334434509, 5.229615211486816, 21.95318603515625, 0.36152681708335876, 4.110230445861816, 2.474700689315796, 0.7529597282409668, -0.6657367944717407, 13.695931434631348, -8.571220397949219, 1.490377426147461, -2.1637468338012695, 0.74537593126297, 0.1487055867910385, 1.0884032249450684, 2.181710958480835, 0.1633211225271225, 0.9379909634590149, 0.7525159120559692, 1.0941143035888672, 0.6433594822883606, 1.3858442306518555, 0.3271763026714325, 1.130025863647461, 0.3469904661178589, 0.4661600589752197, 0.43311116099357605, 0.45823413133621216, 1.4864130020141602, 2.329087972640991, 0.7151302695274353, 0.9911609292030334, 0.08449123054742813, 0.6673819422721863, 1.5811100006103516, 0.21763913333415985, 0.9112418293952942, 0.5062177181243896, 0.3766798675060272, 1.6241604089736938, 0.8914186954498291, 0.7560489773750305, 4.797372817993164, 0.3111747205257416, 1.937071681022644, 0.28023892641067505, 1.2141600847244263, 1.0271174907684326, 0.9563378691673279, 1.0207566022872925, 0.3897571265697479, 0.6458648443222046, 0.01622151955962181]"
7,6000,0.21953368186950684,-50.30708312988281,-59.42573928833008,-73.55953979492188,"[0.7457361817359924, -2.1142845153808594, -12.724449157714844, -1.3291468620300293, 7.43504524230957, -15.27917766571045, -6.751640319824219, -4.932069778442383, 0.9813294410705566, 0.6008296608924866, 0.3848787844181061, 0.8764680624008179, 0.6124567985534668, -1.0018283128738403, 2.888131856918335, 5.401368141174316, 0.6142348647117615, -3.956397294998169, -1.4462484121322632, -0.5957053899765015, -23.261322021484375, 1.5932133197784424, -0.3275747299194336, -1.3093771934509277, -2.028909206390381, -1.0747146606445312, -0.6622278690338135, 1.6301140785217285, 2.238452911376953, 22.78423309326172, -0.016933195292949677, -12.949832916259766, 1.953848958015442, 3.0361554622650146, -7.501980781555176, 13.380186080932617, -11.71316146850586, -0.012290360406041145, 0.697475016117096, 1.4550271034240723, 0.13746051490306854, 0.8278050422668457, 4.944991588592529, 0.30448392033576965, 1.3949147462844849, 1.0634628534317017, 1.6445248126983643, 0.6456656455993652, 0.9008433222770691, 0.39957717061042786, 0.5305145978927612, 0.5874631404876709, 1.5158756971359253, 0.753497838973999, 0.5711991786956787, 0.883578896522522, 0.8810030221939087, 0.2008644938468933, 0.8387438058853149, 0.17237302660942078, 1.7852203845977783, 1.037367343902588, 0.010676410980522633, 2.1188645362854004, 0.5328973531723022, 0.4166688621044159, 0.7464451789855957, 0.3038673996925354, 0.653257429599762, 2.925297260284424, 0.15063051879405975, 3.1988093852996826, 0.3771962523460388, 0.7227535247802734, 0.76732337474823, 1.1926679611206055, 0.770317554473877, 0.24444356560707092, 1.0922340154647827, 1.2274391651153564]"
8,6750,0.22151541709899902,-46.30124282836914,-55.35979461669922,-68.30836486816406,"[-3.1844592094421387, -0.04262042045593262, -16.23894500732422, -1.6497268676757812, 8.26328182220459, -14.638102531433105, 1.105432152748108, -4.675111770629883, -3.2101433277130127, 0.7663063406944275, 0.9098381400108337, 0.3633086085319519, 2.1561312675476074, 1.3256568908691406, 2.080857515335083, 12.369039535522461, -5.712121963500977, -3.902162551879883, -0.6242855787277222, -0.6609660387039185, -26.166528701782227, 13.209707260131836, 0.08347666263580322, -3.139889717102051, 0.3560834228992462, -8.015562057495117, -0.5077346563339233, -1.275696039199829, 5.850161075592041, 25.81700897216797, 0.3428913354873657, 2.4047627449035645, 2.008979320526123, 2.664198637008667, -7.889071941375732, 14.420583724975586, -10.63333511352539, 0.4945308566093445, -0.7941848635673523, 0.36981964111328125, 0.22086969017982483, 0.9116758108139038, 3.8199894428253174, 0.32563677430152893, 1.5872786045074463, 0.8860848546028137, 1.6033453941345215, 0.7088420391082764, 1.0316908359527588, 0.5927585363388062, 0.6785807013511658, 0.8463876247406006, 1.2281396389007568, 0.6958814263343811, 0.47629210352897644, 1.4464377164840698, 2.1936237812042236, 0.24231252074241638, 1.4959789514541626, 0.15491870045661926, 1.746347188949585, 0.6625981330871582, 0.0960499569773674, 2.0002589225769043, 0.5589409470558167, 0.4796515703201294, 0.7678560018539429, 0.517067015171051, 0.7686833739280701, 4.071882247924805, 0.16284464299678802, 2.2212233543395996, 0.37222611904144287, 0.9771645665168762, 1.058569312095642, 1.52077317237854, 1.5274652242660522, 0.36400625109672546, 1.4656054973602295, 1.4234058856964111]"
9,7500,0.2511711120605469,-44.58344268798828,-49.91163635253906,-60.027103424072266,"[-1.9342912435531616, -3.03852915763855, -19.675506591796875, -0.4931392967700958, 10.843749046325684, -14.176457405090332, -16.074548721313477, -0.3569721579551697, -10.398362159729004, 0.13563038408756256, -0.6124110817909241, 0.024732723832130432, 1.274688959121704, 0.5272383093833923, 2.587968349456787, 6.319305896759033, -4.207616329193115, 0.18516993522644043, 1.724724531173706, -1.0382548570632935, -8.054862976074219, 11.25965690612793, -0.3260657787322998, 3.7054386138916016, -0.5879243016242981, -0.2831847071647644, -0.5515654683113098, 1.0075446367263794, 6.5369343757629395, 22.776689529418945, 0.31005391478538513, -12.034154891967773, 3.4787137508392334, -5.1872382164001465, -6.6009931564331055, 12.887351036071777, -8.033854484558105, 1.2474857568740845, 0.17082653939723969, 1.1282459497451782, 0.05897517502307892, 0.47972047328948975, 1.1528607606887817, 0.0411287322640419, 0.6824837923049927, 1.0427298545837402, 0.7250862717628479, 0.31402894854545593, 0.7209967970848083, 0.2102419137954712, 1.0985374450683594, 0.4422236680984497, 0.6188027858734131, 0.22812864184379578, 0.39888542890548706, 2.0862529277801514, 1.4557156562805176, 0.38080623745918274, 0.8674432635307312, 0.1884196251630783, 0.3167933523654938, 1.270774006843567, 0.1106991395354271, 1.205504059791565, 0.38204073905944824, 0.2134605348110199, 0.8012375235557556, 0.41799771785736084, 0.7238254547119141, 0.0010000000474974513, 0.1611829400062561, 0.7165082097053528, 0.5046173930168152, 0.6496285200119019, 1.4725384712219238, 0.9220616221427917, 0.7436408400535583, 0.15025179088115692, 0.2044871747493744, 0.43251121044158936]"
