gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.20817208290100098,-86.66163635253906,-91.44340515136719,-92.49525451660156,"[-0.03454430773854256, 0.4277478754520416, -0.6529467701911926, -0.3232077956199646, -0.16852886974811554, 1.1335865259170532, 0.554405927658081, 0.5128484964370728, -7.659900665283203, -0.6880741715431213, -0.2556493878364563, 0.15491418540477753, -1.303515076637268, 0.4131935238838196, 0.21505111455917358, -1.322054147720337, -1.2950513362884521, 0.3632338345050812, -0.12013688683509827, 1.2077233791351318, -0.7830649018287659, 1.4906355142593384, 1.054375410079956, -3.893099069595337, 1.2333439588546753, 1.3719536066055298, 0.3251541256904602, 1.9117275476455688, 0.877091646194458, 1.292973518371582, 2.854898452758789, 0.4169721007347107, -0.2122088521718979, -0.6304487586021423, -0.6078760027885437, 4.725261688232422, 1.0808569192886353, 2.283715009689331, -0.7048162221908569, 0.2094898670911789, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.8277231454849243, 0.2389320284128189, 4.578246593475342, 0.08188873529434204, 0.0010000000474974513, 0.0010000000474974513, 0.4402121305465698, 0.0010000000474974513, 0.32941675186157227, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.7616530060768127, 0.0010000000474974513, 0.6435949206352234, 0.0010000000474974513, 1.2687381505966187, 0.0010000000474974513, 0.0010000000474974513, 0.9039478898048401, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.8208089470863342, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 2.7185709476470947, 1.9982246160507202, 0.0010000000474974513, 0.0010000000474974513, 1.5174942016601562, 0.0010000000474974513]"
1,1500,0.2677469253540039,-81.34532165527344,-89.45916748046875,-91.95945739746094,"[-0.03592940792441368, 0.4274880290031433, -0.6542009115219116, -0.32313117384910583, 0.802811324596405, 0.2630353271961212, -2.901599884033203, 0.17729860544204712, -12.659158706665039, -0.8883209824562073, -0.25689181685447693, 0.15278303623199463, 0.11695778369903564, 0.41494694352149963, 0.5477092862129211, -0.6985837817192078, -1.294296383857727, 0.3639054000377655, -1.5285120010375977, -0.47259843349456787, -0.7771327495574951, 1.520847201347351, 1.0539132356643677, -10.129776000976562, 1.2339686155319214, 1.3714760541915894, -2.2914633750915527, 0.19549795985221863, 0.8787875175476074, 1.2931814193725586, -1.419334053993225, 1.1684675216674805, -0.21284808218479156, -0.4557233154773712, 3.258942127227783, 0.563146710395813, -0.9774167537689209, 2.283560276031494, 2.4502129554748535, -0.5890918374061584, 0.001697896746918559, 0.0014364238595589995, 0.0016165310516953468, 0.0012583336792886257, 0.0016105890972539783, 0.0015131342224776745, 1.0493077039718628, 0.3937431871891022, 7.809503555297852, 0.10744281858205795, 0.0013638284290209413, 0.002022098982706666, 0.9282931685447693, 0.0013077403418719769, 0.47532036900520325, 0.0017553606303408742, 0.0017131222411990166, 0.0018309607403352857, 0.0010000000474974513, 1.3165397644042969, 0.0014422733802348375, 0.518441915512085, 0.0017364624654874206, 3.461282253265381, 0.0015439307317137718, 0.001867881277576089, 2.2218875885009766, 0.0016278650145977736, 0.0017986235907301307, 0.0010000000474974513, 1.3244718313217163, 0.002316855825483799, 0.0016792627284303308, 0.0016804806655272841, 2.743276596069336, 2.021749258041382, 0.0019824951887130737, 0.0015072431415319443, 2.321561098098755, 0.0010000000474974513]"
2,2250,0.22035622596740723,-79.49735260009766,-84.49042510986328,-91.75946807861328,"[0.1808082014322281, 0.21245571970939636, -1.6291241645812988, 0.000968392938375473, -0.17203107476234436, -0.3488425016403198, 0.881928563117981, -0.39587292075157166, -13.633934020996094, 1.5214641094207764, -0.24551938474178314, 0.34048157930374146, 1.795218825340271, 0.052142366766929626, 0.1280391961336136, 0.5876134037971497, 1.4237431287765503, -0.6822800636291504, -0.13071633875370026, -2.1121978759765625, -1.2665510177612305, -2.760324001312256, 1.8075355291366577, -6.475865364074707, -1.830698013305664, -0.5025157332420349, 0.458420991897583, 0.04821828007698059, -2.0412545204162598, -0.3165217339992523, 0.056439489126205444, 1.3984203338623047, -0.21244101226329803, 1.5234664678573608, 0.3893444538116455, 2.040781021118164, 1.0300045013427734, 2.290778160095215, -0.20919859409332275, 1.3732686042785645, 0.447318971157074, 0.41420358419418335, 0.4585663378238678, 0.024709902703762054, 0.04891921952366829, 0.17248040437698364, 1.7001441717147827, 1.1945469379425049, 2.4989168643951416, 0.4284740090370178, 0.2868160009384155, 0.23268869519233704, 0.2519500255584717, 0.0819011703133583, 0.19295434653759003, 0.0010000000474974513, 0.0018041179282590747, 0.001380250439979136, 0.12622418999671936, 0.6972767114639282, 0.9006268978118896, 1.0904525518417358, 0.0011857133358716965, 2.1061854362487793, 0.5779024362564087, 0.0010000000474974513, 0.21959589421749115, 0.1670667976140976, 0.5338361263275146, 0.0011459066299721599, 0.3624488413333893, 0.25495126843452454, 0.25757360458374023, 0.11639399826526642, 1.8352420330047607, 2.0957183837890625, 0.06802648305892944, 0.012411484494805336, 0.7250141501426697, 0.3745715916156769]"
3,3000,0.23779082298278809,-76.07110595703125,-82.25768280029297,-91.48368835449219,"[-2.164010763168335, 2.2044620513916016, 0.5437268018722534, 0.7636433243751526, -0.018786316737532616, -1.682869553565979, -2.8451855182647705, -0.5776287317276001, -12.968585968017578, -0.15217465162277222, -0.07502894848585129, 0.4763486087322235, 3.2768728733062744, -0.04732367396354675, -2.9652023315429688, 1.2762291431427002, 0.8398476839065552, 1.1531399488449097, -0.834375262260437, 1.469648838043213, -2.1795055866241455, -1.501772403717041, 0.439261794090271, -4.549552917480469, -0.6752078533172607, 0.6590592861175537, -1.558561086654663, 0.7715253233909607, 2.2858757972717285, 1.1325299739837646, 3.05111026763916, -0.2804282307624817, 0.18966332077980042, 0.530595064163208, 0.22812199592590332, 15.622905731201172, 1.2224680185317993, 2.2842459678649902, -0.12082207202911377, 0.24034889042377472, 0.18494349718093872, 0.011491095647215843, 0.22032666206359863, 0.0015753976767882705, 0.22933068871498108, 0.19915352761745453, 1.2732609510421753, 0.12989339232444763, 1.5233619213104248, 0.13945649564266205, 0.04771672561764717, 0.18133103847503662, 0.39136961102485657, 0.1745300143957138, 1.1992101669311523, 0.0012909419601783156, 0.40432262420654297, 0.0010106643894687295, 0.10214786231517792, 0.6029871106147766, 0.3502008318901062, 0.2125701606273651, 0.23884744942188263, 1.153303861618042, 0.5547405481338501, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.6379029750823975, 0.0010000000474974513, 0.894420862197876, 0.0403473787009716, 0.036695532500743866, 0.29833343625068665, 0.9439614415168762, 1.7057355642318726, 0.0010000000474974513, 0.0010000000474974513, 1.241173267364502, 0.3001347780227661]"
4,3750,0.23561429977416992,-70.83830261230469,-79.37718963623047,-89.6412353515625,"[-0.41501492261886597, 0.45917585492134094, -0.6939754486083984, 0.7796079516410828, -0.038861244916915894, 1.0579625368118286, -1.6273846626281738, 3.4501609802246094, -13.266446113586426, 3.1146774291992188, -0.4551163613796234, -0.7260934710502625, 3.150364637374878, -0.27685919404029846, -3.6969194412231445, 0.7861136794090271, 0.8927056193351746, 0.36185121536254883, -0.7655394673347473, 0.16044139862060547, -0.7277624607086182, -1.2889306545257568, 1.8024462461471558, -5.643553256988525, 1.8598592281341553, 0.22991086542606354, -2.0038743019104004, -1.2679365873336792, -1.3051097393035889, 1.6692718267440796, 1.102083683013916, -0.0851006954908371, -1.2291072607040405, 0.11022242903709412, 1.6885923147201538, 16.381587982177734, -1.2729917764663696, 0.5581406354904175, 2.328798770904541, 1.2554256916046143, 0.19133853912353516, 0.06838344782590866, 0.2926320731639862, 0.003214994678273797, 0.28243592381477356, 0.16839104890823364, 1.357757329940796, 0.2828817665576935, 1.39554762840271, 0.25685355067253113, 0.081667460501194, 0.1796359121799469, 0.2992897927761078, 0.21096903085708618, 0.2572992444038391, 0.19315525889396667, 0.28669843077659607, 0.0012116075959056616, 0.00713759008795023, 0.6628519296646118, 0.12135835736989975, 0.3324219286441803, 0.005697001703083515, 0.38214731216430664, 0.40947800874710083, 0.0010000000474974513, 0.19580620527267456, 0.06251538544893265, 0.3237283527851105, 0.013629087246954441, 0.48156672716140747, 0.03282047435641289, 0.0076514859683811665, 0.13656115531921387, 0.7942845225334167, 0.6274070143699646, 0.04046948626637459, 0.0032505092676728964, 0.9999876022338867, 0.06951391696929932]"
5,4500,0.2514829635620117,-66.20025634765625,-74.3955078125,-84.85846710205078,"[-0.12429097294807434, 0.30643707513809204, 0.48109936714172363, 0.782699465751648, 2.216129779815674, -0.365331768989563, -0.3165104389190674, 3.387268304824829, -14.44089412689209, 2.7338829040527344, -0.4239337146282196, 0.5418535470962524, 1.4261181354522705, -0.6654286980628967, -3.342895984649658, 0.5255060791969299, 2.184995651245117, -0.7343946695327759, 0.25062042474746704, 0.13836412131786346, -0.8649502396583557, -0.935936689376831, 1.8458757400512695, -4.322605133056641, 0.5139573812484741, 0.21273423731327057, -1.8684011697769165, 1.3710445165634155, -1.0349546670913696, 1.661995530128479, 0.3403392434120178, -0.07897591590881348, -1.814666748046875, 1.320228934288025, 5.595963478088379, 23.03441619873047, -1.2611292600631714, 0.561945915222168, 3.005821704864502, 4.595439434051514, 0.3770845830440521, 0.11614160984754562, 0.5333449840545654, 0.007839313708245754, 0.40081632137298584, 0.20248746871948242, 1.7561477422714233, 0.3446248769760132, 2.4961650371551514, 0.4536827802658081, 0.09713796526193619, 0.25575774908065796, 0.2751084566116333, 0.3518790602684021, 0.6831876039505005, 0.17937935888767242, 0.5966616868972778, 0.03924468532204628, 0.07724430412054062, 0.6492779850959778, 0.36121904850006104, 0.6235052347183228, 0.04629237949848175, 1.3185914754867554, 0.48515063524246216, 0.020709306001663208, 0.41692987084388733, 0.12814012169837952, 0.45568591356277466, 0.014186176471412182, 0.5846773386001587, 0.034000106155872345, 0.13590866327285767, 0.30819687247276306, 1.1949808597564697, 3.0340418815612793, 0.03160155564546585, 0.003551586763933301, 1.812351942062378, 0.28178927302360535]"
6,5250,0.235886812210083,-64.9804916381836,-68.99919891357422,-78.93528747558594,"[-0.043108612298965454, 0.3149469196796417, -0.5605093240737915, -0.3071386516094208, 0.37617743015289307, 0.04437027871608734, -5.332830429077148, -0.9574828743934631, -13.50516128540039, 2.235203266143799, 0.11910241842269897, 3.897766590118408, 2.692958354949951, -0.13768666982650757, -3.331352472305298, 0.1539076566696167, -1.328101634979248, 1.1614775657653809, -0.07839196920394897, 2.342449426651001, -4.034332275390625, -2.0090925693511963, 2.096496343612671, -9.700859069824219, 0.08556795120239258, 0.6583672165870667, -1.8093328475952148, -0.0186990424990654, 3.280592441558838, -0.8992392420768738, 0.7870412468910217, 0.6599297523498535, -1.9819087982177734, 1.0113725662231445, 4.603157997131348, 20.676586151123047, -1.2356200218200684, 2.3292832374572754, 0.7807652950286865, -0.3749645948410034, 0.11479135602712631, 0.06850548833608627, 0.0922345444560051, 0.00873259361833334, 0.2877894341945648, 0.1173098087310791, 1.3297020196914673, 0.16203609108924866, 1.5124177932739258, 0.16571144759655, 0.0010000000474974513, 0.23013806343078613, 0.13515961170196533, 0.09016580134630203, 0.6889548301696777, 0.043459419161081314, 0.41413772106170654, 0.008259383030235767, 0.1348576694726944, 0.0334756001830101, 0.32328134775161743, 0.1451287716627121, 0.07428884506225586, 0.5574659109115601, 0.14576441049575806, 0.0030923704616725445, 0.11976383626461029, 0.04328896850347519, 0.3341798186302185, 0.03883237764239311, 0.013887283392250538, 0.0858820378780365, 0.09854458272457123, 0.05552234500646591, 0.6698759198188782, 3.0926501750946045, 0.017274312674999237, 0.04891660064458847, 0.5443143248558044, 0.0936688482761383]"
7,6000,0.23735356330871582,-64.0517807006836,-66.5940170288086,-74.56766510009766,"[-0.07894909381866455, 0.19172170758247375, 0.8739113807678223, -0.30778104066848755, 0.42450764775276184, 0.48636478185653687, -4.1901350021362305, -0.9462501406669617, -14.996169090270996, 2.5112388134002686, 0.12035480886697769, 3.7668604850769043, 2.720034122467041, -0.19700995087623596, -3.9218039512634277, 0.5523219108581543, -0.016230620443820953, 1.1568408012390137, 0.3898080587387085, 0.9679699540138245, -3.870527982711792, -1.987907886505127, 2.0881099700927734, -9.636975288391113, 0.5173507928848267, 0.20896568894386292, -2.0389113426208496, -0.07358124852180481, -1.3685948848724365, 1.1339877843856812, 1.7460078001022339, -0.3362557291984558, 0.43039193749427795, 0.9770900011062622, 4.870155334472656, 23.143234252929688, -1.236011028289795, 2.3713910579681396, -1.1379570960998535, -0.31514137983322144, 0.09603319317102432, 0.1026608794927597, 0.06997551769018173, 0.006211192347109318, 0.14141440391540527, 0.10104282945394516, 1.4426672458648682, 0.14703792333602905, 1.0968798398971558, 0.2210354506969452, 0.011328913271427155, 0.20273947715759277, 0.13655750453472137, 0.12292782962322235, 0.5931522250175476, 0.054125625640153885, 0.27904146909713745, 0.016372114419937134, 0.09280910342931747, 0.43855366110801697, 0.13029643893241882, 0.02178073674440384, 0.03418887406587601, 0.2821604609489441, 0.10099184513092041, 0.004251914564520121, 0.1610645353794098, 0.04149395599961281, 0.1917572170495987, 0.02028035745024681, 0.29850736260414124, 0.025014175102114677, 0.1221962422132492, 0.0430414043366909, 0.6641255617141724, 1.6407601833343506, 0.014404627494513988, 0.032433103770017624, 0.8260800838470459, 0.04030172526836395]"
8,6750,0.20439648628234863,-63.59873962402344,-64.78115844726562,-67.19026184082031,"[-0.7462940216064453, 2.7164134979248047, -0.2822142541408539, -0.35024797916412354, 0.4517709016799927, -0.2670980989933014, -3.9854416847229004, -1.2207989692687988, -15.393939018249512, 2.8664402961730957, -0.3787693679332733, -0.6905960440635681, 2.4427127838134766, -0.03676930069923401, -3.4788267612457275, 0.34064316749572754, 1.3640902042388916, 1.1354846954345703, -0.4489744305610657, 1.3063805103302002, -0.710837185382843, -1.7994747161865234, 2.133300542831421, -10.831135749816895, -1.6254459619522095, 0.6631917953491211, -1.8351305723190308, 1.061113953590393, 3.9450266361236572, -0.8866086602210999, 0.8281261324882507, 0.334123432636261, 0.3926243782043457, 0.5537054538726807, 5.60134744644165, 22.508214950561523, 2.2410054206848145, 2.2566733360290527, -0.1752823442220688, -0.5930750966072083, 0.0524427592754364, 0.014260255731642246, 0.0010000000474974513, 0.0010000000474974513, 0.32412803173065186, 0.06600404530763626, 0.11026044189929962, 0.04895734041929245, 0.10433376580476761, 0.03900124505162239, 0.056243959814310074, 0.022034989669919014, 0.06025431677699089, 0.03395358845591545, 0.30257275700569153, 0.0010000000474974513, 0.22953234612941742, 0.006375346798449755, 0.03248800337314606, 0.12837287783622742, 0.13187956809997559, 0.010923488065600395, 0.023909812793135643, 0.47706863284111023, 0.21591833233833313, 0.007303495891392231, 0.030420949682593346, 0.03360738605260849, 0.06625927239656448, 0.009829765185713768, 0.27458733320236206, 0.030647093430161476, 0.0997798964381218, 0.03233632445335388, 0.15119580924510956, 0.5710760354995728, 0.009295441210269928, 0.011316396296024323, 0.0010000000474974513, 0.0455697737634182]"
9,7500,0.23609280586242676,-63.1602668762207,-64.64117431640625,-70.31644439697266,"[3.45154070854187, 2.712843894958496, -0.2862855792045593, 0.7684721350669861, -1.0920946598052979, -1.6675431728363037, 0.525397777557373, -1.3827344179153442, -15.449935913085938, 3.2175168991088867, -0.4344949722290039, -0.7609556317329407, 2.601280689239502, 1.1975613832473755, 0.10829925537109375, 0.33448925614356995, 1.2071075439453125, 1.1518237590789795, -0.5742987990379333, 1.2095144987106323, -5.0796217918396, -3.4323055744171143, 2.295030355453491, -10.789645195007324, -1.9477214813232422, 0.658499002456665, -1.6208099126815796, 0.8516119718551636, 4.000821113586426, -0.8870118260383606, -0.9214112162590027, 0.2477078139781952, 0.27879753708839417, 0.24098198115825653, 4.934665679931641, 22.381946563720703, 2.2389659881591797, 2.240391254425049, 0.1749110072851181, -0.6757252216339111, 0.10556785762310028, 0.04377619922161102, 0.12564072012901306, 0.00335959461517632, 1.4020439386367798, 0.15298976004123688, 0.5093011260032654, 0.2983163893222809, 0.12961868941783905, 0.1191587969660759, 0.08940759301185608, 0.12005114555358887, 0.1431536078453064, 0.04484296962618828, 0.44084876775741577, 0.01237556617707014, 0.768166720867157, 0.012871799059212208, 0.0770573765039444, 0.36078473925590515, 0.3899725079536438, 0.038422539830207825, 0.0620039664208889, 0.6476648449897766, 0.29574909806251526, 0.019675953313708305, 0.10767069458961487, 0.04990018159151077, 0.10140103101730347, 0.035017140209674835, 0.7226919531822205, 0.06452570110559464, 0.12934476137161255, 0.07137501239776611, 0.6536559462547302, 1.0420892238616943, 0.02531311847269535, 0.015549014322459698, 0.4221315383911133, 0.11642586439847946]"
