gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.19503998756408691,-86.73220825195312,-93.3125,-95.77489471435547,"[-1.156757116317749, -1.7214757204055786, 0.2641734480857849, -0.6647720336914062, 1.0259881019592285, 1.385783076286316, 0.393607497215271, -1.27566659450531, -0.11701536923646927, -0.6034433841705322, 7.05081844329834, -0.6609794497489929, 0.8208926916122437, -0.3778929114341736, -0.3000263273715973, -0.6032230854034424, 1.4080959558486938, 0.32323718070983887, 0.6317115426063538, -1.3345797061920166, 1.16316556930542, -1.3483821153640747, -0.8084219694137573, 0.22688810527324677, 1.013060450553894, 0.2700668275356293, 1.0857810974121094, 1.2245681285858154, 3.5105607509613037, -0.9436616897583008, -2.3320798873901367, -0.987749457359314, -0.802780032157898, 2.12221097946167, -0.8570780754089355, 3.345560073852539, -1.1012502908706665, 0.7907971739768982, 0.65467369556427, 1.9180192947387695, 0.0010000000474974513, 0.0010000000474974513, 0.5608291625976562, 0.0010000000474974513, 0.0010000000474974513, 0.050723932683467865, 0.0010000000474974513, 0.08942478150129318, 0.0010000000474974513, 0.0010000000474974513, 2.4181504249572754, 0.0010000000474974513, 0.0010000000474974513, 0.947903037071228, 0.0010000000474974513, 0.3641563951969147, 0.0010000000474974513, 0.5143107175827026, 0.05769005045294762, 0.731423556804657, 0.06231085956096649, 0.0010000000474974513, 0.07289732992649078, 0.0010000000474974513, 0.0010000000474974513, 0.17575740814208984, 0.0010000000474974513, 0.0010000000474974513, 0.5533832311630249, 0.11590318381786346, 1.038807988166809, 0.2574291527271271, 0.3694077730178833, 0.0010000000474974513, 0.0010000000474974513, 0.8749425411224365, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.450266033411026]"
1,1500,0.22078537940979004,-83.2705078125,-90.30101776123047,-95.22720336914062,"[-0.46984177827835083, -1.7604490518569946, 0.7644484639167786, 1.7677514553070068, -0.30309322476387024, 1.3689579963684082, 0.39268240332603455, -0.3539513349533081, 0.06537651270627975, -4.324193954467773, 8.153655052185059, -0.6614208817481995, 0.822704017162323, 1.8851728439331055, -0.30132797360420227, 2.794728994369507, -0.443550705909729, 0.29813235998153687, -3.222702741622925, -1.0075104236602783, -1.5555192232131958, 0.014913901686668396, -0.5137147307395935, 0.5093128681182861, 1.0145528316497803, -1.1242090463638306, 1.0866081714630127, 1.224317193031311, 3.877990484237671, -0.9844637513160706, 1.0225763320922852, -0.841015100479126, -0.8155966401100159, 2.6521778106689453, -2.5867650508880615, 2.6747710704803467, -1.1018792390823364, 0.11969269812107086, 1.2944703102111816, -2.1018683910369873, 0.0704183503985405, 0.061193667352199554, 0.5249729752540588, 0.23007436096668243, 0.03065975196659565, 0.018574126064777374, 0.0010000000474974513, 0.5923907160758972, 0.4222087562084198, 0.39694154262542725, 1.2259588241577148, 0.0010000000474974513, 0.0010000000474974513, 0.29781919717788696, 0.0010000000474974513, 0.23558101058006287, 0.33766666054725647, 0.3146217465400696, 0.5847733616828918, 0.34872883558273315, 0.03791683167219162, 0.0011776807950809598, 0.16487622261047363, 0.04841667041182518, 0.0010024846997112036, 0.05232776328921318, 0.0010000000474974513, 0.0011926285224035382, 0.27029716968536377, 0.09811177104711533, 0.24451902508735657, 0.1713389754295349, 0.12494385987520218, 0.0010000000474974513, 0.2896391451358795, 0.48548775911331177, 0.0010756970150396228, 0.04576177895069122, 0.0010000000474974513, 0.563136637210846]"
2,2250,0.2355058193206787,-78.78296661376953,-85.52859497070312,-94.34455108642578,"[0.4915078282356262, 1.225836992263794, 2.213681697845459, 0.013096153736114502, -1.2657861709594727, -0.11882581561803818, -1.7017675638198853, -2.164395332336426, -0.6882182359695435, -0.12121790647506714, -1.6296604871749878, -1.0379889011383057, 0.2278343141078949, -0.034633878618478775, 0.8270763158798218, -0.03310191631317139, 9.365911483764648, -1.429704189300537, -0.2143169343471527, -0.42398789525032043, 0.7874890565872192, 0.9636398553848267, 3.377891778945923, 2.184056520462036, -0.6641820669174194, -1.137953281402588, 2.1745076179504395, -0.38773825764656067, -2.4059364795684814, -0.5968016982078552, -0.4724430739879608, 1.0898010730743408, -5.531137466430664, 2.8412911891937256, -2.9403929710388184, -1.4642058610916138, -0.3946229815483093, -0.16314198076725006, -0.42579397559165955, 0.4709120988845825, 0.39207881689071655, 0.03936862200498581, 0.13037072122097015, 0.4726066291332245, 0.11186020076274872, 0.20528121292591095, 0.07922530174255371, 0.4181479513645172, 0.23853088915348053, 0.7501074075698853, 1.37677001953125, 0.20207390189170837, 0.017955532297492027, 0.018338143825531006, 0.07156315445899963, 0.15842686593532562, 0.7355650663375854, 0.2310524433851242, 0.325949490070343, 0.10297064483165741, 0.1387736052274704, 0.0010000000474974513, 0.38325539231300354, 0.27807357907295227, 0.0017273779958486557, 0.23624037206172943, 1.3214037418365479, 0.0012518902076408267, 0.5453431010246277, 0.7655342817306519, 0.16536864638328552, 0.0011445964919403195, 0.48584142327308655, 0.35086357593536377, 0.7281018495559692, 0.0517333447933197, 0.0012531459797173738, 0.5791223049163818, 0.0011115928646177053, 0.49823981523513794]"
3,3000,0.23756980895996094,-74.22144317626953,-81.7669906616211,-92.7312240600586,"[-0.12241619825363159, -1.415733814239502, 2.3603553771972656, -1.4301180839538574, -1.1132478713989258, -0.9072712063789368, -1.7448649406433105, -0.6561504602432251, -1.5158535242080688, 0.32090312242507935, 11.938131332397461, -0.3943747282028198, 0.2881208658218384, -0.6672364473342896, 0.9879011511802673, -1.0529298782348633, 8.746009826660156, 2.9845147132873535, -0.7257506251335144, -1.3351757526397705, 0.5391380786895752, -1.1955499649047852, 3.306912899017334, -0.5049629211425781, 0.9986719489097595, 1.5111784934997559, 0.7626610994338989, 0.6006032228469849, 3.5779120922088623, -1.576386570930481, -0.79127037525177, 1.1091456413269043, -5.561974048614502, 3.1225082874298096, -1.3611640930175781, -1.4024815559387207, -0.10716336220502853, -5.1091156005859375, 0.8958413600921631, 1.9402599334716797, 0.28907787799835205, 0.038921188563108444, 0.15132981538772583, 0.42750588059425354, 0.10616435110569, 0.15245015919208527, 0.08536267280578613, 0.4027647078037262, 0.38018253445625305, 0.5340566039085388, 1.0983206033706665, 0.7753164172172546, 0.01702532358467579, 0.3337944746017456, 0.05590423196554184, 0.2473072111606598, 0.5026190876960754, 0.7768439054489136, 0.2551040053367615, 0.3003878593444824, 0.4115850329399109, 0.018753835931420326, 0.5707333087921143, 0.35304176807403564, 0.005031825974583626, 0.1471116542816162, 0.6185486316680908, 0.03337130695581436, 0.34324508905410767, 1.1039493083953857, 0.2663821280002594, 0.03619665279984474, 0.32153791189193726, 0.30658772587776184, 0.5483126640319824, 0.12116562575101852, 0.0020109775941818953, 0.7399383783340454, 0.23355180025100708, 0.36538276076316833]"
4,3750,0.20439934730529785,-71.86093139648438,-77.51771545410156,-89.81088256835938,"[-0.04077136516571045, -1.4009631872177124, 2.2758662700653076, 0.6325074434280396, -1.0567550659179688, -0.8102083802223206, -1.7332898378372192, -0.781227707862854, -1.188285231590271, -1.4242340326309204, 11.307455062866211, -1.6371052265167236, 0.2212282419204712, -0.31861937046051025, 0.9824179410934448, -1.12045419216156, 8.848739624023438, -2.1142261028289795, -0.8376176357269287, -0.6191076040267944, -0.7929843664169312, -1.1981520652770996, -0.7936698794364929, 2.160067558288574, 1.0030442476272583, 0.11198766529560089, 1.8748905658721924, -0.3746563792228699, 3.4471957683563232, -1.8187748193740845, -1.3722920417785645, 1.1222299337387085, -5.360610008239746, 3.697314739227295, 4.6024675369262695, 0.17624756693840027, 0.38985636830329895, -5.452319145202637, 5.368439674377441, 6.161294460296631, 0.03385685756802559, 0.040516916662454605, 0.09601286053657532, 0.2859744429588318, 0.08255565911531448, 0.13835710287094116, 0.030858905985951424, 0.30834728479385376, 0.21475782990455627, 0.23075823485851288, 0.7358163595199585, 0.31107157468795776, 0.015131236054003239, 0.2017534077167511, 0.0075314659625291824, 0.14182214438915253, 0.43233513832092285, 0.3190844655036926, 0.10881571471691132, 0.2595371603965759, 0.149470254778862, 0.004270331468433142, 0.40845736861228943, 0.18572235107421875, 0.004019417334347963, 0.10347571969032288, 0.19887571036815643, 0.013465442694723606, 0.44827741384506226, 0.7609459161758423, 0.27202749252319336, 0.034759342670440674, 0.08174560964107513, 0.32283246517181396, 0.5512931942939758, 0.07885025441646576, 0.0010000000474974513, 0.15445277094841003, 0.30380624532699585, 0.5754196643829346]"
5,4500,0.28785276412963867,-67.68892669677734,-74.5039291381836,-85.38658905029297,"[-0.3513946235179901, -1.4966212511062622, 2.617682933807373, 0.8548353910446167, -0.776184618473053, 1.2258033752441406, 0.34464311599731445, -0.34982264041900635, -1.068494439125061, -6.028801441192627, 12.405406951904297, -1.4748992919921875, 0.11789487302303314, 0.09014585614204407, -2.232403516769409, 0.10880351066589355, 9.944087028503418, -6.365696430206299, 1.1686887741088867, -0.5795311331748962, -1.9221010208129883, -1.3795008659362793, 0.05049574375152588, -1.1991769075393677, -1.7226383686065674, 0.5326758623123169, 0.003963164985179901, 0.09898427128791809, -3.2689590454101562, -0.6429754495620728, -1.3096240758895874, 0.6351183652877808, -8.195760726928711, 3.3023691177368164, 9.952942848205566, 1.6123254299163818, 0.38962405920028687, 2.4396705627441406, 4.458833694458008, 5.982074737548828, 0.6489561796188354, 0.14012891054153442, 0.4444845914840698, 0.7652238011360168, 0.2969721257686615, 0.3249668478965759, 0.07853884249925613, 0.5919032096862793, 0.29505881667137146, 0.7126990556716919, 3.791290521621704, 0.3775271773338318, 0.12173762917518616, 0.3656259775161743, 0.04770682752132416, 0.4739498794078827, 0.5023304224014282, 0.9146115183830261, 0.3718956708908081, 0.9559332728385925, 0.6053644418716431, 0.09898532181978226, 0.47490984201431274, 0.4522441029548645, 0.03659949079155922, 0.3425929844379425, 0.6271388530731201, 0.021040644496679306, 0.6283668875694275, 0.94237220287323, 1.1458667516708374, 0.38950178027153015, 0.992883026599884, 0.3666043281555176, 1.8411352634429932, 0.7773043513298035, 0.0031111473217606544, 1.0607246160507202, 0.5619069933891296, 1.064619779586792]"
6,5250,0.22070693969726562,-66.53404235839844,-70.99076080322266,-77.53336334228516,"[-1.7363684177398682, -1.1267787218093872, 2.4048829078674316, 1.1445790529251099, 0.2505280077457428, 1.2103570699691772, -1.726635456085205, -1.6723177433013916, 0.14934439957141876, -5.8482794761657715, 12.012045860290527, -3.587663173675537, 0.14465738832950592, 1.3907420635223389, 0.8996832966804504, -1.7382237911224365, 9.827656745910645, 4.026772499084473, 1.20432710647583, 0.12107708305120468, -0.3220398426055908, -1.2100179195404053, 0.6051287055015564, -0.6445576548576355, -0.5772958993911743, -1.3922863006591797, -2.8262429237365723, 0.2227441966533661, 2.264298439025879, -3.410230875015259, -0.09836924076080322, -0.700419008731842, -10.347193717956543, 4.373602867126465, 1.5395145416259766, 2.346017599105835, -0.11024121940135956, -0.3090391755104065, 0.8544378876686096, 1.5692123174667358, 0.5492070913314819, 0.1201905906200409, 0.33923211693763733, 0.4310823082923889, 0.25334709882736206, 0.4103570878505707, 0.05104730650782585, 0.6133120059967041, 0.2924498915672302, 0.20118218660354614, 3.408587694168091, 0.1687665581703186, 0.07478184998035431, 0.5036777853965759, 0.15819084644317627, 0.42678579688072205, 0.4682660400867462, 1.2872222661972046, 0.43102386593818665, 0.606586217880249, 0.5278383493423462, 0.04178599640727043, 0.7521750330924988, 0.2723792791366577, 0.0715998038649559, 0.27894648909568787, 0.752466082572937, 0.05560712888836861, 0.41168734431266785, 0.45232832431793213, 0.9567559361457825, 0.1479683220386505, 0.6170560717582703, 0.2786045968532562, 1.68349027633667, 0.2608601450920105, 0.0035082921385765076, 0.7104373574256897, 0.2159009575843811, 0.3857700824737549]"
7,6000,0.20601153373718262,-64.52115631103516,-68.76725769042969,-77.03861999511719,"[1.9306422472000122, -0.24368125200271606, 3.443885087966919, -1.126467227935791, 0.009646587073802948, -1.3347448110580444, -2.2050020694732666, -1.2767271995544434, -0.8604777455329895, -0.33664533495903015, 13.638725280761719, -4.627442359924316, 0.30962735414505005, 0.17053484916687012, 0.8210018277168274, -0.20508314669132233, 9.844474792480469, 7.21572208404541, -0.03124198317527771, -1.4062819480895996, -0.6293550729751587, -1.1424994468688965, 5.322573661804199, -2.0365004539489746, -0.7254775762557983, -1.4039790630340576, -0.2659618854522705, 0.17992496490478516, 7.224191665649414, -3.181352138519287, -1.1853395700454712, -0.7599744200706482, -9.87041187286377, 4.647759437561035, -2.7469770908355713, -1.2560148239135742, -0.09987914562225342, -11.387542724609375, 1.0809987783432007, 1.7858963012695312, 0.49573010206222534, 0.08612389862537384, 0.25991109013557434, 0.6224452257156372, 0.11573787033557892, 0.21954864263534546, 0.13886195421218872, 0.7020072340965271, 0.5091391205787659, 0.5411827564239502, 2.5566389560699463, 0.9672299027442932, 0.030337320640683174, 0.2826504111289978, 0.06998007744550705, 0.18262802064418793, 0.4021088778972626, 1.602014183998108, 0.5707641839981079, 0.26887184381484985, 0.4400128424167633, 0.034332096576690674, 0.7125990390777588, 0.29773929715156555, 0.015779582783579826, 0.25925278663635254, 0.6870911717414856, 0.12997280061244965, 0.8971160650253296, 1.966882348060608, 0.65618896484375, 0.07919315248727798, 0.44466063380241394, 0.3038410544395447, 0.2938280403614044, 0.14997032284736633, 0.0026511531323194504, 2.27960467338562, 0.0768042653799057, 0.9014102220535278]"
8,6750,0.22606658935546875,-63.54547882080078,-66.94758605957031,-74.56441497802734,"[0.4812994599342346, -1.0357551574707031, 3.623878002166748, 2.948564052581787, -0.8347682952880859, 0.8233652114868164, -1.8541370630264282, -0.6790149807929993, -0.5828038454055786, -7.4024553298950195, 6.392512321472168, -1.3125991821289062, 0.8864562511444092, -3.145373582839966, -0.20485857129096985, 0.28979143500328064, 11.88096809387207, -6.125360012054443, 1.9481430053710938, 1.3883830308914185, 2.026059865951538, 0.914976179599762, -0.6705428957939148, -1.4340496063232422, -1.6680474281311035, 1.6027586460113525, 0.5417224168777466, 0.24921122193336487, -0.33625298738479614, -1.4775068759918213, 0.2561441659927368, 1.3578180074691772, -11.575125694274902, 4.3955206871032715, 9.322589874267578, 3.905841112136841, -0.11374569684267044, -4.6000657081604, 6.078455448150635, 8.249163627624512, 0.29724791646003723, 0.11202841997146606, 0.2170155942440033, 0.4174673855304718, 0.20601379871368408, 0.3128448724746704, 0.027001013979315758, 0.4567731022834778, 0.1940867304801941, 0.23982766270637512, 2.4788358211517334, 0.41981369256973267, 0.10112112015485764, 0.21881286799907684, 0.07477936893701553, 0.17470158636569977, 0.5079668164253235, 1.051609754562378, 0.37799498438835144, 0.4726504683494568, 0.49368816614151, 0.042687755078077316, 0.463860422372818, 0.3054162561893463, 0.0397687666118145, 0.4279249906539917, 0.15116740763187408, 0.025093892589211464, 1.5231674909591675, 0.7549168467521667, 0.3889022469520569, 0.28762415051460266, 0.5681582093238831, 0.506088137626648, 0.615301251411438, 0.2876267433166504, 0.004160371143370867, 0.4825662672519684, 0.15567868947982788, 0.9542627930641174]"
9,7500,0.23099136352539062,-62.0890007019043,-66.13555145263672,-74.46022033691406,"[-1.7594354152679443, -0.16228079795837402, 3.1756505966186523, -1.5187513828277588, -1.8147273063659668, -1.1189355850219727, -1.749873161315918, -0.6293238401412964, 0.6465662121772766, -4.7662224769592285, 12.049063682556152, -4.305842399597168, 0.24039512872695923, 1.9535787105560303, 1.0916224718093872, -1.9442121982574463, 8.0231294631958, 7.269165515899658, 0.6078870296478271, -1.1012988090515137, 2.9526479244232178, 0.6286343932151794, -1.79951810836792, 1.8385032415390015, -0.6239769458770752, -0.5848682522773743, 0.7472223043441772, 0.17377535998821259, 2.6496362686157227, -6.012875556945801, -0.8872374892234802, 0.9805594682693481, -10.833009719848633, 5.70977783203125, 5.169888019561768, -1.1377003192901611, -0.1020602360367775, -17.12429428100586, 5.907963752746582, 1.578794240951538, 0.4374353289604187, 0.12171601504087448, 0.28184083104133606, 0.9182944893836975, 0.15893171727657318, 0.1424328237771988, 0.1129366010427475, 0.28852713108062744, 0.2861756384372711, 0.563578724861145, 1.9407936334609985, 0.24495786428451538, 0.0917050689458847, 1.5204766988754272, 0.12738068401813507, 0.1732838898897171, 0.7908719778060913, 0.8106732964515686, 0.21074585616588593, 0.4396025538444519, 0.5951751470565796, 0.04063241556286812, 0.749110758304596, 0.1971622258424759, 0.05601882189512253, 0.31147393584251404, 0.4821295142173767, 0.07440368831157684, 0.7613499164581299, 1.2065131664276123, 0.9732431173324585, 0.13723407685756683, 0.3010602593421936, 0.3885601758956909, 0.8596683144569397, 0.1942235678434372, 0.0026023928076028824, 1.7977945804595947, 0.14031414687633514, 0.929324746131897]"
10,8250,0.1956171989440918,-61.1281852722168,-64.8005142211914,-72.14049530029297,"[-1.4981486797332764, -0.1511501520872116, 2.9819610118865967, -1.607069969177246, -1.8410966396331787, -1.2679873704910278, -1.7300667762756348, -0.7454873323440552, 0.6588652729988098, -7.576451301574707, 11.611125946044922, -4.345422744750977, 0.44532567262649536, 3.091712713241577, 1.0992815494537354, -1.987718105316162, 10.493454933166504, 7.4060187339782715, 1.7085562944412231, -1.526478886604309, 1.884224534034729, -1.1251072883605957, -2.4075865745544434, 2.2659401893615723, -0.6289122104644775, 0.005707472562789917, 1.548973560333252, 0.19742995500564575, 2.5915393829345703, -5.454225063323975, -1.2693753242492676, 1.063973069190979, -10.63850212097168, 5.477711200714111, 4.598128318786621, -1.4981852769851685, -0.11160323768854141, -19.06951904296875, 4.8872599601745605, -3.326467990875244, 0.1797688901424408, 0.030086126178503036, 0.15741467475891113, 0.2885461747646332, 0.037095606327056885, 0.06433094292879105, 0.11995918303728104, 0.34176772832870483, 0.16347505152225494, 0.3881092965602875, 0.26759833097457886, 0.14909245073795319, 0.052899546921253204, 1.3351857662200928, 0.10480356216430664, 0.13760516047477722, 0.5761653780937195, 0.4042479991912842, 0.21650919318199158, 0.411060631275177, 0.2160385698080063, 0.044107500463724136, 0.5500836968421936, 0.11629509925842285, 0.021179839968681335, 0.21703031659126282, 0.3067203760147095, 0.0392344668507576, 0.5666059851646423, 0.9045882225036621, 0.8090943694114685, 0.11216122657060623, 0.2806660830974579, 0.19900745153427124, 0.41651269793510437, 0.054355766624212265, 0.0014008701546117663, 1.1597058773040771, 0.0964682325720787, 0.6485737562179565]"
11,9000,0.24514365196228027,-59.76094436645508,-63.0178108215332,-68.86985778808594,"[-1.5148693323135376, -1.2409299612045288, 2.885368824005127, -1.701829433441162, 0.7302766442298889, -1.0979024171829224, -1.8196709156036377, -0.5850904583930969, 1.003387212753296, -7.038549423217773, 12.906719207763672, -4.967446804046631, 0.35626107454299927, -0.9535778164863586, 1.1258705854415894, -1.8297069072723389, 10.512578010559082, 6.595627307891846, 0.08760559558868408, 0.5359586477279663, 1.7805026769638062, 0.6305344700813293, -1.7071387767791748, -0.45446956157684326, -0.7723289132118225, 0.20690803229808807, 0.01719258725643158, 0.3062189519405365, 1.4908409118652344, 2.9225852489471436, -1.9836113452911377, 0.9753344058990479, -11.670150756835938, 6.392385005950928, 6.649503707885742, -1.5873528718948364, -0.09818283468484879, -18.691696166992188, 6.504153251647949, 9.29118537902832, 0.2717629671096802, 0.06328706443309784, 0.19040921330451965, 0.36487916111946106, 0.057470157742500305, 0.17826923727989197, 0.1413503736257553, 0.09137894958257675, 0.2941568195819855, 0.4304978549480438, 1.2039235830307007, 0.2890233099460602, 0.1137084886431694, 0.5667678713798523, 0.014667831361293793, 0.11733733862638474, 0.8780803084373474, 0.7460018396377563, 0.49543946981430054, 0.4764973521232605, 0.18798407912254333, 0.023269904777407646, 0.6434618234634399, 0.06685346364974976, 0.021458685398101807, 0.1700315624475479, 0.2789582908153534, 0.0337316133081913, 0.39697766304016113, 0.676095187664032, 0.4786248803138733, 0.13934461772441864, 0.06884068250656128, 0.5197449922561646, 0.5072744488716125, 0.27149316668510437, 0.0034119971096515656, 0.8105535507202148, 0.15707458555698395, 0.44612833857536316]"
12,9750,0.22029638290405273,-59.460205078125,-61.19300842285156,-66.20433044433594,"[-1.651750087738037, 0.07681398838758469, 3.1291134357452393, 0.8025449514389038, 0.36279726028442383, -0.05536714196205139, -2.456103563308716, -1.223742127418518, 1.5319669246673584, -6.673113822937012, 13.198991775512695, -6.534413814544678, 0.5378426909446716, 2.242006301879883, 1.0897094011306763, -2.1563303470611572, 10.149466514587402, 5.253422737121582, 0.06454741954803467, 1.5763769149780273, 1.6949172019958496, 0.6648188233375549, -1.8010432720184326, -0.8333388566970825, -0.6971137523651123, -0.0741381049156189, 0.26873427629470825, -0.35283133387565613, 2.1135571002960205, -1.3043512105941772, 0.9815670251846313, 0.6336240172386169, -9.753938674926758, 7.723437309265137, 7.336188316345215, -2.1983530521392822, -0.11719873547554016, -22.681615829467773, 5.9035563468933105, 8.678020477294922, 0.26026833057403564, 0.18565894663333893, 0.37371352314949036, 0.6157684922218323, 0.22334212064743042, 0.10415293276309967, 0.11777551472187042, 0.24324120581150055, 0.18459613621234894, 0.618484377861023, 1.1723071336746216, 0.35516247153282166, 0.040601056069135666, 0.6543611884117126, 0.05371549353003502, 0.13135775923728943, 0.6086336970329285, 0.4081296920776367, 0.5021063089370728, 0.4327950179576874, 0.27572572231292725, 0.03930158168077469, 0.5005624294281006, 0.06777022033929825, 0.07533738762140274, 0.12174160033464432, 0.4060347378253937, 0.01860656403005123, 0.3379046320915222, 1.1288529634475708, 0.9093605279922485, 0.1268959790468216, 0.3555617332458496, 0.5079329013824463, 0.8613408803939819, 0.22248969972133636, 0.0029739011079072952, 1.4712239503860474, 0.14717279374599457, 0.9452980756759644]"
