gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.1920938491821289,-88.82115936279297,-93.9609603881836,-95.92145538330078,"[-0.5983811616897583, 1.7492115497589111, -0.6594950556755066, -1.5384283065795898, 0.2646455466747284, 0.6894350647926331, -0.13564814627170563, 0.5878729224205017, -0.3228830099105835, -0.0190456360578537, -0.8766653537750244, -1.4149694442749023, -1.269853115081787, 0.19737598299980164, 2.783900260925293, -0.9619588851928711, -0.020088495686650276, 0.14430859684944153, 0.07261188328266144, 3.4686012268066406, 0.6770877838134766, -1.3489609956741333, -2.21061635017395, 0.8202375769615173, -2.422132968902588, 2.2983319759368896, -0.7261239290237427, 0.5382400751113892, -0.5301876068115234, 0.401863694190979, -0.2881077527999878, 0.033446311950683594, 1.3648971319198608, 0.14324791729450226, -1.7152700424194336, -0.9865150451660156, -0.09810712933540344, -4.777726173400879, -2.394897699356079, -0.10727328062057495, 0.0010000000474974513, 0.324750155210495, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.7073978185653687, 0.0010000000474974513, 0.2456374615430832, 0.9250621199607849, 0.0010000000474974513, 0.0010000000474974513, 0.34909725189208984, 0.0010000000474974513, 0.0010000000474974513, 0.099078468978405, 0.8606684803962708, 0.0010000000474974513, 0.0010000000474974513, 0.032582592219114304, 1.021636724472046, 0.0260199923068285, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.062409527599811554, 0.0010000000474974513, 0.24295926094055176, 0.0010000000474974513, 0.3184926509857178, 0.15773938596248627, 0.0010000000474974513, 1.1990262269973755, 0.0010000000474974513, 0.0010000000474974513, 0.1298927515745163, 0.0010000000474974513, 1.5050532817840576, 0.0010000000474974513, 0.9029839038848877]"
1,1500,0.22109580039978027,-83.38052368164062,-91.3223648071289,-95.7811508178711,"[-0.2928638458251953, 0.3257322311401367, 0.0662556141614914, 0.3828427493572235, 0.5300014615058899, 1.50347900390625, 1.9968796968460083, 0.5102516412734985, 0.45204246044158936, 0.8190029859542847, 0.040073931217193604, -0.7739097476005554, -1.0709508657455444, -0.288873553276062, 0.06007552146911621, 0.7305908203125, -1.0451802015304565, -1.6734822988510132, -4.97405481338501, 2.686478614807129, -1.0847489833831787, -0.827237069606781, -1.045054316520691, 0.3007526993751526, 0.5766217708587646, 1.1108753681182861, 1.6009736061096191, -0.31042808294296265, -0.750351071357727, -0.15787485241889954, 0.8947915434837341, -0.19052673876285553, -0.32835957407951355, -7.604585647583008, 1.8951252698898315, 0.556632399559021, 1.1059554815292358, -0.177974134683609, 0.8642181158065796, 1.305707573890686, 0.2323206067085266, 0.09356863051652908, 0.30553802847862244, 0.4332231283187866, 0.14995187520980835, 0.4456317126750946, 0.6114259958267212, 0.14126934111118317, 0.19375735521316528, 0.23769649863243103, 0.2505510151386261, 0.13291959464550018, 0.5476476550102234, 0.42782431840896606, 0.3168526291847229, 0.10373522341251373, 0.065825454890728, 0.0013085060054436326, 0.6505991220474243, 0.5138209462165833, 0.0010742709273472428, 0.19966915249824524, 0.0010722172446548939, 0.392225056886673, 0.519894003868103, 0.279401034116745, 0.29370051622390747, 0.40204089879989624, 0.1992216855287552, 0.1165103018283844, 0.0010000000474974513, 0.1068829745054245, 0.09864603728055954, 0.9331402778625488, 0.5915928483009338, 0.12347662448883057, 0.0010000000474974513, 0.05470137298107147, 0.23146484792232513, 0.008480562828481197]"
2,2250,0.2211613655090332,-80.25128173828125,-87.80531311035156,-95.38272857666016,"[-0.8197222352027893, 0.5604067444801331, -1.536996841430664, -0.3662601113319397, -0.3817380964756012, 1.4055659770965576, -1.2353965044021606, -0.1907195895910263, -0.5718777775764465, -0.7404260635375977, 0.5049835443496704, -4.917149543762207, 0.22080767154693604, 0.3161475360393524, -3.2228667736053467, 7.225533962249756, -1.1282296180725098, -3.025067090988159, 3.812903642654419, -1.4056000709533691, 1.9121100902557373, 0.06580977141857147, 0.35164502263069153, 0.3322821855545044, 0.35004666447639465, -1.7345255613327026, 0.491356760263443, -1.0319609642028809, -0.11368139088153839, -7.820809841156006, -1.9803061485290527, -0.5008127093315125, 0.5753344297409058, -1.1448646783828735, 1.1920197010040283, 0.4753369390964508, -1.9552018642425537, -0.15617509186267853, 1.175260066986084, -3.0206453800201416, 0.08723876625299454, 0.06216706335544586, 0.30734172463417053, 0.209624782204628, 0.020499413833022118, 0.42471280694007874, 0.004973762668669224, 0.01696380227804184, 0.0010000000474974513, 0.5742236971855164, 0.36527928709983826, 0.2298785150051117, 0.022251367568969727, 0.11006340384483337, 0.23233149945735931, 0.498675674200058, 0.05961085110902786, 0.7117510437965393, 0.3894691467285156, 0.1888914406299591, 0.0827433168888092, 0.1499253660440445, 0.20225782692432404, 0.3040734529495239, 0.04728138819336891, 0.02290392480790615, 0.0604056753218174, 0.2633894383907318, 0.0015415282687172294, 0.4181175231933594, 0.18668176233768463, 0.014446234330534935, 0.18642345070838928, 0.04491071030497551, 0.33662670850753784, 0.28058645129203796, 0.039579737931489944, 0.02657252550125122, 0.04530179873108864, 0.6778295040130615]"
3,3000,0.20416474342346191,-75.3603744506836,-83.97705841064453,-94.67013549804688,"[0.5065717697143555, 2.095127582550049, -1.662533164024353, -0.1314111351966858, -0.9596396684646606, -0.13485664129257202, -0.537145733833313, -0.7849900722503662, -1.0993027687072754, -2.9673092365264893, 1.3432267904281616, -6.687680244445801, -1.2836802005767822, 0.8255307674407959, -3.853447437286377, 11.221898078918457, -1.140512228012085, 1.4965331554412842, -0.31128793954849243, 0.3136884570121765, 1.216698169708252, 0.18616177141666412, 1.1153719425201416, 0.7272347807884216, 0.4979189932346344, -1.4517961740493774, 0.45694422721862793, 0.8335916996002197, 0.9741974472999573, -8.553750038146973, -2.089794874191284, 1.8038830757141113, 3.6429054737091064, -1.1505552530288696, 2.185776472091675, 0.9279428720474243, -0.38592249155044556, 1.2404701709747314, 0.8906252384185791, 1.9716192483901978, 0.08306565135717392, 0.1646619737148285, 0.2920422852039337, 0.2006014734506607, 0.040726836770772934, 0.25613775849342346, 0.06146467104554176, 0.20142769813537598, 0.09604683518409729, 0.5029769539833069, 0.2305688112974167, 0.3747561573982239, 0.06805123388767242, 0.25861287117004395, 0.2785218060016632, 1.2046233415603638, 0.10957954823970795, 0.25551119446754456, 0.7940346002578735, 0.1484280526638031, 0.3734900951385498, 0.09886393696069717, 0.19838257133960724, 0.09662937372922897, 0.02869744785130024, 0.14357128739356995, 0.044515158981084824, 0.8085300922393799, 0.02058405987918377, 0.553177535533905, 0.20606449246406555, 0.08167673647403717, 0.4956502318382263, 0.264274924993515, 0.6089467406272888, 0.3314747214317322, 0.04649175703525543, 0.4595639705657959, 0.17220720648765564, 0.3848538398742676]"
4,3750,0.1743457317352295,-69.68942260742188,-79.0632095336914,-93.20370483398438,"[-0.9984925389289856, 0.4001486897468567, -1.6953380107879639, 1.8814353942871094, 0.06390844285488129, 2.8832690715789795, 1.6308358907699585, 0.20468199253082275, 2.4378180503845215, 1.814454436302185, -2.242581844329834, -2.8637490272521973, 1.384313702583313, 1.2005482912063599, -2.9290971755981445, 12.149333000183105, -0.40687867999076843, 1.4665974378585815, -1.358766794204712, 3.4382143020629883, 1.6392083168029785, 2.129556179046631, 1.2452596426010132, 1.7897021770477295, -2.390739679336548, 1.0893572568893433, 0.6557910442352295, -2.903940200805664, 1.0962892770767212, -10.060224533081055, -1.375160813331604, -0.2221842110157013, -1.5365264415740967, -6.193760871887207, 3.568352699279785, 0.8685365319252014, -1.47621488571167, 1.780076503753662, 1.0650684833526611, -13.709549903869629, 0.11176634579896927, 0.25318264961242676, 0.20459462702274323, 0.05870749428868294, 0.0978047177195549, 0.4144648313522339, 0.12856809794902802, 0.18633829057216644, 0.20231710374355316, 0.45756909251213074, 0.15751288831233978, 0.18690235912799835, 0.09898160398006439, 0.1945818066596985, 0.28973907232284546, 1.4987432956695557, 0.03433920443058014, 0.2624915540218353, 0.8019287586212158, 0.4134807288646698, 0.1285519003868103, 0.13936005532741547, 0.06854002922773361, 0.17934542894363403, 0.02849731594324112, 0.1498614102602005, 0.020490212365984917, 0.5799960494041443, 0.03885694965720177, 0.3251207768917084, 0.11029400676488876, 0.0988587886095047, 0.35191014409065247, 0.23214279115200043, 0.38115864992141724, 0.13714726269245148, 0.12925605475902557, 0.15194149315357208, 0.06397847831249237, 0.9257124662399292]"
5,4500,0.2208690643310547,-63.06801223754883,-73.50485229492188,-87.89926147460938,"[1.194069743156433, 0.6960192918777466, -2.037523031234741, 2.338679552078247, 0.26643818616867065, 0.2972825765609741, 1.900756597518921, -0.030381053686141968, -0.24989262223243713, 1.125520944595337, 0.3763769268989563, -9.980013847351074, -1.0795284509658813, 0.37480413913726807, -3.455517530441284, 14.881002426147461, 0.5699869394302368, -1.8051395416259766, 1.548197865486145, -0.17035263776779175, -1.2285605669021606, -1.5668073892593384, -3.71762752532959, 0.7949488162994385, -1.4849039316177368, -1.6215921640396118, 0.6246627569198608, 0.4827236533164978, 3.0442843437194824, -9.720438003540039, -0.17934401333332062, -0.8313038349151611, 5.793718338012695, 0.44518691301345825, 4.50935173034668, 0.1167389452457428, -0.2213057279586792, 1.1777691841125488, 3.293816566467285, -13.752276420593262, 0.1101531982421875, 0.17175640165805817, 0.2769681513309479, 0.2449602633714676, 0.09247022867202759, 0.6168088912963867, 0.34200596809387207, 0.1700058877468109, 0.19836914539337158, 0.4562153220176697, 0.3398679196834564, 0.736408531665802, 0.1571042835712433, 0.30473315715789795, 0.31242674589157104, 1.351822018623352, 0.050609830766916275, 0.3591797947883606, 0.3640296459197998, 0.3833162784576416, 0.176206573843956, 0.15955181419849396, 0.20002202689647675, 0.1457228660583496, 0.0404919870197773, 0.361503005027771, 0.0984160527586937, 0.7268304824829102, 0.03388649970293045, 0.4359312653541565, 0.2740895748138428, 0.06254885345697403, 0.4012358784675598, 0.3257974684238434, 0.22033879160881042, 0.22870469093322754, 0.06314575672149658, 0.3541715443134308, 0.24031555652618408, 0.8259341716766357]"
6,5250,0.2213277816772461,-60.83926773071289,-67.80773162841797,-80.6921157836914,"[-0.2128288894891739, 0.8108159899711609, -1.4055712223052979, 0.3340705633163452, -0.4152497351169586, 2.0943517684936523, -0.21679101884365082, -0.40482693910598755, -1.4066555500030518, -2.9538464546203613, 0.19948071241378784, -1.184910535812378, -0.9716922044754028, -0.7024272084236145, -3.747645378112793, 14.951676368713379, -0.9874073266983032, -0.3159530460834503, -2.2662668228149414, -0.6666600704193115, 2.2209370136260986, 2.377220630645752, -3.1068100929260254, 1.6609445810317993, 0.8689226508140564, 1.1506812572479248, 0.26729124784469604, -2.9393258094787598, 2.9466071128845215, -13.939379692077637, -0.48616284132003784, -0.28719836473464966, 3.53507399559021, -6.823497772216797, 4.172558307647705, 1.3156988620758057, -1.4880237579345703, 0.7097828984260559, -2.47152042388916, -11.028087615966797, 0.2118508219718933, 0.2277688831090927, 0.13362625241279602, 0.25627070665359497, 0.0755867063999176, 0.4064735472202301, 0.12434709817171097, 0.14973445236682892, 0.18848596513271332, 0.20052838325500488, 0.3180723786354065, 0.2821762263774872, 0.16373683512210846, 0.2392641305923462, 0.31592169404029846, 1.036170482635498, 0.10172295570373535, 0.3849087953567505, 0.7777966856956482, 0.3879886865615845, 0.2305876463651657, 0.09862533211708069, 0.14522238075733185, 0.2229846715927124, 0.05161218345165253, 0.1294446587562561, 0.07127877324819565, 0.7105506658554077, 0.01422759611159563, 0.5937134027481079, 0.07388423383235931, 0.12724140286445618, 0.3526737093925476, 0.21935629844665527, 0.47988951206207275, 0.365832656621933, 0.1308957040309906, 0.3115880489349365, 0.10930319130420685, 0.7173548936843872]"
7,6000,0.2051684856414795,-59.28837966918945,-64.02597045898438,-73.86311340332031,"[-0.8447762727737427, 1.2628130912780762, -2.775019645690918, 2.186038017272949, 0.11357969790697098, -0.13423368334770203, 2.0032148361206055, 0.23172880709171295, 2.041059732437134, 1.094484806060791, 0.04367190599441528, -11.699118614196777, -1.1740056276321411, 0.9622126817703247, -3.730896234512329, 14.56247329711914, 0.40729212760925293, -2.5964105129241943, 6.9711456298828125, 2.7139222621917725, 1.8554428815841675, 2.0827786922454834, 1.4481773376464844, 0.8767170906066895, 0.7926941514015198, -1.1332114934921265, 0.8831995725631714, 1.8229737281799316, 3.0049996376037598, -9.62834644317627, -2.3365888595581055, -0.5234078168869019, 5.585382461547852, -8.482242584228516, 5.204340934753418, 0.4303046464920044, -1.3846123218536377, 2.8975729942321777, 3.810883045196533, -16.352336883544922, 0.08759680390357971, 0.2061518132686615, 0.2846871018409729, 0.2664072513580322, 0.12123303860425949, 0.3453581631183624, 0.2454649955034256, 0.09556975215673447, 0.2391911894083023, 0.4441937208175659, 0.22762247920036316, 0.5690914392471313, 0.07261614501476288, 0.2181350439786911, 0.25683027505874634, 1.206445574760437, 0.06301659345626831, 0.4627664089202881, 0.22070874273777008, 0.24282284080982208, 0.13894130289554596, 0.12237106263637543, 0.12601236999034882, 0.22172632813453674, 0.020689858123660088, 0.24328219890594482, 0.12105371057987213, 0.8650432825088501, 0.030646679922938347, 0.30442145466804504, 0.3103750944137573, 0.12548403441905975, 0.3786258101463318, 0.3621586561203003, 0.5007743239402771, 0.1847192347049713, 0.154861718416214, 0.2851593792438507, 0.3190004527568817, 0.9221373200416565]"
8,6750,0.2246410846710205,-56.91310119628906,-60.81095886230469,-68.48590850830078,"[-1.001686930656433, -1.3896050453186035, -2.4631428718566895, 2.8438665866851807, 0.022498641163110733, 0.22033262252807617, -0.25754567980766296, 0.34431320428848267, -0.929729700088501, 0.9000718593597412, -1.4244191646575928, -11.833146095275879, -1.124419927597046, 0.21518631279468536, -4.143125057220459, 14.95373249053955, 0.37732768058776855, -1.8532347679138184, 6.731819152832031, 2.4793310165405273, -0.2862626910209656, -0.354682058095932, -2.702547550201416, 0.6193593144416809, -2.690311908721924, -1.3164317607879639, 0.8148916959762573, -4.227862358093262, -0.7139751315116882, -10.014612197875977, -2.815046787261963, -0.5765866637229919, 5.202370643615723, -8.145013809204102, 3.5985453128814697, 0.3141555190086365, -0.26653963327407837, 2.2367680072784424, 3.8684802055358887, -17.7161922454834, 0.11039721965789795, 0.16209053993225098, 0.2637324631214142, 0.4980805814266205, 0.05182057246565819, 0.26784515380859375, 0.12036927044391632, 0.12234524637460709, 0.2447652667760849, 0.3786824643611908, 0.2569218873977661, 0.3928200900554657, 0.05898686498403549, 0.16362087428569794, 0.2968561053276062, 0.86751788854599, 0.01895875297486782, 0.6425576210021973, 0.2864498794078827, 0.2093580961227417, 0.04429696500301361, 0.15930677950382233, 0.12836918234825134, 0.5281908512115479, 0.03560522198677063, 0.31486785411834717, 0.041538793593645096, 0.5898550152778625, 0.040583789348602295, 0.22062011063098907, 0.27547919750213623, 0.1921393722295761, 0.2898126542568207, 0.3324842154979706, 0.40097537636756897, 0.20722077786922455, 0.1188962534070015, 0.15259003639221191, 0.20002824068069458, 1.210635781288147]"
9,7500,0.28592967987060547,-54.84986114501953,-58.3047981262207,-66.34037017822266,"[-1.064711332321167, 0.40740665793418884, -1.3067255020141602, -0.5676414966583252, -1.1177361011505127, -0.10421879589557648, -1.283332109451294, -0.02653031423687935, 2.815585136413574, -3.2288432121276855, -3.1217706203460693, -9.186908721923828, 0.339255154132843, 0.4421258270740509, -3.5157806873321533, 15.084659576416016, 0.3698227107524872, -1.6993390321731567, 7.009786128997803, 1.1923226118087769, 1.3617326021194458, -1.3059556484222412, -2.930485725402832, 1.0246111154556274, -2.1941449642181396, 0.5486526489257812, 0.7720860242843628, 1.2088274955749512, 2.9977736473083496, -10.318628311157227, 0.4769030213356018, -0.442793607711792, 0.922386646270752, -9.105573654174805, 0.3156812787055969, 0.4202919006347656, -1.4011446237564087, 1.1556437015533447, 3.833847999572754, -20.50695037841797, 0.052177466452121735, 0.18155689537525177, 0.20117098093032837, 0.13439679145812988, 0.044465020298957825, 0.44010573625564575, 0.09023723006248474, 0.09410534799098969, 0.06882878392934799, 0.23115646839141846, 0.14590561389923096, 0.24270327389240265, 0.0243355855345726, 0.1433975249528885, 0.11417930573225021, 1.6138954162597656, 0.0495431125164032, 0.35327231884002686, 0.09246193617582321, 0.3481762409210205, 0.09201489388942719, 0.08896500617265701, 0.16625648736953735, 0.05146433785557747, 0.06161468103528023, 0.1302613765001297, 0.023176563903689384, 0.8215118050575256, 0.03901896998286247, 0.22185827791690826, 0.15303660929203033, 0.04734302684664726, 0.06819929927587509, 0.2636702060699463, 0.36617547273635864, 0.33420807123184204, 0.05774730443954468, 0.20822475850582123, 0.061947133392095566, 1.102522373199463]"
