gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,750,0.3196887969970703,-86.68960571289062,-94.03324890136719,-96.56462860107422,"[0.4940125048160553, -1.45321786403656, -0.8729976415634155, 4.946763038635254, -8.586848258972168, -0.31435760855674744, -1.137549638748169, 4.0030012130737305, 0.8097072839736938, 0.06734402477741241, 0.9562727808952332, 0.48605936765670776, 2.162261724472046, -0.002131205750629306, 0.9108467698097229, -1.011916995048523, 3.030632495880127, 0.9558069109916687, -0.19720947742462158, -0.8527358174324036, 0.9575225710868835, 0.13765914738178253, -0.6925897002220154, -0.22806274890899658, 1.2845115661621094, -0.5751081705093384, -1.4896687269210815, -0.18812055885791779, -1.654401183128357, -0.8942760825157166, 1.5757544040679932, -0.48360151052474976, 0.44441983103752136, 1.3229637145996094, 0.15144115686416626, -1.5822956562042236, -1.1091104745864868, -0.24472476541996002, -1.9977246522903442, -1.6925989389419556, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 2.246654748916626, 2.949702262878418, 0.0010000000474974513, 0.0010000000474974513, 4.324955940246582, 0.0010000000474974513, 0.5093673467636108, 0.0010000000474974513, 0.35010233521461487, 1.000762939453125, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.6194602847099304, 0.0010000000474974513, 0.0010000000474974513, 0.09609054774045944, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 1.8569272756576538, 0.0010000000474974513, 0.7813636064529419, 1.0858545303344727, 2.9682812690734863, 0.0010000000474974513, 0.34074708819389343, 1.5729330778121948, 0.7998232841491699, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.4159994423389435, 0.0010000000474974513, 1.2051918506622314, 1.0843881368637085]"
1,1500,0.2211153507232666,-80.85308837890625,-90.19895935058594,-95.767822265625,"[0.49601662158966064, -1.4213390350341797, -1.4651719331741333, -0.5301275253295898, -8.577047348022461, -0.46139800548553467, 1.2786370515823364, -0.2760854959487915, 0.2583199143409729, -1.1670819520950317, 1.1125339269638062, -0.05975756421685219, 4.404216289520264, -0.0735752284526825, 0.13248369097709656, -0.8914942741394043, -0.5105857253074646, -0.1128004789352417, -0.06821346282958984, -1.4057698249816895, 1.0079282522201538, 9.664260864257812, -0.5107879042625427, -0.006229373626410961, 5.482326507568359, -2.328341484069824, -0.15823276340961456, 0.7123349905014038, -0.7012749910354614, -0.7462455034255981, 0.9969357252120972, -1.569958209991455, -0.1094265729188919, -0.39541929960250854, 0.8171617984771729, -0.31026598811149597, 0.009154126048088074, -0.9525532126426697, 0.30193954706192017, 3.0796284675598145, 0.0010000000474974513, 0.6566289663314819, 0.4671441614627838, 1.1960463523864746, 1.4442603588104248, 0.22609171271324158, 0.5715886354446411, 1.4567148685455322, 0.060573965311050415, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 1.8418138027191162, 0.3627312481403351, 0.10028749704360962, 0.42013028264045715, 0.022526388987898827, 0.965511679649353, 0.0010000000474974513, 0.41939717531204224, 0.068060003221035, 1.0096286535263062, 0.0010722499573603272, 0.0010000000474974513, 1.643074631690979, 1.3296147584915161, 0.13928721845149994, 0.02764454297721386, 0.08997789025306702, 0.22511710226535797, 0.7796242833137512, 0.7135375738143921, 0.2081470787525177, 0.27579888701438904, 0.03587320074439049, 0.0010000000474974513, 0.29143446683883667, 1.0765246152877808, 0.0010000000474974513, 0.8522206544876099]"
2,2250,0.2989218235015869,-75.28114318847656,-84.86125946044922,-94.79203796386719,"[2.101616621017456, -2.4398791790008545, -1.8043692111968994, 6.956452369689941, -9.454366683959961, -0.6688159108161926, 1.5186738967895508, -17.939414978027344, 0.7608132362365723, -0.9588512182235718, 1.3802810907363892, 1.0512267351150513, -2.94509220123291, -0.2669241726398468, 0.13820452988147736, -1.0322322845458984, 3.2345168590545654, -0.2412755787372589, -0.06747810542583466, -1.063267707824707, 1.0494798421859741, 8.930912971496582, -0.7276695370674133, -0.4937414526939392, 6.582121849060059, -3.9190759658813477, -0.46104735136032104, 1.57515549659729, -0.7939379811286926, -1.5132046937942505, 0.5737929344177246, -0.7680900692939758, -0.19847118854522705, -1.1455975770950317, 1.2342805862426758, -0.6453267931938171, 0.3522374629974365, 2.4687716960906982, -1.2905166149139404, 0.130462646484375, 0.0017580302665010095, 0.8373657464981079, 0.5029397010803223, 1.7732961177825928, 3.2048211097717285, 0.48431360721588135, 0.6245497465133667, 5.532052516937256, 0.06901665776968002, 0.28012847900390625, 0.18252365291118622, 0.11945095658302307, 2.0823183059692383, 0.3953397274017334, 0.12842346727848053, 0.6537640690803528, 0.3365158140659332, 3.344083070755005, 0.0020310929976403713, 0.3265252411365509, 0.2288391888141632, 1.6908799409866333, 0.2443303018808365, 0.9009214639663696, 2.508244514465332, 3.5947797298431396, 0.16967613995075226, 0.9492010474205017, 0.09037495404481888, 0.3587532341480255, 1.6050302982330322, 1.7058626413345337, 0.24510879814624786, 0.3222903907299042, 0.1526251882314682, 0.5966790914535522, 0.5185991525650024, 1.4137077331542969, 0.5052080750465393, 2.586956739425659]"
3,3000,0.2047274112701416,-69.51946258544922,-79.84163665771484,-91.8582992553711,"[0.5006081461906433, -0.9394332766532898, 0.2688524127006531, -8.681280136108398, -11.565385818481445, -0.6727632284164429, -0.4913182258605957, -17.60563850402832, 0.1779654175043106, -1.2220029830932617, 0.8955991864204407, 0.4266313314437866, 8.375468254089355, -0.5665603876113892, -0.052069950848817825, -1.1906987428665161, -0.006623469293117523, 0.6871998310089111, -0.07187797129154205, -2.500784397125244, 0.4047129154205322, 14.954951286315918, -0.6230321526527405, -0.8657858371734619, 8.936262130737305, -4.85765266418457, -0.3700399398803711, 0.09424066543579102, -0.4932965636253357, -1.4963390827178955, -0.32248231768608093, -5.332692623138428, -0.38686224818229675, -1.272017002105713, 1.0262634754180908, -0.6971973776817322, 0.9096347093582153, 4.0185227394104, -1.2305063009262085, 1.8070247173309326, 0.0010000000474974513, 0.41436767578125, 0.2140534669160843, 2.522472620010376, 1.7796781063079834, 0.24382464587688446, 0.3918458819389343, 2.6463353633880615, 0.029343273490667343, 0.0840853601694107, 0.05327285826206207, 0.02182687819004059, 1.741583228111267, 0.5635494589805603, 0.031425636261701584, 0.4666443467140198, 0.17369787395000458, 0.7073302268981934, 0.0010000000474974513, 0.5320398807525635, 0.07726479321718216, 2.286027193069458, 0.056859102100133896, 0.5898045301437378, 1.4459784030914307, 1.920719027519226, 0.12377715855836868, 1.277227520942688, 0.09327981621026993, 0.26205748319625854, 0.9634076356887817, 0.8336977362632751, 0.15466314554214478, 0.1743624359369278, 0.05632995069026947, 0.2921682894229889, 0.4109753966331482, 0.7177441716194153, 0.08416147530078888, 1.1239732503890991]"
4,3750,0.22074103355407715,-67.01024627685547,-76.11632537841797,-87.562255859375,"[0.2754164934158325, -3.2002525329589844, 0.7668857574462891, -0.26122957468032837, -11.394294738769531, -1.4669071435928345, -2.1130459308624268, -22.08796501159668, 0.7864440679550171, -1.0292136669158936, 0.325338751077652, -0.3296499252319336, -2.4566149711608887, -0.007204234600067139, 0.10773687064647675, 0.7082225680351257, -0.7301815748214722, -14.224750518798828, 0.5881812572479248, -0.04237601161003113, -1.9982988834381104, 8.663336753845215, -1.129384160041809, 0.5439761877059937, 8.477376937866211, -5.417325019836426, 0.04543943330645561, 0.480292946100235, 0.5828596353530884, -1.224859595298767, -2.878779888153076, 0.14032477140426636, -0.046508535742759705, 13.605253219604492, 1.031562089920044, -0.5143306255340576, -0.04371531307697296, 0.7058733105659485, 2.3689231872558594, 0.536603569984436, 0.07207857072353363, 1.2329684495925903, 0.2925872504711151, 0.5586637854576111, 2.781414270401001, 0.7575559616088867, 0.659392237663269, 2.973111629486084, 0.032249536365270615, 0.06439952552318573, 0.06419791281223297, 0.8016287088394165, 1.264114260673523, 0.18048587441444397, 0.1875520497560501, 0.5526889562606812, 0.3487735390663147, 3.155568838119507, 0.0017822664231061935, 0.4236964285373688, 0.2058008313179016, 0.9328199028968811, 0.054408781230449677, 0.5702437162399292, 3.2174017429351807, 3.526550531387329, 0.09579262137413025, 0.27041199803352356, 0.05527426674962044, 0.2894096076488495, 0.8726959824562073, 0.7562103867530823, 0.32656359672546387, 1.0041344165802002, 0.37919068336486816, 0.4832880198955536, 0.15918822586536407, 0.852959930896759, 0.35794058442115784, 1.084020972251892]"
5,4500,0.2561674118041992,-63.64786148071289,-71.86662292480469,-83.1296615600586,"[-0.7652616500854492, 0.43128901720046997, -0.41146084666252136, 7.938894271850586, -9.59936809539795, -0.4531494081020355, 0.32724469900131226, -6.248933792114258, -2.42653489112854, 0.7738955616950989, -0.9899532198905945, 1.6251575946807861, -5.021211624145508, -1.7622723579406738, 2.8255131244659424, -1.8142855167388916, -1.6221144199371338, -28.27535057067871, -2.4583840370178223, 1.6049995422363281, 0.5268094539642334, 11.869540214538574, -1.1369445323944092, -1.1671168804168701, 11.326210021972656, -12.703056335449219, -0.48475387692451477, -14.764790534973145, -0.4937625825405121, -1.586166262626648, -0.8089581727981567, 0.4830840826034546, -0.8269052505493164, -1.170865774154663, 0.8919053673744202, 2.8282265663146973, -10.102808952331543, 5.236741065979004, 2.735225200653076, -2.9897780418395996, 0.12436579167842865, 0.5167198777198792, 0.11794557422399521, 1.6620678901672363, 0.32661476731300354, 0.2421017289161682, 0.2934335768222809, 1.8247463703155518, 0.24283218383789062, 0.054997045546770096, 0.08072075992822647, 0.027758436277508736, 1.708238959312439, 0.3351784944534302, 0.10178307443857193, 0.3901371657848358, 0.3655950129032135, 2.2296414375305176, 0.5470805764198303, 0.8306490778923035, 0.0867067277431488, 0.9208715558052063, 0.2275022715330124, 0.5192282795906067, 0.857840359210968, 3.331205129623413, 0.2792585492134094, 0.0010000000474974513, 0.11582445353269577, 0.3148076832294464, 1.327978253364563, 1.0659558773040771, 0.3089916408061981, 0.11717917025089264, 0.06121539697051048, 0.2576162815093994, 0.17327263951301575, 0.7259904742240906, 0.28666922450065613, 2.8786463737487793]"
6,5250,0.23212385177612305,-59.097930908203125,-68.1171875,-78.9292221069336,"[0.5493730902671814, -5.041828632354736, -0.3256813883781433, 3.7027242183685303, -10.509346961975098, -0.34424442052841187, -0.9359996318817139, -16.197113037109375, -3.0379269123077393, 0.743893027305603, -1.200413465499878, 0.7311084866523743, 8.88988208770752, -1.9736227989196777, 2.398954153060913, -0.8984773755073547, -1.2855883836746216, -24.855308532714844, -2.263545036315918, 1.432361125946045, 0.5045670866966248, 14.58443832397461, -1.3856480121612549, 1.2665815353393555, 11.648660659790039, -17.17824363708496, -0.17315661907196045, 3.5740866661071777, -0.23987534642219543, -1.456850528717041, 0.22662055492401123, -0.8273091316223145, -0.9489198327064514, 10.434300422668457, 0.89300936460495, -0.0645723044872284, -10.267404556274414, 2.1047167778015137, -1.3731025457382202, 2.7992029190063477, 0.22290965914726257, 1.2704966068267822, 0.2703680098056793, 1.8421703577041626, 0.5534083247184753, 0.22382132709026337, 0.4785444736480713, 3.1696903705596924, 0.38039690256118774, 0.10384250432252884, 0.13712656497955322, 0.17821723222732544, 1.6296385526657104, 0.33369582891464233, 0.2032560408115387, 0.719052255153656, 0.31050682067871094, 4.126455307006836, 0.5139297842979431, 0.6983948945999146, 0.11797099560499191, 1.8163589239120483, 0.48472318053245544, 0.5749344825744629, 2.6844019889831543, 4.292736053466797, 0.3504398465156555, 0.6541905999183655, 0.23719964921474457, 0.42089197039604187, 1.93064546585083, 1.0210682153701782, 0.39908552169799805, 0.64995276927948, 0.10360810905694962, 0.49154552817344666, 0.23091080784797668, 1.0776209831237793, 0.47268158197402954, 3.068155527114868]"
7,6000,0.22028374671936035,-57.22483825683594,-64.34620666503906,-76.93634796142578,"[0.524027407169342, -3.147129535675049, 0.5435934066772461, -0.5599299669265747, -7.511192798614502, -1.0771069526672363, -2.5976662635803223, -19.915225982666016, 1.334483027458191, -1.3202844858169556, -0.18469366431236267, 2.292785882949829, -10.438858032226562, -0.9258770942687988, 3.809265375137329, -1.3409124612808228, -1.2275195121765137, -22.67458152770996, -0.10082735121250153, -2.1797962188720703, 0.5100612640380859, 13.039630889892578, 11.190775871276855, -2.3615732192993164, 15.926715850830078, -21.83730125427246, -1.178583025932312, 1.7317984104156494, -0.5651880502700806, -0.6677152514457703, -0.4732316732406616, 7.385214328765869, -0.37890687584877014, -1.5249080657958984, 1.1345291137695312, 2.8917062282562256, 0.2070784866809845, 1.426637887954712, 0.56099534034729, 4.435672283172607, 0.08478011935949326, 0.30762550234794617, 0.2237313687801361, 0.9089405536651611, 3.099353551864624, 0.4146265983581543, 0.5564968585968018, 3.4620869159698486, 0.46631020307540894, 0.22008271515369415, 0.061949774622917175, 0.9133786559104919, 1.9263771772384644, 0.21510250866413116, 0.1219751164317131, 0.3680632710456848, 0.22214674949645996, 1.745404839515686, 0.31733494997024536, 0.2523435056209564, 0.07158981263637543, 2.8654258251190186, 0.566824197769165, 0.5317050814628601, 1.1812487840652466, 3.337864398956299, 0.1455211341381073, 0.6445693373680115, 0.14018140733242035, 0.3311418890953064, 0.9122293591499329, 0.7233192324638367, 0.3119787871837616, 0.6189384460449219, 0.10939431935548782, 0.5952644348144531, 0.2843990623950958, 0.47755590081214905, 0.5614838004112244, 0.34916651248931885]"
8,6750,0.18923163414001465,-55.06589889526367,-60.595218658447266,-70.2148666381836,"[-0.5312274694442749, -3.7077689170837402, 0.5670390129089355, 15.708101272583008, -10.894838333129883, -0.7576889991760254, -1.468372106552124, -16.27798843383789, -2.168261766433716, 2.398010492324829, -1.3978838920593262, 12.862065315246582, 4.481759548187256, -0.7080957293510437, 3.056846857070923, -2.81472110748291, -1.4960637092590332, -26.104890823364258, -1.8912813663482666, -4.454456329345703, 0.4542398750782013, 11.121484756469727, 10.80967903137207, -2.7118191719055176, 13.418783187866211, -14.930679321289062, -8.82874584197998, -17.035165786743164, -0.6132903099060059, -1.7194225788116455, 2.003981828689575, 3.0561389923095703, -1.2585667371749878, -1.7392675876617432, 1.1185216903686523, 2.605665683746338, -2.6984288692474365, 2.4754364490509033, 2.7920775413513184, 0.14342010021209717, 0.049822352826595306, 0.40165331959724426, 0.19143933057785034, 0.5955193042755127, 0.5201280117034912, 0.25207453966140747, 0.0010000000474974513, 1.0422110557556152, 0.2629118859767914, 0.13531850278377533, 0.03916241228580475, 0.03506794944405556, 0.6358265280723572, 0.13663356006145477, 0.055698201060295105, 0.6117758750915527, 0.2437215894460678, 1.597381830215454, 0.10169640183448792, 0.39901402592658997, 0.013517268933355808, 2.432490587234497, 0.15109214186668396, 0.2432907223701477, 1.1903355121612549, 0.8559208512306213, 0.08734630793333054, 1.104093313217163, 0.07931943982839584, 0.2458968460559845, 0.7305119037628174, 0.5214174389839172, 0.2746328115463257, 0.3260572552680969, 0.09546632319688797, 0.23349711298942566, 0.19330193102359772, 0.5789759755134583, 0.39131200313568115, 0.4903962016105652]"
9,7500,0.20500779151916504,-49.578678131103516,-60.32621765136719,-72.50242614746094,"[-0.6472978591918945, -2.6360321044921875, -1.3507672548294067, 11.695289611816406, -22.615177154541016, -0.2456735372543335, -0.8168646097183228, -12.065147399902344, 0.32686853408813477, 2.721280813217163, 1.2348061800003052, 0.6666827201843262, 7.726101875305176, -0.41494959592819214, 3.089694023132324, 0.48684290051460266, -1.59846830368042, -23.608362197875977, 0.9095439314842224, -2.916215658187866, 0.2008669227361679, 13.425603866577148, 1.834052562713623, -1.5705804824829102, 14.541216850280762, -20.806684494018555, -9.478653907775879, -14.937822341918945, -0.4981728494167328, -1.6234846115112305, -3.454885959625244, -6.233049392700195, 0.14994466304779053, -1.0394598245620728, 0.9638569355010986, 0.36176764965057373, -15.255805015563965, 1.8385756015777588, 9.985865592956543, -5.39462423324585, 0.1190778836607933, 1.2483147382736206, 0.6239888072013855, 1.0579930543899536, 2.6892919540405273, 0.4206829369068146, 0.9369534850120544, 3.0684351921081543, 0.5122982859611511, 0.3372044563293457, 0.09726329892873764, 0.5066220164299011, 4.75831937789917, 0.4843711256980896, 0.1312335580587387, 1.056641697883606, 0.6157019734382629, 3.392988681793213, 0.7190702557563782, 0.9488479495048523, 0.1772693544626236, 6.009834289550781, 0.9813055992126465, 0.8941569924354553, 2.7328145503997803, 4.964428424835205, 0.51889967918396, 0.9962844252586365, 0.14220638573169708, 0.1553899198770523, 1.0089350938796997, 2.2128970623016357, 0.9181743860244751, 1.4584192037582397, 0.13423798978328705, 0.8551122546195984, 0.9061915278434753, 1.0744224786758423, 1.511949896812439, 1.9071605205535889]"
