gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,630,0.1761777400970459,-94.51922607421875,-97.32374572753906,-98.37748718261719,"[-0.10477777570486069, -0.5897260308265686, 1.0121026039123535, -0.20292174816131592, -0.29413095116615295, -0.43395569920539856, -1.9944223165512085, -0.3649994134902954, 0.0742255449295044, 1.2382043600082397, -0.5607361197471619, -1.3628199100494385, -7.145059108734131, -0.44456788897514343, 0.0004575388738885522, -1.1494545936584473, -0.5292543768882751, 0.5454348921775818, 0.20722605288028717, 0.1142115667462349, -0.024314194917678833, 1.9748977422714233, -0.2945461571216583, -1.7288389205932617, 1.088339924812317, -1.7620187997817993, -2.9166765213012695, 0.5592551827430725, 1.1290905475616455, -1.2855720520019531, 1.9905765056610107, -0.2542577385902405, -1.8759167194366455, 0.9994990229606628, 1.3977199792861938, 0.5585182905197144, 0.10038754343986511, -1.2851271629333496, -0.14962956309318542, 0.6006510257720947, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.1397334486246109, 1.0642362833023071, 0.13540294766426086, 0.0010000000474974513, 0.0754324197769165, 0.0010000000474974513, 0.31170135736465454, 0.07963494956493378, 2.7931106090545654, 0.4310692250728607, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.15820041298866272, 0.0010000000474974513, 0.0010000000474974513, 0.488931268453598, 0.3724055886268616, 0.4460062086582184, 0.0010000000474974513, 1.8627800941467285, 0.529578447341919, 1.6203765869140625, 1.232088565826416, 0.6652318239212036, 0.685443639755249, 1.5965152978897095, 0.0010000000474974513, 0.0010000000474974513, 0.5703685879707336, 0.0010000000474974513, 0.472940593957901, 0.0010000000474974513, 0.45291635394096375, 0.0010000000474974513, 0.0010000000474974513]"
1,1260,0.20524883270263672,-90.4517593383789,-96.15067291259766,-98.02880096435547,"[-0.10016709566116333, -1.0387566089630127, 0.2829892039299011, -0.4250822365283966, -0.9459543824195862, -1.148041009902954, 0.4066617488861084, -0.7338210940361023, 0.1391313076019287, 1.115933895111084, 0.15785133838653564, 1.6268147230148315, -1.2217117547988892, -0.2522488236427307, -3.078386068344116, 0.6627797484397888, -9.960916519165039, -0.5902600884437561, -0.3432616591453552, -0.7051663994789124, -0.280733585357666, -0.1303848773241043, 1.1856608390808105, 3.8266170024871826, 1.0718104839324951, -1.4062269926071167, 0.25825580954551697, 0.3022115230560303, 1.871626615524292, 0.21041010320186615, 8.208293914794922, -3.477149248123169, -5.006704330444336, 0.4760872423648834, 1.0994288921356201, 5.595513820648193, 0.21305745840072632, -0.7454923391342163, 2.222132921218872, 0.24990791082382202, 0.37363263964653015, 0.9992451667785645, 0.04650331661105156, 0.0021162815392017365, 0.3187021017074585, 0.001971103250980377, 0.36344268918037415, 1.131659746170044, 0.33128634095191956, 0.9413034915924072, 0.6165805459022522, 0.8446946740150452, 0.14598068594932556, 0.002163480967283249, 0.24660412967205048, 0.25134748220443726, 2.5719902515411377, 0.20417813956737518, 0.2229074239730835, 0.07054455578327179, 0.0019813673570752144, 0.0019602873362600803, 0.977298378944397, 3.3530662059783936, 0.2796708643436432, 0.002031285548582673, 0.6467719078063965, 1.1107715368270874, 1.5026931762695312, 0.0017012548632919788, 2.472022533416748, 2.1426467895507812, 2.1768603324890137, 0.0024660227354615927, 0.27521538734436035, 2.816269874572754, 1.2933293581008911, 0.0021650781854987144, 1.5296286344528198, 0.5421525835990906]"
2,1890,0.19085931777954102,-79.59098052978516,-94.09640502929688,-97.90090942382812,"[2.1289660930633545, 1.4193048477172852, -1.088830590248108, 0.0322062224149704, 1.4950311183929443, 1.8203961849212646, -3.7961275577545166, 0.5679018497467041, 0.9278143048286438, -1.374732255935669, 0.0022407546639442444, -0.6100661754608154, -1.6321992874145508, 0.3263985514640808, 1.3318196535110474, -1.1677117347717285, -3.18392014503479, 0.8565789461135864, 0.8801785111427307, -0.3648377060890198, -6.438310623168945, 0.37918001413345337, -10.469983100891113, 12.774723052978516, 3.128884792327881, -0.26745671033859253, -2.1471078395843506, 0.6260724663734436, -0.5322054624557495, 1.1998748779296875, -0.8506343364715576, -1.625067114830017, -2.492091655731201, 0.3594949543476105, 2.5661866664886475, -0.21491633355617523, -0.6337910890579224, 0.7533565163612366, -1.1140083074569702, -0.5445066690444946, 0.03902069479227066, 0.5739461779594421, 0.07177679985761642, 0.7176876664161682, 1.0026010274887085, 0.008339486084878445, 0.26551079750061035, 0.29373782873153687, 0.025775372982025146, 0.3846237361431122, 0.190693661570549, 0.10127387195825577, 0.4057396650314331, 0.16449081897735596, 0.6737197041511536, 0.18068116903305054, 0.5978565812110901, 0.21754850447177887, 0.5875691175460815, 0.3711351752281189, 2.218639850616455, 0.03171741962432861, 1.065899133682251, 2.4146220684051514, 0.0013889773981645703, 0.004221204202622175, 0.27013668417930603, 0.2779676020145416, 0.4982205927371979, 0.0010000000474974513, 0.18538852035999298, 1.885866403579712, 0.32397761940956116, 0.43278393149375916, 0.04997250437736511, 0.07623228430747986, 0.4031681418418884, 0.1569691300392151, 1.8786286115646362, 0.006509150378406048]"
3,2520,0.2217087745666504,-76.93086242675781,-91.70706176757812,-97.96441650390625,"[2.4619011878967285, -0.8388901948928833, 0.718981146812439, -1.0270962715148926, 1.988877296447754, -0.5992001295089722, 0.3462614119052887, 0.46596094965934753, 0.933566689491272, -1.984023928642273, 0.00289356941357255, -0.7051573395729065, -0.8326724767684937, 0.34558963775634766, 1.0726597309112549, -2.312958240509033, -1.431227207183838, -0.7414078712463379, 1.5646369457244873, 1.8326129913330078, -7.900875568389893, -0.6359687447547913, -11.465057373046875, 12.57523250579834, 3.335016965866089, -0.2203208953142166, 1.825703740119934, 0.48519307374954224, -0.6077991724014282, 1.302394986152649, -11.573419570922852, -0.4795135259628296, -1.7746107578277588, -1.4390299320220947, 2.646702527999878, 1.025660514831543, -0.6399637460708618, 0.678198516368866, -0.08243286609649658, -1.027723789215088, 0.36949649453163147, 0.12705789506435394, 0.1325988471508026, 0.5823421478271484, 0.6543596386909485, 0.14644034206867218, 0.11542968451976776, 0.2011212408542633, 0.007468766998499632, 0.12406588345766068, 0.006096284836530685, 0.1554916799068451, 0.4879181385040283, 0.3778133988380432, 0.42861396074295044, 0.07557954639196396, 0.20509479939937592, 0.7214143872261047, 0.44911128282546997, 0.41344988346099854, 1.6129487752914429, 0.28658172488212585, 0.9975805282592773, 0.7393801212310791, 0.2878274619579315, 0.0419546514749527, 0.3703273832798004, 0.11722543835639954, 0.24419336020946503, 0.001326327444985509, 0.8542580008506775, 0.9476927518844604, 0.2911176085472107, 0.2467404454946518, 0.08192707598209381, 0.058710552752017975, 0.006677254103124142, 0.1307360976934433, 0.7522053718566895, 0.04791465401649475]"
4,3150,0.20566368103027344,-75.02454376220703,-88.58938598632812,-96.57807159423828,"[1.5162408351898193, -2.5962860584259033, -0.11398512125015259, -0.34913575649261475, 1.9725404977798462, -0.7210723757743835, -1.1538668870925903, 0.9147606492042542, 0.8957733511924744, 0.8650875091552734, -0.550727367401123, -0.9679590463638306, -0.9271806478500366, -0.7688714265823364, -3.186314344406128, 0.3021637499332428, -19.733333587646484, -1.6057443618774414, 1.1958001852035522, 0.3201310634613037, -6.670482158660889, 3.0179295539855957, -10.714672088623047, 12.55397891998291, 2.8170807361602783, 0.5215590000152588, -3.308730125427246, 0.5102434158325195, -0.7526811361312866, -0.09040278196334839, -12.164772033691406, 0.2076340913772583, -1.3685225248336792, -1.8340671062469482, 2.244433641433716, 1.197320818901062, -1.6108733415603638, 0.2652895450592041, -1.1296417713165283, -0.9354192018508911, 0.33995452523231506, 0.20602528750896454, 0.7660316824913025, 0.490911066532135, 0.6770044565200806, 0.11068756878376007, 0.2540890574455261, 0.55851149559021, 0.060668736696243286, 0.39617007970809937, 0.20315299928188324, 0.23980964720249176, 0.3836112320423126, 0.4628196060657501, 0.9174138307571411, 0.21800024807453156, 0.44250383973121643, 0.9058194756507874, 1.1028430461883545, 0.7600153684616089, 1.708069920539856, 0.44987809658050537, 0.91400146484375, 1.3989475965499878, 0.19825701415538788, 0.13064604997634888, 0.528204083442688, 0.16744068264961243, 0.9119166135787964, 0.08670071512460709, 1.0733933448791504, 0.8919113278388977, 0.6619385480880737, 0.27692627906799316, 0.29047754406929016, 0.37532374262809753, 0.054505880922079086, 0.17361561954021454, 1.195733666419983, 0.19083558022975922]"
5,3780,0.1924424171447754,-72.92501068115234,-84.57669067382812,-97.39751434326172,"[1.5644782781600952, 0.1397910863161087, 0.2755245566368103, -0.13936303555965424, 0.35808855295181274, -2.4972758293151855, -1.0290521383285522, 0.5487806797027588, -0.513328492641449, -3.005157709121704, -0.4311176836490631, -0.590725302696228, -3.4836764335632324, 0.34244123101234436, -3.03570556640625, 7.139841079711914, -8.959417343139648, -3.64894962310791, -1.9014389514923096, -1.300001621246338, 4.724915504455566, -9.512088775634766, -10.323362350463867, 8.352324485778809, -2.265861988067627, -1.2763091325759888, -5.869470119476318, -1.12971031665802, 0.886979341506958, 0.9541667103767395, -3.792942523956299, 0.7772601842880249, -1.71296226978302, -0.9349594116210938, 1.2784055471420288, 1.5512340068817139, 1.817840576171875, 0.5086463689804077, 1.271154761314392, 0.10102078318595886, 0.54499351978302, 0.03223792463541031, 0.27017682790756226, 0.1506933718919754, 0.12857037782669067, 0.4190145432949066, 0.10923893004655838, 0.4802256226539612, 0.07895129173994064, 0.3915324807167053, 0.12682336568832397, 0.18625207245349884, 0.47641727328300476, 0.4373255670070648, 0.0031234710477292538, 0.2637203633785248, 0.2532420754432678, 0.28831183910369873, 0.3516717851161957, 0.10988856852054596, 1.3078309297561646, 0.3718840479850769, 1.238019585609436, 1.1610513925552368, 0.2948916554450989, 0.31539690494537354, 0.48235565423965454, 1.1221461296081543, 0.1671350747346878, 0.26247647404670715, 0.4492805600166321, 0.9417480230331421, 0.27282261848449707, 0.11093411594629288, 0.21019473671913147, 0.18586014211177826, 0.1992323398590088, 0.44269859790802, 0.7218055129051208, 0.22943228483200073]"
6,4410,0.18895959854125977,-64.65231323242188,-79.70599365234375,-92.81217193603516,"[-1.7779381275177002, -1.6103441715240479, 1.0891611576080322, 1.0147559642791748, 3.6731743812561035, 0.6487231254577637, -3.7134132385253906, 0.785517692565918, -1.1335891485214233, 1.500816822052002, 0.6155675053596497, -0.18680822849273682, -7.964529037475586, -1.0250649452209473, 0.7544058561325073, -0.5113574266433716, -1.1689374446868896, 2.209853172302246, -0.48164165019989014, -2.8429441452026367, -15.448975563049316, 7.854868412017822, -11.09586238861084, 11.549054145812988, -4.536390781402588, 0.688850462436676, -1.188645601272583, 2.0070137977600098, -0.10502564907073975, -1.0115704536437988, 7.881619930267334, -10.096357345581055, -6.857012748718262, -0.18796542286872864, 0.8472877144813538, 0.20211762189865112, 1.9154932498931885, 0.5749917030334473, -0.7948317527770996, -3.8362624645233154, 0.6484376788139343, 0.6293168663978577, 0.7741085290908813, 0.5238595008850098, 0.9688481688499451, 0.311840295791626, 0.20594274997711182, 1.6807610988616943, 0.7158879041671753, 0.671819269657135, 0.6255499720573425, 0.8720912933349609, 1.214935302734375, 0.4260953664779663, 1.8839424848556519, 0.34951597452163696, 1.0126287937164307, 0.6381190419197083, 0.7525990009307861, 0.9207079410552979, 2.607609748840332, 0.6264092326164246, 0.9251626133918762, 2.475846529006958, 0.8776440024375916, 1.2203062772750854, 1.0673108100891113, 1.5967309474945068, 2.692126989364624, 0.7456580400466919, 1.3343502283096313, 1.447167992591858, 1.8023736476898193, 0.5664895176887512, 0.8701264262199402, 1.2811903953552246, 1.344873070716858, 0.6894802451133728, 2.3119752407073975, 0.5182620286941528]"
7,5040,0.19053864479064941,-65.4738998413086,-75.65863037109375,-91.27812194824219,"[2.000246524810791, 0.3541208803653717, 0.055714938789606094, -2.683474540710449, -0.412952184677124, 1.5628098249435425, -0.3120748996734619, 8.09758472442627, -1.0455517768859863, -2.45967960357666, -0.46811965107917786, 0.547740638256073, -4.801634311676025, 1.2290563583374023, -5.642159938812256, 0.6579827666282654, -10.392938613891602, -1.4655547142028809, -0.014797329902648926, 0.7052719593048096, -17.64144515991211, 2.454002857208252, -12.526491165161133, 12.732657432556152, 0.06411126255989075, 0.4579845070838928, -2.6404972076416016, 2.591811418533325, -2.7864465713500977, 0.6564664840698242, 8.728721618652344, -4.9112043380737305, 2.265672206878662, 1.9360833168029785, -1.7100105285644531, 0.06176668405532837, 5.81781530380249, -0.27120980620384216, 4.993806838989258, 11.079442024230957, 0.40412020683288574, 0.7144870758056641, 0.223160058259964, 1.5260319709777832, 1.3419089317321777, 0.4547801911830902, 0.4306555390357971, 0.9121782183647156, 0.3847898542881012, 0.8211215138435364, 0.5825966596603394, 0.6307519674301147, 0.811034083366394, 1.5062061548233032, 1.1781606674194336, 0.874992847442627, 1.7119399309158325, 0.9412761926651001, 1.441504955291748, 1.0400054454803467, 3.5008673667907715, 1.2662485837936401, 1.9808266162872314, 2.2857370376586914, 0.8120833039283752, 0.7581508159637451, 0.7018190622329712, 0.6988250613212585, 1.0842981338500977, 0.6161500215530396, 1.453112006187439, 1.4133034944534302, 1.645617961883545, 0.6183175444602966, 0.5146286487579346, 1.2423197031021118, 3.0660207271575928, 1.4218589067459106, 3.8121774196624756, 0.9940876364707947]"
8,5670,0.18919157981872559,-62.14400863647461,-71.0007095336914,-86.89466857910156,"[-0.7183380126953125, -3.414443254470825, 3.7797157764434814, -0.3554114103317261, 0.09870457649230957, -1.1417689323425293, -3.7442989349365234, -1.4058449268341064, -0.03395116329193115, -3.3669629096984863, -0.6055727601051331, 2.669635772705078, -10.382123947143555, -0.9211450815200806, -8.867334365844727, 1.769075870513916, 1.8733106851577759, 1.017634391784668, -5.041935920715332, -1.609910011291504, -21.411094665527344, 9.569844245910645, -9.708329200744629, 12.499287605285645, 5.543780326843262, 0.9585716128349304, -4.170271873474121, -0.24807071685791016, 0.6554235219955444, -0.7230119109153748, 8.056827545166016, -10.203720092773438, 2.2100958824157715, -1.951640009880066, 2.0176479816436768, 5.386758804321289, -1.889516830444336, 2.463193416595459, 3.3879873752593994, 8.630721092224121, 0.3205680549144745, 0.482395738363266, 0.7896113395690918, 0.2816915214061737, 1.651908040046692, 0.3390549123287201, 0.24306096136569977, 1.147853970527649, 0.39351868629455566, 0.808953583240509, 0.2408815622329712, 0.9586173892021179, 1.3014379739761353, 0.6033258438110352, 0.9554191827774048, 0.2835247814655304, 0.0010000000474974513, 0.6235241889953613, 1.400739073753357, 0.9520747661590576, 3.6728668212890625, 0.7525992393493652, 1.1242939233779907, 2.3845133781433105, 0.5412604808807373, 1.3946446180343628, 0.7610671520233154, 1.9094059467315674, 0.9882530570030212, 0.1689426600933075, 1.444828987121582, 1.3270024061203003, 0.8636810183525085, 0.6540006399154663, 0.45415693521499634, 1.3917715549468994, 0.6812406182289124, 0.5957950949668884, 1.8510427474975586, 0.33095964789390564]"
9,6300,0.2001662254333496,-58.27666473388672,-67.31571960449219,-82.22184753417969,"[2.9295225143432617, -0.7807697057723999, 0.281734824180603, -1.4494786262512207, 0.19518333673477173, 1.4636294841766357, -4.155012130737305, -6.991603374481201, 0.7156203985214233, -4.833819389343262, 0.1747264266014099, 2.4461965560913086, -11.542984962463379, -3.8480303287506104, -8.994647979736328, 0.1650766134262085, 3.5592963695526123, 2.3574604988098145, 0.4267280399799347, -2.1160576343536377, -18.818857192993164, 8.053656578063965, -11.835550308227539, 11.395185470581055, -0.009495522826910019, -2.910897970199585, 4.652934551239014, 11.481145858764648, -2.3902502059936523, -0.1469915509223938, 9.99305248260498, -9.024564743041992, -1.7672710418701172, -0.7044209837913513, -0.5861989855766296, 1.0753798484802246, 1.242003321647644, -2.357940673828125, 9.594058990478516, 3.6212146282196045, 1.0507080554962158, 0.54347825050354, 1.0863580703735352, 0.7388782501220703, 0.7475650906562805, 0.10981184989213943, 0.35427045822143555, 1.0758823156356812, 0.33272212743759155, 1.0766961574554443, 0.6139959692955017, 1.297839879989624, 0.8804454803466797, 0.7738840579986572, 1.7256532907485962, 0.6450114250183105, 0.7588257193565369, 0.7957395315170288, 0.4269508719444275, 0.6366338729858398, 2.73622989654541, 0.880477786064148, 1.1684597730636597, 1.362640619277954, 0.4208395481109619, 0.8155142664909363, 1.0904821157455444, 1.6484252214431763, 1.3264135122299194, 0.620061457157135, 1.3538748025894165, 1.2100504636764526, 0.5876212120056152, 1.0787444114685059, 0.39258503913879395, 0.9805073142051697, 0.41087672114372253, 0.6933393478393555, 1.9154351949691772, 0.45943838357925415]"
