gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,630,0.16438913345336914,-90.3929672241211,-95.11774444580078,-97.40400695800781,"[-0.5853258967399597, 0.9881879091262817, 1.3115466833114624, -0.5439742803573608, -0.07380847632884979, -0.21915072202682495, -0.4962281584739685, 1.234362244606018, 0.19264817237854004, -1.6289217472076416, -0.9934459924697876, -0.8893016576766968, -0.166155144572258, 1.4898651838302612, -1.3542969226837158, 0.6878347992897034, 0.3211888372898102, -0.4886149764060974, -1.707420825958252, 1.2056572437286377, 0.2003340721130371, 1.2840335369110107, 11.000311851501465, 2.2160773277282715, 0.049620505422353745, -2.5229506492614746, -0.40296152234077454, 1.5481410026550293, 0.857642412185669, -1.5844557285308838, 0.7743068933486938, 1.0823173522949219, 0.3669549524784088, -0.13674764335155487, -0.9224592447280884, -1.489457607269287, 1.4163405895233154, 1.3321744203567505, -0.1330505907535553, -0.7957113981246948, 0.7661850452423096, 0.21133795380592346, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 2.2001521587371826, 1.0522863864898682, 0.13767048716545105, 1.2265958786010742, 0.0010000000474974513, 0.08833024650812149, 0.10778994113206863, 0.5241768956184387, 0.0010000000474974513, 0.14618590474128723, 0.04168877378106117, 0.46347659826278687, 0.24942922592163086, 0.0010000000474974513, 3.3766090869903564, 0.0010000000474974513, 0.0010000000474974513, 0.5000622272491455, 0.028635898604989052, 0.1295967698097229, 0.0010000000474974513, 0.5017755031585693, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 3.3029017448425293, 1.1755012273788452, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
1,1260,0.20375633239746094,-86.28646850585938,-92.73091888427734,-96.95838165283203,"[0.15525400638580322, 0.5589084029197693, 1.6848305463790894, -1.7244329452514648, -0.009884312748908997, -0.21905595064163208, -0.5991445183753967, 1.2340084314346313, -2.387462615966797, 0.575032114982605, 1.9213809967041016, -0.7714037299156189, -0.15426528453826904, 0.7121804356575012, 0.24257561564445496, 1.2781299352645874, 0.8498760461807251, -0.4722869098186493, -0.4861123561859131, 1.5059949159622192, -0.01376427710056305, 1.4245246648788452, 13.094686508178711, 2.2005233764648438, -0.979446291923523, -2.662895441055298, 2.5741491317749023, 1.5169342756271362, 0.8575524091720581, -0.542290210723877, 0.7736477255821228, 1.0805069208145142, -0.736257016658783, -0.13823464512825012, -4.273434638977051, -2.5618786811828613, 0.753046452999115, 1.4385885000228882, -0.13233248889446259, -0.1825806051492691, 0.41129815578460693, 0.8069421648979187, 0.36346569657325745, 0.4135343134403229, 0.48861822485923767, 0.0011399304494261742, 0.3043750822544098, 0.0013084104284644127, 2.1994693279266357, 1.3082633018493652, 0.06396675109863281, 0.11516160517930984, 0.6273355484008789, 0.056749582290649414, 0.061427727341651917, 1.2672942876815796, 0.039379652589559555, 0.08173108845949173, 0.40750852227211, 0.2681441903114319, 0.11825163662433624, 0.20374636352062225, 2.0256259441375732, 0.25665542483329773, 0.20053325593471527, 0.25323113799095154, 0.39162975549697876, 0.17463867366313934, 0.0010027231182903051, 0.36936384439468384, 0.001596218440681696, 0.0010796044953167439, 0.0015764994313940406, 0.0011276062577962875, 1.6832492351531982, 1.4487223625183105, 0.08708884567022324, 0.4236721098423004, 0.0010730612557381392, 0.0010000000474974513]"
2,1890,0.20061755180358887,-81.87760925292969,-90.20304107666016,-96.30199432373047,"[0.9399203062057495, 1.4864497184753418, 1.3346784114837646, 0.006528139114379883, -0.7684766054153442, 3.1749470233917236, 0.01918666623532772, 1.2344958782196045, -1.9585069417953491, 1.5914109945297241, 1.8860552310943604, -0.521578848361969, 0.09640327095985413, -0.26457589864730835, 0.16219976544380188, 0.7758257985115051, 0.966947615146637, -3.1129701137542725, -0.34966057538986206, 3.656587839126587, -0.5429641008377075, -8.247031211853027, 14.402302742004395, 2.1228928565979004, -0.871267557144165, 0.6128350496292114, 1.1887372732162476, 1.5672622919082642, 0.8590213656425476, -1.1965241432189941, 1.2083196640014648, 0.0953904390335083, -0.12099924683570862, -0.13522246479988098, -4.25508451461792, -1.824963092803955, 0.8528569936752319, 1.149405837059021, 0.013345956802368164, 1.9357692003250122, 0.42192167043685913, 0.37305784225463867, 0.2109045684337616, 0.2739466428756714, 0.4396279454231262, 0.049561236053705215, 0.23003080487251282, 0.0010000000474974513, 0.2690778970718384, 0.7671469449996948, 0.039165057241916656, 0.30174902081489563, 0.6870071291923523, 0.07801666110754013, 0.09257002919912338, 0.7678714990615845, 0.057549502700567245, 0.1419319063425064, 0.20889663696289062, 0.3057596981525421, 0.3187800347805023, 1.0178775787353516, 0.7295804023742676, 0.3151240646839142, 0.12865601480007172, 0.0010000000474974513, 0.2009591907262802, 0.10696573555469513, 0.0043860794976353645, 0.5579455494880676, 0.5623307228088379, 0.09614479541778564, 0.0932314321398735, 0.026188131421804428, 0.610956072807312, 0.5636093020439148, 0.30242621898651123, 0.17925883829593658, 0.10596487671136856, 0.033734649419784546]"
3,2520,0.2129077911376953,-75.3833999633789,-87.61361694335938,-95.44422149658203,"[0.4303531348705292, 0.325591504573822, -0.72083979845047, 0.22864407300949097, -0.6980230212211609, -0.4542694687843323, 2.514105796813965, -1.113448977470398, -2.4316604137420654, 1.5988303422927856, 1.9702579975128174, 0.16084203124046326, 0.6876614093780518, -1.247369408607483, 0.12728415429592133, 1.800984263420105, -3.0331616401672363, -3.053101062774658, -0.3558044731616974, -0.39873749017715454, 0.9826818108558655, -8.400835037231445, 14.619653701782227, 2.0059432983398438, 5.450552463531494, 0.597333550453186, 1.272289514541626, 1.7395422458648682, 1.4054579734802246, 0.6657077670097351, -0.5399042367935181, 0.1096569150686264, -0.1127968579530716, 2.703401803970337, -1.7459712028503418, 10.872325897216797, 0.7558681964874268, -1.3161201477050781, 0.21132659912109375, 2.242838144302368, 0.31989097595214844, 0.2546244263648987, 0.07247686386108398, 0.1365462839603424, 0.2373010814189911, 0.047866057604551315, 0.20019811391830444, 0.028366830199956894, 0.47336915135383606, 0.3372576832771301, 0.10996050387620926, 0.12214995175600052, 0.32864686846733093, 0.02388904243707657, 0.2340705394744873, 0.04461665824055672, 0.09541227668523788, 0.05589468032121658, 0.2208324372768402, 0.06087273731827736, 0.37798815965652466, 0.39037024974823, 0.12885065376758575, 0.13429835438728333, 0.4089190363883972, 0.07650792598724365, 0.07131572812795639, 0.2957446873188019, 0.34836262464523315, 0.1892067939043045, 0.3226374089717865, 0.07118912786245346, 0.05106399953365326, 0.16241036355495453, 0.34815582633018494, 1.3113946914672852, 0.09109044075012207, 0.3623506426811218, 0.08332493156194687, 0.2828545570373535]"
4,3150,0.22284936904907227,-69.72865295410156,-84.0946273803711,-94.02245330810547,"[-0.21343328058719635, -1.2148438692092896, -1.4110957384109497, 0.6231855154037476, -0.37943029403686523, 0.3807166814804077, 1.7739894390106201, -0.8631472587585449, 3.484196901321411, 2.56174635887146, -0.443112850189209, -0.39187562465667725, -0.14195869863033295, 0.3429977297782898, -1.6238374710083008, 2.0491790771484375, -0.7364932894706726, -0.6586505174636841, 0.7943257093429565, 1.1460654735565186, 0.28147009015083313, 2.3685152530670166, 14.467239379882812, 4.033786296844482, 5.748388767242432, -0.8553338646888733, -0.7502477169036865, -0.5162985920906067, -1.5811331272125244, 1.6007877588272095, -0.9783743619918823, -1.4952620267868042, -2.688316822052002, -1.2741596698760986, -13.582321166992188, -2.5115725994110107, -1.9894150495529175, 12.161333084106445, 2.5966970920562744, -2.2720279693603516, 0.12491516768932343, 0.19257710874080658, 0.16413801908493042, 0.09283439815044403, 0.032748330384492874, 0.09706293791532516, 0.07437790185213089, 0.05416872724890709, 0.16208507120609283, 0.2693212926387787, 0.18132387101650238, 0.11549735814332962, 0.0443507619202137, 0.06322751939296722, 0.3032706677913666, 0.07805417478084564, 0.4434662461280823, 0.15473337471485138, 0.1721457690000534, 0.025144057348370552, 0.13783405721187592, 0.19568443298339844, 0.48405760526657104, 0.2729700803756714, 0.10014183074235916, 0.16449740529060364, 0.03937096148729324, 0.13835513591766357, 0.13458266854286194, 0.06455723196268082, 0.11179650574922562, 0.09547009319067001, 0.19499315321445465, 0.31356167793273926, 1.4519516229629517, 0.056024953722953796, 0.0605740062892437, 0.5517690181732178, 0.05895876884460449, 0.12660491466522217]"
5,3780,0.2006378173828125,-68.16699981689453,-79.4721450805664,-91.1341552734375,"[-1.125382661819458, -7.845461368560791, -0.9220526814460754, 0.31173431873321533, -0.39028242230415344, 0.4239582419395447, -1.2523770332336426, -0.8225831389427185, 3.459836721420288, 2.57277774810791, -0.43739184737205505, -0.46776729822158813, -0.1665087193250656, 0.2781537175178528, -1.978856086730957, 2.1063778400421143, -1.1306779384613037, 6.923389434814453, 0.8136445879936218, 0.712492048740387, 0.4666039049625397, 2.097050428390503, 14.797540664672852, 4.258730411529541, 4.980266094207764, -0.8984724879264832, -0.776593029499054, -0.5760495066642761, -0.032833993434906006, 1.6503312587738037, -0.8769870400428772, -1.1216297149658203, -0.8282392621040344, -0.32313087582588196, -13.59789752960205, -2.53735613822937, -2.0222249031066895, 10.843841552734375, -0.30190959572792053, -1.737269639968872, 0.045204244554042816, 0.33067238330841064, 0.10585036128759384, 0.056670207530260086, 0.018794400617480278, 0.05033459886908531, 0.06247265636920929, 0.07187718898057938, 0.04422328248620033, 0.09997960925102234, 0.03976999223232269, 0.041916195303201675, 0.03748263791203499, 0.03551464527845383, 0.040381405502557755, 0.032188259065151215, 0.32155418395996094, 0.11241016536951065, 0.09816950559616089, 0.03610243275761604, 0.18422949314117432, 0.17614410817623138, 0.3778907060623169, 0.16965177655220032, 0.3479107916355133, 0.07379532605409622, 0.07882135361433029, 0.04386168718338013, 0.09991400688886642, 0.0629211962223053, 0.08230478316545486, 0.05351772531867027, 0.056492362171411514, 0.13282066583633423, 1.251189947128296, 0.038919705897569656, 0.1090606078505516, 0.21733832359313965, 0.019635548815131187, 0.11457870900630951]"
6,4410,0.2112729549407959,-64.17503356933594,-74.68665313720703,-84.61261749267578,"[-0.7893885374069214, -1.2017542123794556, -4.262320041656494, 1.1244961023330688, -1.7455857992172241, 0.06082797795534134, -1.1013665199279785, -0.7895638942718506, -2.045836925506592, 2.4109139442443848, 1.8743915557861328, 0.6551373600959778, 0.49334368109703064, -1.1197965145111084, -0.3832816779613495, 1.828310251235962, 1.0270825624465942, -1.2434145212173462, -0.9743422269821167, 1.1535617113113403, 1.0798280239105225, -9.760653495788574, 18.5241756439209, 4.141677379608154, 5.8270392417907715, -2.6705214977264404, 1.2467515468597412, 1.3299874067306519, 1.2071717977523804, 0.19837379455566406, -0.28044480085372925, 0.08473597466945648, -2.5432090759277344, 4.689459800720215, -13.969069480895996, -2.428976535797119, -2.26708722114563, 12.289017677307129, -1.6039761304855347, -0.3941801190376282, 0.23037034273147583, 0.149169921875, 0.05377998575568199, 0.08579593151807785, 0.0843309536576271, 0.07038665562868118, 0.07901384681463242, 0.06721041351556778, 0.3719976246356964, 0.2597329914569855, 0.097843699157238, 0.22994491457939148, 0.07096720486879349, 0.07871818542480469, 0.22755572199821472, 0.22764959931373596, 0.17357096076011658, 0.08299218118190765, 0.04549283906817436, 0.02546151541173458, 0.24234649538993835, 0.12138249725103378, 0.2411700338125229, 0.1744312345981598, 0.10333286225795746, 0.1001945361495018, 0.12429885566234589, 0.11287306249141693, 0.19581902027130127, 0.11229704320430756, 0.22353285551071167, 0.03760768100619316, 0.120231032371521, 0.04210246726870537, 0.34936150908470154, 0.2277139127254486, 0.13627737760543823, 0.029805151745676994, 0.03376515209674835, 0.14465130865573883]"
7,5040,0.20910382270812988,-62.5389404296875,-70.63435363769531,-81.33383178710938,"[-1.1841922998428345, 0.7517257928848267, 1.2385733127593994, 0.9510650634765625, -1.9374853372573853, -0.3132971227169037, 2.446317195892334, -1.4367122650146484, 1.1811374425888062, -4.1442179679870605, 1.7143672704696655, 0.46215370297431946, 0.4766181409358978, 0.8177930116653442, 0.02344028651714325, 0.6246411800384521, -0.6278907656669617, -0.15323640406131744, 0.34733492136001587, 0.09106020629405975, -0.026506170630455017, -10.485806465148926, 15.62285041809082, 4.2406463623046875, 6.1536641120910645, -1.037856936454773, -1.1903939247131348, 1.4390708208084106, 0.042836204171180725, 0.3972240388393402, -9.52194881439209, -1.894524097442627, 0.29711616039276123, 3.880967140197754, -15.252573013305664, -3.2164552211761475, -2.5101661682128906, 10.856817245483398, -0.8535376787185669, 1.9093022346496582, 0.14995220303535461, 0.10874005407094955, 0.04673273116350174, 0.06328816711902618, 0.16081929206848145, 0.03359712287783623, 0.06494265049695969, 0.12842503190040588, 0.17532894015312195, 0.06705571711063385, 0.10528621077537537, 0.26790252327919006, 0.21088507771492004, 0.041956618428230286, 0.284127801656723, 0.10136806219816208, 0.14267949759960175, 0.050501931458711624, 0.1920337826013565, 0.1498439908027649, 0.13999757170677185, 0.39467528462409973, 0.5183560848236084, 0.3937135338783264, 0.608784556388855, 0.078785739839077, 0.06994887441396713, 0.10435287654399872, 0.07689066976308823, 0.18583467602729797, 0.2272149920463562, 0.2579641342163086, 0.0949593037366867, 0.18319082260131836, 0.49578559398651123, 0.20655637979507446, 0.037286531180143356, 0.13426503539085388, 0.03670421615242958, 0.07995153963565826]"
8,5670,0.21976161003112793,-60.32975387573242,-67.07870483398438,-74.6176528930664,"[-1.2215733528137207, -7.859378814697266, -4.190640926361084, 1.2116857767105103, -1.7292685508728027, 0.5509732961654663, -1.459520697593689, 1.5370261669158936, 7.622113227844238, 2.9468014240264893, 1.6840686798095703, -0.780849039554596, 0.39196085929870605, -1.2384175062179565, 1.8175387382507324, 1.7298861742019653, -1.2557268142700195, -0.5763153433799744, 0.8662118911743164, 0.6901540756225586, 0.5149573683738708, -9.843405723571777, 18.79102897644043, 4.456179618835449, 5.630776405334473, -2.6831421852111816, -0.8285778760910034, 1.826011061668396, 1.4283198118209839, 0.35193783044815063, 0.05358746647834778, 0.33309799432754517, -3.1955251693725586, -0.5075885057449341, -13.878411293029785, -3.8907623291015625, -2.4929656982421875, 11.72751522064209, 0.171659916639328, -1.8041421175003052, 0.17441557347774506, 0.22848495841026306, 0.1459835171699524, 0.06855227053165436, 0.06847391277551651, 0.03877178207039833, 0.09785935282707214, 0.11822732537984848, 0.4849718511104584, 0.36428195238113403, 0.20463964343070984, 0.36050471663475037, 0.14775271713733673, 0.09159976989030838, 0.25581175088882446, 0.18744055926799774, 0.37929707765579224, 0.3065028488636017, 0.11708544939756393, 0.08525276929140091, 0.38798439502716064, 0.33048996329307556, 0.5978027582168579, 0.26666751503944397, 0.324288010597229, 0.14797596633434296, 0.08200258761644363, 0.22704161703586578, 0.4167458117008209, 0.3172858655452728, 0.19520975649356842, 0.1710745245218277, 0.37246784567832947, 0.21262136101722717, 0.759865403175354, 0.5096030235290527, 0.225253164768219, 0.33623838424682617, 0.0645984336733818, 0.30479732155799866]"
9,6300,0.2098402976989746,-58.54182052612305,-64.43949890136719,-71.79374694824219,"[-1.0660061836242676, 0.7852771282196045, -3.4928946495056152, -0.9826955199241638, -0.462002158164978, -0.04274570941925049, -0.05446751415729523, 0.012746527791023254, 3.207958459854126, 1.0145550966262817, 1.4457916021347046, -0.25304344296455383, 0.5117039084434509, 1.4764827489852905, 5.711315155029297, -1.782134771347046, -0.43126380443573, -0.0999806821346283, 1.1680607795715332, -0.3228495121002197, 1.0842350721359253, -10.188558578491211, 18.860368728637695, 3.9482789039611816, 9.521610260009766, 1.809472680091858, -0.42093878984451294, 1.0933929681777954, 0.4521506428718567, -0.2169598639011383, -1.1754361391067505, 0.14339017868041992, 0.34807342290878296, 6.511946201324463, -14.992705345153809, -4.680655479431152, -3.9058175086975098, 11.839202880859375, -0.4977447986602783, -1.5015583038330078, 0.09360902011394501, 0.2642357051372528, 0.28466373682022095, 0.21524882316589355, 0.11009268462657928, 0.06457377970218658, 0.24962247908115387, 0.14750012755393982, 0.27715039253234863, 0.3011551797389984, 0.19862909615039825, 0.15979720652103424, 0.3665318787097931, 0.05299452692270279, 0.1681150496006012, 0.4811047613620758, 0.19755809009075165, 0.24978330731391907, 0.15108701586723328, 0.08728652447462082, 0.4003402590751648, 0.17890793085098267, 0.662520170211792, 0.1868123561143875, 0.567876398563385, 0.17811203002929688, 0.30054712295532227, 0.10340075939893723, 0.26801028847694397, 0.23412153124809265, 0.3101918697357178, 0.21557073295116425, 0.3398095369338989, 0.35324975848197937, 1.650244116783142, 0.4023207128047943, 0.43062809109687805, 0.6585245132446289, 0.10309566557407379, 0.31361740827560425]"
