gen_n,eval_counter,iter_time,gen_best_fit,gen_mean_fit,gen_worst_fit,gen_best_idv
0,630,0.20888829231262207,-93.53758239746094,-98.14717102050781,-99.22830963134766,"[-0.44402098655700684, -0.7540093064308167, -1.8788516521453857, 0.4301506578922272, 1.3709359169006348, -0.7885043025016785, 0.1576755940914154, -3.2042360305786133, -1.5233038663864136, -2.041037082672119, 0.6867333650588989, -0.8870526552200317, 12.09064769744873, -0.8858091831207275, -0.21244721114635468, -0.7811849117279053, 0.4818415939807892, -0.4918416440486908, 0.052707087248563766, 0.050703033804893494, 1.3671143054962158, -0.5665525794029236, 0.9149261713027954, 1.4390027523040771, -0.670756995677948, 0.48204314708709717, -0.8723877668380737, 0.7634108066558838, -1.928322434425354, -0.2105131298303604, 0.3531317412853241, 0.8446381092071533, -0.9216320514678955, -1.2186248302459717, 0.5673918724060059, -1.7978625297546387, -0.548305869102478, -0.5984422564506531, 1.118137001991272, -0.34382906556129456, 0.09618540108203888, 0.0010000000474974513, 0.060593798756599426, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 1.2379274368286133, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.7438697218894958, 3.948359489440918, 0.21466942131519318, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.06517763435840607, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.8860974907875061, 1.2364298105239868, 0.4677775800228119, 0.0010000000474974513, 0.0010000000474974513, 0.26081791520118713, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.6090924143791199, 0.0010000000474974513, 0.3285578787326813, 0.0010000000474974513, 0.15248730778694153, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
1,1260,0.2081458568572998,-93.04332733154297,-97.54045104980469,-99.0840835571289,"[0.3080412447452545, -0.6125195622444153, -1.7282700538635254, -0.4235374927520752, 1.306903600692749, -0.8636341691017151, -0.3846109211444855, -2.726952075958252, -1.7744282484054565, 0.9090030789375305, 0.21917331218719482, -0.41801881790161133, 12.537031173706055, -1.2771204710006714, -2.3470330238342285, -1.7531147003173828, 0.42560890316963196, -0.49179089069366455, -0.4547991454601288, -1.9028981924057007, 1.36824369430542, -1.5399729013442993, -0.7614339590072632, 1.7659964561462402, 0.23622483015060425, 0.48251283168792725, 0.7435393333435059, -0.779329776763916, 1.4894589185714722, 2.697615623474121, 0.3528845012187958, 2.2128705978393555, -1.0438505411148071, -0.13695834577083588, 0.9068549871444702, -2.0029778480529785, -0.398202121257782, -0.5983314514160156, 1.2925570011138916, 1.220670223236084, 0.05077747628092766, 0.09553531557321548, 0.2581382095813751, 0.0011776400497183204, 0.0010007157688960433, 0.07720054686069489, 0.02392035536468029, 0.39180275797843933, 0.6325635313987732, 0.0010000000474974513, 0.1582491099834442, 0.28145503997802734, 0.5489417910575867, 0.10071693360805511, 0.24809382855892181, 0.3084299862384796, 0.0010000000474974513, 0.026122547686100006, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.8104768395423889, 0.7899641990661621, 0.30584222078323364, 0.0010000000474974513, 0.0011050368193536997, 0.10875312983989716, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.25460779666900635, 0.294797420501709, 0.0010000000474974513, 0.06211555004119873, 0.0010000000474974513, 0.09855391085147858, 0.0010000000474974513, 0.0010000000474974513, 0.1809210628271103]"
2,1890,0.20523905754089355,-91.74333953857422,-96.68472290039062,-99.0765609741211,"[-0.37027454376220703, -0.3861737847328186, 0.5485185384750366, 0.4015945792198181, -1.2454029321670532, 0.8676226139068604, -4.323895454406738, -2.745567560195923, -1.5941991806030273, -1.7586419582366943, -0.048343345522880554, 1.2004117965698242, 13.183353424072266, -0.8055635690689087, 0.3310556709766388, 0.6128934025764465, 0.5082577466964722, 0.8007577657699585, 0.5295116901397705, 0.049116313457489014, -1.0397403240203857, -0.5697761178016663, -4.5052337646484375, 0.6731522083282471, -0.37298130989074707, -1.0668623447418213, -0.8728344440460205, -1.5809842348098755, -1.0129607915878296, -0.20515890419483185, -0.9651480913162231, -0.11005350947380066, -4.006647109985352, -0.25774773955345154, 0.7160816788673401, -2.094242811203003, 1.9529746770858765, -0.6146471500396729, 1.1665948629379272, -0.8848894834518433, 0.09372518956661224, 0.4532875120639801, 0.04421917349100113, 0.011875540018081665, 0.00940978154540062, 0.033299509435892105, 0.4262639880180359, 0.0816226452589035, 0.024232281371951103, 0.08421902358531952, 0.016787996515631676, 0.056726690381765366, 0.5884101390838623, 0.16600970923900604, 0.06200150027871132, 0.016878005117177963, 0.08104706555604935, 0.03927519917488098, 0.1551903784275055, 0.0010000000474974513, 0.2789512276649475, 0.004250046331435442, 0.08875036984682083, 0.25174978375434875, 0.2954597473144531, 0.22699716687202454, 0.0010000000474974513, 0.02148306556046009, 0.015102279372513294, 0.006392083130776882, 0.07132931053638458, 0.013862262479960918, 1.070680022239685, 0.1547832041978836, 0.15168289840221405, 0.1648314893245697, 0.2889975607395172, 0.03348388150334358, 0.014747400768101215, 0.12052475661039352]"
3,2520,0.2279808521270752,-90.51700592041016,-94.42157745361328,-98.70626831054688,"[-1.1516550779342651, -1.1120892763137817, -1.9356703758239746, 0.09440498054027557, -0.5696821212768555, 0.22112278640270233, 0.7431479096412659, 0.5936668515205383, -1.3488032817840576, 0.7742924690246582, 0.6426733732223511, -2.0020389556884766, -13.978583335876465, -1.6236060857772827, 1.338672399520874, -0.7433328032493591, 1.092210292816162, -0.03492334485054016, -2.597440004348755, -1.8384039402008057, -0.18843647837638855, 0.08211293816566467, 7.711008071899414, 0.1815093457698822, -3.1473093032836914, -3.4323530197143555, -0.5252991914749146, -0.9359734654426575, 1.6592285633087158, -0.23725150525569916, -1.4885344505310059, 0.6527906060218811, 1.181134819984436, 0.19850309193134308, 0.10467977821826935, -1.248578667640686, 0.5727725625038147, -0.43197304010391235, 0.37356454133987427, 0.25289398431777954, 0.023952752351760864, 0.15741795301437378, 0.10402194410562515, 0.019419429823756218, 0.1742338091135025, 0.1752011626958847, 0.1541139781475067, 0.09594608098268509, 0.06825918704271317, 0.2697654664516449, 0.27023962140083313, 0.12163812667131424, 0.705544650554657, 0.1661604344844818, 0.2912244498729706, 0.1317039132118225, 0.07599075138568878, 0.16981451213359833, 0.24681530892848969, 0.0337316170334816, 0.3276480436325073, 0.3332478404045105, 0.3050195872783661, 0.2927948236465454, 0.07938864082098007, 0.20892012119293213, 0.10714080184698105, 0.008559519425034523, 0.030863596126437187, 0.16118909418582916, 0.08322149515151978, 0.10920897126197815, 0.4190961420536041, 0.1799870729446411, 0.16357961297035217, 0.10591759532690048, 0.07807651907205582, 0.14686769247055054, 0.07935179769992828, 0.24024102091789246]"
4,3150,0.20435023307800293,-89.17642974853516,-92.40565490722656,-94.55379486083984,"[-1.033771276473999, 0.8444952368736267, -6.9891462326049805, -0.9886032342910767, 2.3809123039245605, 0.2746993899345398, 0.2374017834663391, 1.1696770191192627, -1.7914377450942993, -0.6348739862442017, -1.5383062362670898, -0.7848189473152161, -16.71856689453125, -1.5982739925384521, 0.06770788133144379, 0.36262333393096924, 0.9662216305732727, 0.07727688550949097, 0.5262956619262695, 0.38334810733795166, 0.36404314637184143, -1.5080006122589111, -0.7604793310165405, -0.48540735244750977, 0.8665390610694885, -1.5436779260635376, 1.7575092315673828, 0.7362033724784851, -0.853560745716095, 0.6594110727310181, 0.361267626285553, -0.46961671113967896, -1.3653764724731445, -0.263710081577301, -1.22664213180542, 0.21983307600021362, 5.234194755554199, -0.14049692451953888, -0.22023773193359375, -1.5204936265945435, 0.07097254693508148, 0.5122184157371521, 0.14348722994327545, 0.053907427936792374, 0.19484320282936096, 0.2287476509809494, 0.1290697604417801, 0.10524264723062515, 0.14784231781959534, 0.10992833226919174, 0.1916089653968811, 0.17040354013442993, 0.9030925035476685, 0.1617583930492401, 0.1273670643568039, 0.10622036457061768, 0.2411787062883377, 0.3894434869289398, 0.10885832458734512, 0.041925638914108276, 0.041750647127628326, 0.12532882392406464, 0.10750516504049301, 0.035882167518138885, 0.04355892166495323, 0.1806839555501938, 0.029608039185404778, 0.03864157572388649, 0.032944370061159134, 0.15442600846290588, 0.02538606896996498, 0.0689602941274643, 0.2393609583377838, 0.10652760416269302, 0.18467490375041962, 0.1960022896528244, 0.3763969838619232, 0.04348445683717728, 0.05201759189367294, 0.0934683158993721]"
5,3780,0.1916666030883789,-87.16168212890625,-91.45899200439453,-94.42450714111328,"[-0.3445112109184265, -0.5257134437561035, -1.5229369401931763, 0.9918321967124939, 0.4688163101673126, -0.7424680590629578, -0.04709792882204056, 0.3157735764980316, -1.2447433471679688, 0.04182390868663788, 0.8004841804504395, -1.9142590761184692, -18.208797454833984, -1.8797223567962646, 1.4947396516799927, -0.46838462352752686, 1.6387051343917847, -0.261829674243927, -3.284843921661377, 1.4332691431045532, 0.9892016053199768, 0.9806143045425415, -6.697628498077393, -2.284642219543457, 6.257359027862549, 0.2914087772369385, -0.03083442896604538, -0.9009637236595154, 1.5902049541473389, 0.23297303915023804, -1.3378283977508545, -0.060073383152484894, 0.9645581245422363, -0.7215889692306519, 1.4528371095657349, -1.8229057788848877, 0.3412332236766815, -2.0524511337280273, -0.9107301831245422, -0.3949349522590637, 0.04831147938966751, 0.055103715509176254, 0.03021271340548992, 0.02629920281469822, 0.23264943063259125, 0.05925207957625389, 0.03740844875574112, 0.07037373632192612, 0.04881129413843155, 0.04070204868912697, 0.05033545568585396, 0.19770191609859467, 0.8963383436203003, 0.18447577953338623, 0.10355029255151749, 0.15255406498908997, 0.07552850246429443, 0.1442057341337204, 0.09635120630264282, 0.11082009226083755, 0.0639980211853981, 0.19955091178417206, 0.12690316140651703, 0.2775478661060333, 0.01689734123647213, 0.0306084044277668, 0.047398898750543594, 0.0944502055644989, 0.07534456253051758, 0.1613144427537918, 0.06159156188368797, 0.10306961834430695, 0.10083064436912537, 0.1103406473994255, 0.11250652372837067, 0.15836772322654724, 0.08565638214349747, 0.04730561748147011, 0.08888938277959824, 0.05993441119790077]"
6,4410,0.20007085800170898,-85.4036636352539,-89.57362365722656,-93.1928482055664,"[-1.6908823251724243, -0.4930903911590576, -0.8068518042564392, 0.3644717037677765, -0.5579463243484497, -0.6538286805152893, -0.12840133905410767, -1.3876681327819824, -1.3666235208511353, 0.1420712172985077, -0.3719891309738159, 1.0358458757400513, -20.176572799682617, -0.4876432418823242, -0.9279060363769531, -1.5878976583480835, 3.110121965408325, -0.9711865782737732, 0.2246265858411789, -3.3465828895568848, -0.5559824109077454, -2.015988826751709, 8.421609878540039, 0.7756977081298828, -1.0880682468414307, -0.9503405094146729, 0.31385305523872375, -0.8246325254440308, -2.183281660079956, 1.1994656324386597, -1.226493239402771, 0.589185357093811, -2.963073492050171, 0.14037811756134033, -4.068016052246094, -2.9265639781951904, -1.7225768566131592, -0.6200135350227356, 1.3589433431625366, 0.9392336010932922, 0.05663784220814705, 0.08574856072664261, 0.08710217475891113, 0.025496123358607292, 0.020793035626411438, 0.0915137380361557, 0.06646955758333206, 0.10580459237098694, 0.07912112772464752, 0.1914694607257843, 0.11349588632583618, 0.11917160451412201, 0.722493588924408, 0.06762485951185226, 0.281185120344162, 0.13376493752002716, 0.17319846153259277, 0.0010000000474974513, 0.1285800337791443, 0.13637341558933258, 0.0944707915186882, 0.24485787749290466, 0.19342327117919922, 0.12060458213090897, 0.09294234216213226, 0.03292686119675636, 0.010812604799866676, 0.09844363480806351, 0.027114607393741608, 0.2123241424560547, 0.13989771902561188, 0.12735764682292938, 0.23601680994033813, 0.08087437599897385, 0.07414127141237259, 0.018402421846985817, 0.15460984408855438, 0.02047714777290821, 0.07019001245498657, 0.08239317685365677]"
7,5040,0.20009493827819824,-84.53724670410156,-87.94182586669922,-94.27971649169922,"[-8.06728744506836, -4.196805000305176, 1.2388442754745483, -1.1044608354568481, -0.3807745575904846, 1.5114836692810059, -5.2141313552856445, -0.4246583878993988, -0.8240866661071777, -0.878781795501709, -0.8043279051780701, -0.17350968718528748, -19.144855499267578, 0.0903979241847992, -0.4466145634651184, -0.6700574159622192, 0.8577641248703003, 0.3693927526473999, -4.427270889282227, -0.7649369239807129, -0.41387930512428284, -1.5026021003723145, 9.108802795410156, 1.3984203338623047, -0.31943362951278687, 0.3459208607673645, 0.3547497093677521, 0.33805423974990845, 1.0008735656738281, 2.8082306385040283, 1.400260090827942, 2.400437116622925, -1.0818569660186768, -0.7722023725509644, 1.1766862869262695, -1.6859147548675537, 0.3977556824684143, -0.31398266553878784, 1.3292888402938843, -0.22205336391925812, 0.1560775488615036, 0.24875713884830475, 0.1624971628189087, 0.027889149263501167, 0.13050960004329681, 0.1470031440258026, 0.14785172045230865, 0.32475876808166504, 0.19793742895126343, 0.1484401822090149, 0.3933616876602173, 0.13580290973186493, 1.0635584592819214, 0.2584359049797058, 0.27108246088027954, 0.09286333620548248, 0.29567381739616394, 0.17595307528972626, 0.11093302816152573, 0.12372229993343353, 0.1563996970653534, 0.3450678884983063, 0.15763446688652039, 0.26753905415534973, 0.10924939066171646, 0.1602170318365097, 0.034669458866119385, 0.06741194427013397, 0.09248567372560501, 0.23492856323719025, 0.2124021053314209, 0.2375587522983551, 0.48147088289260864, 0.10724266618490219, 0.26350587606430054, 0.13409748673439026, 0.10622383654117584, 0.07838237285614014, 0.12408918887376785, 0.106175497174263]"
8,5670,0.18340587615966797,-83.7032470703125,-86.45339965820312,-92.29478454589844,"[-7.85645866394043, -4.8980793952941895, 0.8630816340446472, 0.27801114320755005, -1.034002661705017, 1.0678777694702148, 0.6292091012001038, -0.2932075560092926, -1.4987164735794067, -0.8297594785690308, -0.958267867565155, 1.1638346910476685, -19.94560432434082, -0.22504663467407227, -1.0785471200942993, 1.5284730195999146, -0.26268482208251953, 1.1734970808029175, 0.18441367149353027, 0.5184221267700195, -0.7982501983642578, -2.9454963207244873, 9.907844543457031, 0.19676920771598816, -0.8559578657150269, 0.36879023909568787, 0.35267913341522217, -0.8719145059585571, 1.5794023275375366, -0.07298165559768677, -2.843752384185791, 0.659404993057251, 1.5255446434020996, -0.4095955491065979, 0.8782393932342529, 0.41973668336868286, 1.2284939289093018, -0.14986710250377655, 1.4742889404296875, 1.2444530725479126, 0.12579157948493958, 0.2855226397514343, 0.28617584705352783, 0.03793180733919144, 0.19779540598392487, 0.1662053018808365, 0.3572913110256195, 0.22136007249355316, 0.15347228944301605, 0.2360931783914566, 0.18466345965862274, 0.13295084238052368, 0.9526889324188232, 0.3151743710041046, 0.1802871823310852, 0.19865849614143372, 0.45421144366264343, 0.26042094826698303, 0.08849755674600601, 0.1358548402786255, 0.261613130569458, 0.5145507454872131, 0.3040885627269745, 0.305881142616272, 0.2604629695415497, 0.2096492052078247, 0.03735221549868584, 0.059944551438093185, 0.05690427124500275, 0.24788346886634827, 0.35084235668182373, 0.23050102591514587, 0.5125109553337097, 0.16934162378311157, 0.1699884682893753, 0.17903049290180206, 0.3260188698768616, 0.04224428907036781, 0.1261308640241623, 0.12490006536245346]"
9,6300,0.20483851432800293,-83.6565933227539,-85.27674102783203,-90.55535888671875,"[-6.24428129196167, -0.8415088653564453, -7.150776386260986, -1.8372857570648193, -0.16426308453083038, -1.1010020971298218, -3.6942174434661865, 0.6686636805534363, 0.4246337413787842, -2.0335378646850586, -0.018749728798866272, -2.419015884399414, -20.219587326049805, -0.3097648620605469, 1.7149770259857178, -1.3973904848098755, 1.9272593259811401, -0.19967716932296753, 0.5127970576286316, 1.3353921175003052, -0.0814887136220932, -0.9217497110366821, 10.951346397399902, 1.0476932525634766, 0.8159594535827637, -2.1993846893310547, -0.708925724029541, 0.08300803601741791, -2.1027657985687256, 1.1775619983673096, -1.1718149185180664, 1.1458951234817505, 2.6000001430511475, -1.0394045114517212, -1.4193415641784668, -2.7182583808898926, -2.4391419887542725, 0.09850858896970749, -1.2239062786102295, -0.39559200406074524, 0.16770769655704498, 0.2987884283065796, 0.38470739126205444, 0.12360147386789322, 0.34455928206443787, 0.2303040325641632, 0.11831826716661453, 0.2578265964984894, 0.21931640803813934, 0.2141101062297821, 0.34218570590019226, 0.20367072522640228, 2.0858144760131836, 0.4578641653060913, 0.4445505440235138, 0.11666247993707657, 0.743192732334137, 0.193683922290802, 0.43384069204330444, 0.21882115304470062, 0.1716899871826172, 0.46366778016090393, 0.35092565417289734, 0.15985967218875885, 0.1598016917705536, 0.3777450621128082, 0.07867978513240814, 0.12306392192840576, 0.1209186390042305, 0.41844573616981506, 0.26354846358299255, 0.3317042291164398, 0.42911338806152344, 0.2620202302932739, 0.2437714785337448, 0.17940793931484222, 0.21982762217521667, 0.08530063182115555, 0.2145511358976364, 0.1143697053194046]"
